candidate.sym.S:205: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:207: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:209: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:211: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:213: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:215: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:231: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:233: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:235: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:237: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:239: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:241: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:259: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:261: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:263: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:265: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:267: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:269: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:285: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:287: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:289: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:291: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:293: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:295: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:311: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:313: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:315: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:317: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:319: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:321: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:337: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:339: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:341: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:343: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:345: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:347: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:363: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:365: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:367: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:369: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:371: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:373: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:389: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:391: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:393: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:395: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:397: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:399: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:417: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:419: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:421: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:423: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:425: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:427: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:443: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:445: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:447: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:449: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:451: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:453: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:471: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:473: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:475: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:477: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:479: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:481: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:497: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:499: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:501: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:503: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:505: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:507: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:525: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:527: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:529: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:531: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:533: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:535: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:551: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:553: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:555: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:557: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:559: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:561: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:577: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:579: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:581: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:583: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:585: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:587: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:603: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:605: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:607: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:609: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:611: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
candidate.sym.S:613: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
check-symbolic-asm: 0 error(s), 96 warning(s)
