experiments/gt864-p22-main-i16-ssa/candidate.sym.S:173: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:175: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:177: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:179: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:181: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:183: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:185: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:187: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:203: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:205: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:207: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:209: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:211: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:213: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:215: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:217: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:235: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:237: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:239: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:241: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:243: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:245: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:247: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:249: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:265: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
