API,variant,component,calls,cycles_per_KEM
keygen,supercop,hash_f,1,13300.9925
keygen,gt_p3b23,hash_f,1,13256.4925
keygen,supercop,poly_baseinv,2,8350.98
keygen,gt_p3b23,poly_baseinv,2,17602.99
keygen,supercop,poly_basemul,2,4875.99
keygen,gt_p3b23,poly_basemul,2,4357.99
keygen,supercop,poly_cbd1,2,805.99
keygen,gt_p3b23,poly_cbd1,2,771.98
keygen,supercop,poly_ntt,2,7533.99
keygen,gt_p3b23,poly_ntt,2,8440.985
keygen,supercop,poly_tobytes,3,3292.985
keygen,gt_p3b23,poly_tobytes,3,5664.9775
keygen,supercop,poly_triple,2,483.99
keygen,gt_p3b23,poly_triple,2,491.99
keygen,supercop,randombytes,2,279.99
keygen,gt_p3b23,randombytes,2,253.99
keygen,supercop,shake256,2,5493.98
keygen,gt_p3b23,shake256,2,5606.99
encaps,supercop,hash_f,1,13304.495
encaps,gt_p3b23,hash_f,1,13260.4925
encaps,supercop,hash_g,1,14592.995
encaps,gt_p3b23,hash_g,1,14509.995
encaps,supercop,hash_h,1,4082.995
encaps,gt_p3b23,hash_h,1,4075.995
encaps,supercop,poly_basemul_add,1,2907.995
encaps,gt_p3b23,poly_basemul_add,1,2179.995
encaps,supercop,poly_cbd1,1,398.995
encaps,gt_p3b23,poly_cbd1,1,390.99
encaps,supercop,poly_frombytes,1,754.995
encaps,gt_p3b23,poly_frombytes,1,689.995
encaps,supercop,poly_ntt,2,7533.99
encaps,gt_p3b23,poly_ntt,2,8442.99
encaps,supercop,poly_sotp_encode,1,414.99
encaps,gt_p3b23,poly_sotp_encode,1,418.99
encaps,supercop,poly_tobytes,2,2205.99
encaps,gt_p3b23,poly_tobytes,2,3797.99
encaps,supercop,randombytes,1,380.995
encaps,gt_p3b23,randombytes,1,376.995
decaps,supercop,hash_g,1,14583.495
decaps,gt_p3b23,hash_g,1,14507.995
decaps,supercop,hash_h,1,4076.4925
decaps,gt_p3b23,hash_h,1,4078.995
decaps,supercop,poly_basemul,1,2437.995
decaps,gt_p3b23,poly_basemul,2,4373.99
decaps,supercop,poly_basemul_scale,1,1754.995
decaps,supercop,poly_cbd1,1,395.995
decaps,gt_p3b23,poly_cbd1,1,384.995
decaps,supercop,poly_crepmod3,1,487.995
decaps,gt_p3b23,poly_crepmod3,1,478.995
decaps,supercop,poly_frombytes,3,2252.985
decaps,gt_p3b23,poly_frombytes,3,2041.985
decaps,gt_p3b23,poly_invntt,1,7717.99
decaps,supercop,poly_invntt_scale,1,4127.995
decaps,supercop,poly_ntt,2,7533.99
decaps,gt_p3b23,poly_ntt,2,8440.99
decaps,supercop,poly_sotp_decode,1,429.99
decaps,gt_p3b23,poly_sotp_decode,1,394.995
decaps,supercop,poly_sub,1,213.995
decaps,gt_p3b23,poly_sub,1,214.995
decaps,supercop,poly_tobytes,2,2205.99
decaps,gt_p3b23,poly_tobytes,2,3795.99
