input_crt_n3,input_crt_n32,gt_in_index,output_k3,dft_twiddle_exp,dft_twiddle_mont,dft_twiddle_normal
0,0,0,0,0,-147,1
0,0,0,1,0,-147,1
0,0,0,2,0,-147,1
1,0,64,0,0,-147,1
1,0,64,1,1,-886,2734
1,0,64,2,2,1033,722
2,0,32,0,0,-147,1
2,0,32,1,2,1033,722
2,0,32,2,1,-886,2734
0,1,33,0,0,-147,1
0,1,33,1,0,-147,1
0,1,33,2,0,-147,1
1,1,1,0,0,-147,1
1,1,1,1,1,-886,2734
1,1,1,2,2,1033,722
2,1,65,0,0,-147,1
2,1,65,1,2,1033,722
2,1,65,2,1,-886,2734
0,2,66,0,0,-147,1
0,2,66,1,0,-147,1
0,2,66,2,0,-147,1
1,2,34,0,0,-147,1
1,2,34,1,1,-886,2734
1,2,34,2,2,1033,722
2,2,2,0,0,-147,1
2,2,2,1,2,1033,722
2,2,2,2,1,-886,2734
0,3,3,0,0,-147,1
0,3,3,1,0,-147,1
0,3,3,2,0,-147,1
1,3,67,0,0,-147,1
1,3,67,1,1,-886,2734
1,3,67,2,2,1033,722
2,3,35,0,0,-147,1
2,3,35,1,2,1033,722
2,3,35,2,1,-886,2734
0,4,36,0,0,-147,1
0,4,36,1,0,-147,1
0,4,36,2,0,-147,1
1,4,4,0,0,-147,1
1,4,4,1,1,-886,2734
1,4,4,2,2,1033,722
2,4,68,0,0,-147,1
2,4,68,1,2,1033,722
2,4,68,2,1,-886,2734
0,5,69,0,0,-147,1
0,5,69,1,0,-147,1
0,5,69,2,0,-147,1
1,5,37,0,0,-147,1
1,5,37,1,1,-886,2734
1,5,37,2,2,1033,722
2,5,5,0,0,-147,1
2,5,5,1,2,1033,722
2,5,5,2,1,-886,2734
0,6,6,0,0,-147,1
0,6,6,1,0,-147,1
0,6,6,2,0,-147,1
1,6,70,0,0,-147,1
1,6,70,1,1,-886,2734
1,6,70,2,2,1033,722
2,6,38,0,0,-147,1
2,6,38,1,2,1033,722
2,6,38,2,1,-886,2734
0,7,39,0,0,-147,1
0,7,39,1,0,-147,1
0,7,39,2,0,-147,1
1,7,7,0,0,-147,1
1,7,7,1,1,-886,2734
1,7,7,2,2,1033,722
2,7,71,0,0,-147,1
2,7,71,1,2,1033,722
2,7,71,2,1,-886,2734
0,8,72,0,0,-147,1
0,8,72,1,0,-147,1
0,8,72,2,0,-147,1
1,8,40,0,0,-147,1
1,8,40,1,1,-886,2734
1,8,40,2,2,1033,722
2,8,8,0,0,-147,1
2,8,8,1,2,1033,722
2,8,8,2,1,-886,2734
0,9,9,0,0,-147,1
0,9,9,1,0,-147,1
0,9,9,2,0,-147,1
1,9,73,0,0,-147,1
1,9,73,1,1,-886,2734
1,9,73,2,2,1033,722
2,9,41,0,0,-147,1
2,9,41,1,2,1033,722
2,9,41,2,1,-886,2734
0,10,42,0,0,-147,1
0,10,42,1,0,-147,1
0,10,42,2,0,-147,1
1,10,10,0,0,-147,1
1,10,10,1,1,-886,2734
1,10,10,2,2,1033,722
2,10,74,0,0,-147,1
2,10,74,1,2,1033,722
