branch,quartic_lane,top_split_output_pos,top_split_branch_pos,top_split_pair_index,top_split_low_input_pos,top_split_high_input_pos,top_split_formula,source_block_k,source_n3,source_n32,source_vector_group,source_input_register,source_input_register_lane,twist_table,twist_index,twist_mont,twist_normal,dft3_column,dft3_output_k3,dft3_factor_exp,dft3_factor_mont,dft3_factor_normal,dft3_one_mul_role,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,ntt32_input_k32,ntt32_input_work_index,ntt32_input_register,ntt32_input_register_lane,ntt32_input_vector_group,ntt32_bitrev_output_index,ntt32_bitrev_output_register,ntt32_bitrev_output_lane,notes
0,0,0,0,0,0,384,low_plus_zeta_high,0,0,0,0,v4,0,twist_branch0,0,-147,1,0,0,0,-147,1,x0_plus_x1_plus_x2,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,0,0,0,0,384,low_plus_zeta_high,0,0,0,0,v4,0,twist_branch0,0,-147,1,0,1,0,-147,1,x0,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,0,0,0,0,384,low_plus_zeta_high,0,0,0,0,v4,0,twist_branch0,0,-147,1,0,2,0,-147,1,x0,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,256,256,256,256,640,low_plus_zeta_high,64,1,0,0,v5,0,twist_branch0,64,-248,3200,0,0,0,-147,1,x0_plus_x1_plus_x2,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,256,256,256,256,640,low_plus_zeta_high,64,1,0,0,v5,0,twist_branch0,64,-248,3200,0,1,1,-886,2734,plus_omega3_times_d,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,256,256,256,256,640,low_plus_zeta_high,64,1,0,0,v5,0,twist_branch0,64,-248,3200,0,2,2,1033,722,minus_x1_minus_omega3_times_d,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,128,128,128,128,512,low_plus_zeta_high,32,2,0,0,v6,0,twist_branch0,32,-682,1886,0,0,0,-147,1,x0_plus_x1_plus_x2,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,128,128,128,128,512,low_plus_zeta_high,32,2,0,0,v6,0,twist_branch0,32,-682,1886,0,1,2,1033,722,minus_x2_minus_omega3_times_d,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,128,128,128,128,512,low_plus_zeta_high,32,2,0,0,v6,0,twist_branch0,32,-682,1886,0,2,1,-886,2734,plus_omega3_times_d,0,256,128,0,64,32,0,0,v4,0,0,0,v4,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,132,132,132,132,516,low_plus_zeta_high,33,0,1,0,v4,1,twist_branch0,33,-341,943,1,0,0,-147,1,x0_plus_x1_plus_x2,132,4,260,33,1,65,1,1,v4,1,0,16,v6,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,132,132,132,132,516,low_plus_zeta_high,33,0,1,0,v4,1,twist_branch0,33,-341,943,1,1,0,-147,1,x0,132,4,260,33,1,65,1,1,v4,1,0,16,v6,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,132,132,132,132,516,low_plus_zeta_high,33,0,1,0,v4,1,twist_branch0,33,-341,943,1,2,0,-147,1,x0,132,4,260,33,1,65,1,1,v4,1,0,16,v6,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
