phase,branch,quartic_lane,vector_group,register,register_lane,physical_pos,branch_pos,block_k,twist_index,input_n3,input_n32,dft_output_k3,ntt32_stage,ntt32_len,ntt32_work_index,ntt32_input_k32,ntt32_role,pair_lo_index,pair_hi_index,twiddle_power,twiddle_mont,twiddle_normal,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,notes
input_crt_pack,0,0,0,v4,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v4,1,132,132,33,33,0,1,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v4,2,264,264,66,66,0,2,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v4,3,12,12,3,3,0,3,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v4,4,144,144,36,36,0,4,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v4,5,276,276,69,69,0,5,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v4,6,24,24,6,6,0,6,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v4,7,156,156,39,39,0,7,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v5,0,256,256,64,64,1,0,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v5,1,4,4,1,1,1,1,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v5,2,136,136,34,34,1,2,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v5,3,268,268,67,67,1,3,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,0,v5,4,16,16,4,4,1,4,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
