branch,k3,pair,pair_role,physical_j,paired_physical_j,position_start,position_end,k32_pre_len2,logical_k32_after_len2,logical_j_after_len2,lambda_table,lambda_mont,lambda_normal,asm_zeta_vector_index,asm_zeta_vector_lane,operation,notes
0,0,0,plus,0,3,0,3,0,0,0,gt_rowbitrev_lambda[0][0],1655,1729,0,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,0,minus,3,0,12,15,1,16,48,gt_rowbitrev_lambda[0][3],-1655,1728,0,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,1,plus,6,9,24,27,2,8,24,gt_rowbitrev_lambda[0][6],183,3103,0,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,1,minus,9,6,36,39,3,24,72,gt_rowbitrev_lambda[0][9],-183,354,1,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,2,plus,12,15,48,51,4,4,12,gt_rowbitrev_lambda[0][12],-1674,858,1,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,2,minus,15,12,60,63,5,20,60,gt_rowbitrev_lambda[0][15],1674,2599,1,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,3,plus,18,21,72,75,6,12,36,gt_rowbitrev_lambda[0][18],-559,968,2,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,3,minus,21,18,84,87,7,28,84,gt_rowbitrev_lambda[0][21],559,2489,2,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,4,plus,24,27,96,99,8,2,6,gt_rowbitrev_lambda[0][24],-397,1108,3,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,4,minus,27,24,108,111,9,18,54,gt_rowbitrev_lambda[0][27],397,2349,3,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,5,plus,30,33,120,123,10,10,30,gt_rowbitrev_lambda[0][30],1059,275,3,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,5,minus,33,30,132,135,11,26,78,gt_rowbitrev_lambda[0][33],-1059,3182,4,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,6,plus,36,39,144,147,12,6,18,gt_rowbitrev_lambda[0][36],-223,3435,4,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,6,minus,39,36,156,159,13,22,66,gt_rowbitrev_lambda[0][39],223,22,4,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,7,plus,42,45,168,171,14,14,42,gt_rowbitrev_lambda[0][42],-1138,1748,5,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,7,minus,45,42,180,183,15,30,90,gt_rowbitrev_lambda[0][45],1138,1709,5,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,8,plus,48,51,192,195,16,1,3,gt_rowbitrev_lambda[0][48],242,892,6,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,8,minus,51,48,204,207,17,17,51,gt_rowbitrev_lambda[0][51],-242,2565,6,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,9,plus,54,57,216,219,18,9,27,gt_rowbitrev_lambda[0][54],1514,1095,6,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,9,minus,57,54,228,231,19,25,75,gt_rowbitrev_lambda[0][57],-1514,2362,7,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,10,plus,60,63,240,243,20,5,15,gt_rowbitrev_lambda[0][60],432,2678,7,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,10,minus,63,60,252,255,21,21,63,gt_rowbitrev_lambda[0][63],-432,779,7,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,11,plus,66,69,264,267,22,13,39,gt_rowbitrev_lambda[0][66],-1640,1869,8,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,11,minus,69,66,276,279,23,29,87,gt_rowbitrev_lambda[0][69],1640,1588,8,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,12,plus,72,75,288,291,24,3,9,gt_rowbitrev_lambda[0][72],437,2725,9,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,12,minus,75,72,300,303,25,19,57,gt_rowbitrev_lambda[0][75],-437,732,9,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,13,plus,78,81,312,315,26,11,33,gt_rowbitrev_lambda[0][78],-1723,3163,9,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,13,minus,81,78,324,327,27,27,81,gt_rowbitrev_lambda[0][81],1723,294,10,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,14,plus,84,87,336,339,28,7,21,gt_rowbitrev_lambda[0][84],-277,2236,10,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,0,14,minus,87,84,348,351,29,23,69,gt_rowbitrev_lambda[0][87],277,1221,10,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
