stage1_order,branch,group,n3,n32,n32_lane,quartic_lane,source_chunk_role,source_chunk,source_block_k,source_branch_pos,source_after_top_split_pos,low_input_pos,high_input_pos,top_zeta_mont,top_zeta_normal,top_split_formula,twist_table,twist_index,twist_mont,twist_normal,operation,ld4_load_chunk_low,ld4_load_chunk_high,ld4_vector_lane,ld4_staging_expr,ld4_staging_coeff_offset,ld4_staging_byte_offset,dft3_ld4_load_row,dft3_ld4_output_register,ld3_staging_expr,ld3_staging_coeff_offset,ld3_staging_byte_offset,dft3_ld3_load_group,dft3_ld3_output_register,notes
0,0,0,0,0,0,0,A,0,0,0,0,0,384,-1033,2735,low_plus_zeta_high,twist_branch0,0,-147,1,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],0,tmp_ld4[branch0][group0][n30][n32_lane0][q0],0,0,ld4_tmp_ld4_branch0_group0_n30,x0_q0_vlane0,tmp_ld3[branch0][q0][group0][n32_lane0][n30],0,0,ld3_tmp_ld3_branch0_q0_group0,x0_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
1,0,0,0,0,0,1,A,0,0,1,1,1,385,-1033,2735,low_plus_zeta_high,twist_branch0,0,-147,1,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],0,tmp_ld4[branch0][group0][n30][n32_lane0][q1],1,2,ld4_tmp_ld4_branch0_group0_n30,x0_q1_vlane0,tmp_ld3[branch0][q1][group0][n32_lane0][n30],96,192,ld3_tmp_ld3_branch0_q1_group0,x0_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
2,0,0,0,0,0,2,A,0,0,2,2,2,386,-1033,2735,low_plus_zeta_high,twist_branch0,0,-147,1,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],0,tmp_ld4[branch0][group0][n30][n32_lane0][q2],2,4,ld4_tmp_ld4_branch0_group0_n30,x0_q2_vlane0,tmp_ld3[branch0][q2][group0][n32_lane0][n30],192,384,ld3_tmp_ld3_branch0_q2_group0,x0_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
3,0,0,0,0,0,3,A,0,0,3,3,3,387,-1033,2735,low_plus_zeta_high,twist_branch0,0,-147,1,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],0,tmp_ld4[branch0][group0][n30][n32_lane0][q3],3,6,ld4_tmp_ld4_branch0_group0_n30,x0_q3_vlane0,tmp_ld3[branch0][q3][group0][n32_lane0][n30],288,576,ld3_tmp_ld3_branch0_q3_group0,x0_vlane0,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
4,0,0,0,1,1,0,B,4,33,132,132,132,516,-1033,2735,low_plus_zeta_high,twist_branch0,33,-341,943,top_split_then_twist_then_store_dft3_input,a[128..159],a[512..543],1,tmp_ld4[branch0][group0][n30][n32_lane1][q0],4,8,ld4_tmp_ld4_branch0_group0_n30,x0_q0_vlane1,tmp_ld3[branch0][q0][group0][n32_lane1][n30],3,6,ld3_tmp_ld3_branch0_q0_group0,x0_vlane1,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
5,0,0,0,1,1,1,B,4,33,133,133,133,517,-1033,2735,low_plus_zeta_high,twist_branch0,33,-341,943,top_split_then_twist_then_store_dft3_input,a[128..159],a[512..543],1,tmp_ld4[branch0][group0][n30][n32_lane1][q1],5,10,ld4_tmp_ld4_branch0_group0_n30,x0_q1_vlane1,tmp_ld3[branch0][q1][group0][n32_lane1][n30],99,198,ld3_tmp_ld3_branch0_q1_group0,x0_vlane1,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
6,0,0,0,1,1,2,B,4,33,134,134,134,518,-1033,2735,low_plus_zeta_high,twist_branch0,33,-341,943,top_split_then_twist_then_store_dft3_input,a[128..159],a[512..543],1,tmp_ld4[branch0][group0][n30][n32_lane1][q2],6,12,ld4_tmp_ld4_branch0_group0_n30,x0_q2_vlane1,tmp_ld3[branch0][q2][group0][n32_lane1][n30],195,390,ld3_tmp_ld3_branch0_q2_group0,x0_vlane1,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
7,0,0,0,1,1,3,B,4,33,135,135,135,519,-1033,2735,low_plus_zeta_high,twist_branch0,33,-341,943,top_split_then_twist_then_store_dft3_input,a[128..159],a[512..543],1,tmp_ld4[branch0][group0][n30][n32_lane1][q3],7,14,ld4_tmp_ld4_branch0_group0_n30,x0_q3_vlane1,tmp_ld3[branch0][q3][group0][n32_lane1][n30],291,582,ld3_tmp_ld3_branch0_q3_group0,x0_vlane1,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
8,0,0,0,2,2,0,C,8,66,264,264,264,648,-1033,2735,low_plus_zeta_high,twist_branch0,66,-62,800,top_split_then_twist_then_store_dft3_input,a[256..287],a[640..671],2,tmp_ld4[branch0][group0][n30][n32_lane2][q0],8,16,ld4_tmp_ld4_branch0_group0_n30,x0_q0_vlane2,tmp_ld3[branch0][q0][group0][n32_lane2][n30],6,12,ld3_tmp_ld3_branch0_q0_group0,x0_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
9,0,0,0,2,2,1,C,8,66,265,265,265,649,-1033,2735,low_plus_zeta_high,twist_branch0,66,-62,800,top_split_then_twist_then_store_dft3_input,a[256..287],a[640..671],2,tmp_ld4[branch0][group0][n30][n32_lane2][q1],9,18,ld4_tmp_ld4_branch0_group0_n30,x0_q1_vlane2,tmp_ld3[branch0][q1][group0][n32_lane2][n30],102,204,ld3_tmp_ld3_branch0_q1_group0,x0_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
10,0,0,0,2,2,2,C,8,66,266,266,266,650,-1033,2735,low_plus_zeta_high,twist_branch0,66,-62,800,top_split_then_twist_then_store_dft3_input,a[256..287],a[640..671],2,tmp_ld4[branch0][group0][n30][n32_lane2][q2],10,20,ld4_tmp_ld4_branch0_group0_n30,x0_q2_vlane2,tmp_ld3[branch0][q2][group0][n32_lane2][n30],198,396,ld3_tmp_ld3_branch0_q2_group0,x0_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
11,0,0,0,2,2,3,C,8,66,267,267,267,651,-1033,2735,low_plus_zeta_high,twist_branch0,66,-62,800,top_split_then_twist_then_store_dft3_input,a[256..287],a[640..671],2,tmp_ld4[branch0][group0][n30][n32_lane2][q3],11,22,ld4_tmp_ld4_branch0_group0_n30,x0_q3_vlane2,tmp_ld3[branch0][q3][group0][n32_lane2][n30],294,588,ld3_tmp_ld3_branch0_q3_group0,x0_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
12,0,0,0,3,3,0,A,0,3,12,12,12,396,-1033,2735,low_plus_zeta_high,twist_branch0,3,1278,3025,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],3,tmp_ld4[branch0][group0][n30][n32_lane3][q0],12,24,ld4_tmp_ld4_branch0_group0_n30,x0_q0_vlane3,tmp_ld3[branch0][q0][group0][n32_lane3][n30],9,18,ld3_tmp_ld3_branch0_q0_group0,x0_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
13,0,0,0,3,3,1,A,0,3,13,13,13,397,-1033,2735,low_plus_zeta_high,twist_branch0,3,1278,3025,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],3,tmp_ld4[branch0][group0][n30][n32_lane3][q1],13,26,ld4_tmp_ld4_branch0_group0_n30,x0_q1_vlane3,tmp_ld3[branch0][q1][group0][n32_lane3][n30],105,210,ld3_tmp_ld3_branch0_q1_group0,x0_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
14,0,0,0,3,3,2,A,0,3,14,14,14,398,-1033,2735,low_plus_zeta_high,twist_branch0,3,1278,3025,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],3,tmp_ld4[branch0][group0][n30][n32_lane3][q2],14,28,ld4_tmp_ld4_branch0_group0_n30,x0_q2_vlane3,tmp_ld3[branch0][q2][group0][n32_lane3][n30],201,402,ld3_tmp_ld3_branch0_q2_group0,x0_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
15,0,0,0,3,3,3,A,0,3,15,15,15,399,-1033,2735,low_plus_zeta_high,twist_branch0,3,1278,3025,top_split_then_twist_then_store_dft3_input,a[0..31],a[384..415],3,tmp_ld4[branch0][group0][n30][n32_lane3][q3],15,30,ld4_tmp_ld4_branch0_group0_n30,x0_q3_vlane3,tmp_ld3[branch0][q3][group0][n32_lane3][n30],297,594,ld3_tmp_ld3_branch0_q3_group0,x0_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
16,0,0,0,4,4,0,B,4,36,144,144,144,528,-1033,2735,low_plus_zeta_high,twist_branch0,36,-1339,550,top_split_then_twist_then_store_dft3_input,a[128..159],a[512..543],4,tmp_ld4[branch0][group0][n30][n32_lane4][q0],16,32,ld4_tmp_ld4_branch0_group0_n30,x0_q0_vlane4,tmp_ld3[branch0][q0][group0][n32_lane4][n30],12,24,ld3_tmp_ld3_branch0_q0_group0,x0_vlane4,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
17,0,0,0,4,4,1,B,4,36,145,145,145,529,-1033,2735,low_plus_zeta_high,twist_branch0,36,-1339,550,top_split_then_twist_then_store_dft3_input,a[128..159],a[512..543],4,tmp_ld4[branch0][group0][n30][n32_lane4][q1],17,34,ld4_tmp_ld4_branch0_group0_n30,x0_q1_vlane4,tmp_ld3[branch0][q1][group0][n32_lane4][n30],108,216,ld3_tmp_ld3_branch0_q1_group0,x0_vlane4,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
