branch,quartic_lane,n32,vector_group,register_lane,matrix_lane_stream,x0_offsets_8,x1_offsets_8,x2_offsets_8,x0_pos,x0_block,x0_twist_mont,x0_twist_normal,x1_pos,x1_block,x1_twist_mont,x1_twist_normal,x2_pos,x2_block,x2_twist_mont,x2_twist_normal,input_pack_registers,d_mont_constant,dft_y0_formula,dft_y1_formula,dft_y2_formula,y0_row_k3,y1_row_k3,y2_row_k3,notes
0,0,0,0,0,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",0,0,-147,1,256,64,-248,3200,128,32,-682,1886,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,1,0,1,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",132,33,-341,943,4,1,1655,1729,260,65,-124,1600,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,2,0,2,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",264,66,-62,800,136,34,1558,2200,8,2,-901,2593,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,3,0,3,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",12,3,1278,3025,268,67,-31,400,140,35,779,1100,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,4,0,4,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",144,36,-1339,550,16,4,639,3241,272,68,1713,200,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,5,0,5,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",276,69,-872,100,148,37,1059,275,20,5,-1409,3349,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,6,0,6,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",24,6,1024,3403,280,70,-436,50,152,38,-1199,1866,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,7,0,7,"Branch0 lane0: r[0,4,8,...,380]","r0 r132 r264 r12 r144 r276 r24 r156","r256 r4 r136 r268 r16 r148 r280 r28","r128 r260 r8 r140 r272 r20 r152 r284",156,39,1129,933,28,7,512,3430,284,71,-218,25,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,8,1,0,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",288,72,-109,1741,160,40,-1164,2195,32,8,256,1715,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,9,1,1,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",36,9,128,2586,292,73,1674,2599,164,41,-582,2826,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
