pair_i,low_input_pos,high_input_pos,top_zeta_mont,top_zeta_normal,asm_loop_iter,asm_lane,asm_low_load_register,asm_high_load_register,asm_temp_register,branch0_output_pos,branch0_output_register,branch0_formula,branch1_output_pos,branch1_output_register,branch1_formula,notes
0,0,384,-1033,2735,0,0,v4,v10,v16,0,v4,t=fqmul_zeta_top_a[384];r[0]=a[0]+t,384,v10,t=fqmul_zeta_top_a[384];r[384]=a[0]+a[384]-t,matches_original_ntt_s_level0_load_shape
1,1,385,-1033,2735,0,1,v4,v10,v16,1,v4,t=fqmul_zeta_top_a[385];r[1]=a[1]+t,385,v10,t=fqmul_zeta_top_a[385];r[385]=a[1]+a[385]-t,matches_original_ntt_s_level0_load_shape
2,2,386,-1033,2735,0,2,v4,v10,v16,2,v4,t=fqmul_zeta_top_a[386];r[2]=a[2]+t,386,v10,t=fqmul_zeta_top_a[386];r[386]=a[2]+a[386]-t,matches_original_ntt_s_level0_load_shape
3,3,387,-1033,2735,0,3,v4,v10,v16,3,v4,t=fqmul_zeta_top_a[387];r[3]=a[3]+t,387,v10,t=fqmul_zeta_top_a[387];r[387]=a[3]+a[387]-t,matches_original_ntt_s_level0_load_shape
4,4,388,-1033,2735,0,4,v4,v10,v16,4,v4,t=fqmul_zeta_top_a[388];r[4]=a[4]+t,388,v10,t=fqmul_zeta_top_a[388];r[388]=a[4]+a[388]-t,matches_original_ntt_s_level0_load_shape
5,5,389,-1033,2735,0,5,v4,v10,v16,5,v4,t=fqmul_zeta_top_a[389];r[5]=a[5]+t,389,v10,t=fqmul_zeta_top_a[389];r[389]=a[5]+a[389]-t,matches_original_ntt_s_level0_load_shape
6,6,390,-1033,2735,0,6,v4,v10,v16,6,v4,t=fqmul_zeta_top_a[390];r[6]=a[6]+t,390,v10,t=fqmul_zeta_top_a[390];r[390]=a[6]+a[390]-t,matches_original_ntt_s_level0_load_shape
7,7,391,-1033,2735,0,7,v4,v10,v16,7,v4,t=fqmul_zeta_top_a[391];r[7]=a[7]+t,391,v10,t=fqmul_zeta_top_a[391];r[391]=a[7]+a[391]-t,matches_original_ntt_s_level0_load_shape
8,8,392,-1033,2735,1,0,v4,v10,v16,8,v4,t=fqmul_zeta_top_a[392];r[8]=a[8]+t,392,v10,t=fqmul_zeta_top_a[392];r[392]=a[8]+a[392]-t,matches_original_ntt_s_level0_load_shape
9,9,393,-1033,2735,1,1,v4,v10,v16,9,v4,t=fqmul_zeta_top_a[393];r[9]=a[9]+t,393,v10,t=fqmul_zeta_top_a[393];r[393]=a[9]+a[393]-t,matches_original_ntt_s_level0_load_shape
10,10,394,-1033,2735,1,2,v4,v10,v16,10,v4,t=fqmul_zeta_top_a[394];r[10]=a[10]+t,394,v10,t=fqmul_zeta_top_a[394];r[394]=a[10]+a[394]-t,matches_original_ntt_s_level0_load_shape
11,11,395,-1033,2735,1,3,v4,v10,v16,11,v4,t=fqmul_zeta_top_a[395];r[11]=a[11]+t,395,v10,t=fqmul_zeta_top_a[395];r[395]=a[11]+a[395]-t,matches_original_ntt_s_level0_load_shape
12,12,396,-1033,2735,1,4,v4,v10,v16,12,v4,t=fqmul_zeta_top_a[396];r[12]=a[12]+t,396,v10,t=fqmul_zeta_top_a[396];r[396]=a[12]+a[396]-t,matches_original_ntt_s_level0_load_shape
13,13,397,-1033,2735,1,5,v4,v10,v16,13,v4,t=fqmul_zeta_top_a[397];r[13]=a[13]+t,397,v10,t=fqmul_zeta_top_a[397];r[397]=a[13]+a[397]-t,matches_original_ntt_s_level0_load_shape
14,14,398,-1033,2735,1,6,v4,v10,v16,14,v4,t=fqmul_zeta_top_a[398];r[14]=a[14]+t,398,v10,t=fqmul_zeta_top_a[398];r[398]=a[14]+a[398]-t,matches_original_ntt_s_level0_load_shape
15,15,399,-1033,2735,1,7,v4,v10,v16,15,v4,t=fqmul_zeta_top_a[399];r[15]=a[15]+t,399,v10,t=fqmul_zeta_top_a[399];r[399]=a[15]+a[399]-t,matches_original_ntt_s_level0_load_shape
16,16,400,-1033,2735,2,0,v4,v10,v16,16,v4,t=fqmul_zeta_top_a[400];r[16]=a[16]+t,400,v10,t=fqmul_zeta_top_a[400];r[400]=a[16]+a[400]-t,matches_original_ntt_s_level0_load_shape
17,17,401,-1033,2735,2,1,v4,v10,v16,17,v4,t=fqmul_zeta_top_a[401];r[17]=a[17]+t,401,v10,t=fqmul_zeta_top_a[401];r[401]=a[17]+a[401]-t,matches_original_ntt_s_level0_load_shape
