branch,base_F,block_k,position_start,position_end,lane_count,exponent,twist_table,twist_index,twist_mont,twist_normal,operation,expanded_positions,notes
0,2,0,0,3,4,-0,twist_branch0,0,-147,1,r[0..3]=r[0..3]*2^(-0),r[0]|r[1]|r[2]|r[3],same_twist_for_four_quartic_lanes
0,2,1,4,7,4,-1,twist_branch0,1,1655,1729,r[4..7]=r[4..7]*2^(-1),r[4]|r[5]|r[6]|r[7],same_twist_for_four_quartic_lanes
0,2,2,8,11,4,-2,twist_branch0,2,-901,2593,r[8..11]=r[8..11]*2^(-2),r[8]|r[9]|r[10]|r[11],same_twist_for_four_quartic_lanes
0,2,3,12,15,4,-3,twist_branch0,3,1278,3025,r[12..15]=r[12..15]*2^(-3),r[12]|r[13]|r[14]|r[15],same_twist_for_four_quartic_lanes
0,2,4,16,19,4,-4,twist_branch0,4,639,3241,r[16..19]=r[16..19]*2^(-4),r[16]|r[17]|r[18]|r[19],same_twist_for_four_quartic_lanes
0,2,5,20,23,4,-5,twist_branch0,5,-1409,3349,r[20..23]=r[20..23]*2^(-5),r[20]|r[21]|r[22]|r[23],same_twist_for_four_quartic_lanes
0,2,6,24,27,4,-6,twist_branch0,6,1024,3403,r[24..27]=r[24..27]*2^(-6),r[24]|r[25]|r[26]|r[27],same_twist_for_four_quartic_lanes
0,2,7,28,31,4,-7,twist_branch0,7,512,3430,r[28..31]=r[28..31]*2^(-7),r[28]|r[29]|r[30]|r[31],same_twist_for_four_quartic_lanes
0,2,8,32,35,4,-8,twist_branch0,8,256,1715,r[32..35]=r[32..35]*2^(-8),r[32]|r[33]|r[34]|r[35],same_twist_for_four_quartic_lanes
0,2,9,36,39,4,-9,twist_branch0,9,128,2586,r[36..39]=r[36..39]*2^(-9),r[36]|r[37]|r[38]|r[39],same_twist_for_four_quartic_lanes
0,2,10,40,43,4,-10,twist_branch0,10,64,1293,r[40..43]=r[40..43]*2^(-10),r[40]|r[41]|r[42]|r[43],same_twist_for_four_quartic_lanes
0,2,11,44,47,4,-11,twist_branch0,11,32,2375,r[44..47]=r[44..47]*2^(-11),r[44]|r[45]|r[46]|r[47],same_twist_for_four_quartic_lanes
0,2,12,48,51,4,-12,twist_branch0,12,16,2916,r[48..51]=r[48..51]*2^(-12),r[48]|r[49]|r[50]|r[51],same_twist_for_four_quartic_lanes
0,2,13,52,55,4,-13,twist_branch0,13,8,1458,r[52..55]=r[52..55]*2^(-13),r[52]|r[53]|r[54]|r[55],same_twist_for_four_quartic_lanes
0,2,14,56,59,4,-14,twist_branch0,14,4,729,r[56..59]=r[56..59]*2^(-14),r[56]|r[57]|r[58]|r[59],same_twist_for_four_quartic_lanes
0,2,15,60,63,4,-15,twist_branch0,15,2,2093,r[60..63]=r[60..63]*2^(-15),r[60]|r[61]|r[62]|r[63],same_twist_for_four_quartic_lanes
