loop,group,half,branch,branch_output,top_split_output_register,coeff_start,coeff_end,block0,block1,twist_table,twist_index0,twist_index1,twist_mont0,twist_mont1,twist_asm_multiplier0,twist_asm_multiplier1,twist_precompute0,twist_precompute1,twist_multiplier_vector,twist_precompute_vector,semi_expanded_multiplier_hword,semi_expanded_precompute_hword,compact_hword,operation,notes
0,0,0,1,B1,v10,0,7,0,1,twist_branch1,0,1,-147,779,1,1100,9,10427,1|1|1|1|1100|1100|1100|1100,9|9|9|9|10427|10427|10427|10427,1|1|1|1|1100|1100|1100|1100,9|9|9|9|10427|10427|10427|10427,1|1100|9|10427,fqmul_B1[0..7]_by_twist_twist_branch1_k0_k1,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,1,B1,v11,8,15,2,3,twist_branch1,2,3,-436,923,50,-312,474,-2957,50|50|50|50|-312|-312|-312|-312,474|474|474|474|-2957|-2957|-2957|-2957,50|50|50|50|-312|-312|-312|-312,474|474|474|474|-2957|-2957|-2957|-2957,50|-312|474|-2957,fqmul_B1[8..15]_by_twist_twist_branch1_k2_k3,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,1,B1,v12,128,135,32,33,twist_branch1,32,33,460,1278,867,-432,8218,-4095,867|867|867|867|-432|-432|-432|-432,8218|8218|8218|8218|-4095|-4095|-4095|-4095,867|867|867|867|-432|-432|-432|-432,8218|8218|8218|8218|-4095|-4095|-4095|-4095,867|-432|8218|-4095,fqmul_B1[128..135]_by_twist_twist_branch1_k32_k33,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,1,B1,v13,136,143,34,35,twist_branch1,34,35,-1199,1674,-1591,-858,-15081,-8133,-1591|-1591|-1591|-1591|-858|-858|-858|-858,-15081|-15081|-15081|-15081|-8133|-8133|-8133|-8133,-1591|-1591|-1591|-1591|-858|-858|-858|-858,-15081|-15081|-15081|-15081|-8133|-8133|-8133|-8133,-1591|-858|-15081|-8133,fqmul_B1[136..143]_by_twist_twist_branch1_k34_k35,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,1,B1,v14,256,263,64,65,twist_branch1,64,65,1265,-1671,1520,-1188,14408,-11261,1520|1520|1520|1520|-1188|-1188|-1188|-1188,14408|14408|14408|14408|-11261|-11261|-11261|-11261,1520|1520|1520|1520|-1188|-1188|-1188|-1188,14408|14408|14408|14408|-11261|-11261|-11261|-11261,1520|-1188|14408|-11261,fqmul_B1[256..263]_by_twist_twist_branch1_k64_k65,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,1,B1,v15,264,271,66,67,twist_branch1,66,67,1024,-582,-54,-631,-512,-5981,-54|-54|-54|-54|-631|-631|-631|-631,-512|-512|-512|-512|-5981|-5981|-5981|-5981,-54|-54|-54|-54|-631|-631|-631|-631,-512|-512|-512|-512|-5981|-5981|-5981|-5981,-54|-631|-512|-5981,fqmul_B1[264..271]_by_twist_twist_branch1_k66_k67,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,0,B0,v4,0,7,0,1,twist_branch0,0,1,-147,1655,1,-1728,9,-16379,1|1|1|1|-1728|-1728|-1728|-1728,9|9|9|9|-16379|-16379|-16379|-16379,1|1|1|1|-1728|-1728|-1728|-1728,9|9|9|9|-16379|-16379|-16379|-16379,1|-1728|9|-16379,fqmul_B0[0..7]_by_twist_twist_branch0_k0_k1,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,0,B0,v5,8,15,2,3,twist_branch0,2,3,-901,1278,-864,-432,-8190,-4095,-864|-864|-864|-864|-432|-432|-432|-432,-8190|-8190|-8190|-8190|-4095|-4095|-4095|-4095,-864|-864|-864|-864|-432|-432|-432|-432,-8190|-8190|-8190|-8190|-4095|-4095|-4095|-4095,-864|-432|-8190|-4095,fqmul_B0[8..15]_by_twist_twist_branch0_k2_k3,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,0,B0,v6,128,135,32,33,twist_branch0,32,33,-682,-341,-1571,943,-14891,8938,-1571|-1571|-1571|-1571|943|943|943|943,-14891|-14891|-14891|-14891|8938|8938|8938|8938,-1571|-1571|-1571|-1571|943|943|943|943,-14891|-14891|-14891|-14891|8938|8938|8938|8938,-1571|943|-14891|8938,fqmul_B0[128..135]_by_twist_twist_branch0_k32_k33,twist_before_zip;vector_shape=[k0x4|k1x4]
0,0,0,0,B0,v7,136,143,34,35,twist_branch0,34,35,1558,779,-1257,1100,-11915,10427,-1257|-1257|-1257|-1257|1100|1100|1100|1100,-11915|-11915|-11915|-11915|10427|10427|10427|10427,-1257|-1257|-1257|-1257|1100|1100|1100|1100,-11915|-11915|-11915|-11915|10427|10427|10427|10427,-1257|1100|-11915|10427,fqmul_B0[136..143]_by_twist_twist_branch0_k34_k35,twist_before_zip;vector_shape=[k0x4|k1x4]
