stage,len,step,start,j,lo_index,hi_index,lo_register,lo_lane,hi_register,hi_lane,twiddle_power,twiddle_mont,twiddle_normal,pair_shape,shuffle_need,vector_strategy,notes
1,32,1,0,0,0,16,v4,0,v6,0,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,1,1,17,v4,1,v6,1,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,2,2,18,v4,2,v6,2,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,3,3,19,v4,3,v6,3,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,4,4,20,v4,4,v6,4,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,5,5,21,v4,5,v6,5,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,6,6,22,v4,6,v6,6,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,7,7,23,v4,7,v6,7,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,8,8,24,v5,0,v7,0,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,9,9,25,v5,1,v7,1,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
1,32,1,0,10,10,26,v5,2,v7,2,0,-147,1,cross_register_same_lane,no_cross_register_same_lane,vector_butterflies_v4_vs_v6_and_v5_vs_v7,ct_twiddle_is_montgomery_one_multiply_can_be_skipped
