input_model,schedule,phase,stage,len,policy,input_bound_abs,fqmul_input_bound_abs,output_bound_abs,max_abs,ceil_abs_over_q,exceeds_centered_q,exceeds_int16,range_class,next_addsub_i16_safe,next_fqmul_montgomery_safe,notes
centered_input_abs_le_q_over_2,current_ref,top_split_raw,-1,0,no_reduce,1728,1728,6912,6912,2,1,0,lt_2q,1,1,r0=a0+t1_and_r1=a0+a1-t1
centered_input_abs_le_q_over_2,current_ref,after_twist,-1,0,fqmul,6912,6912,3456,3456,1,1,0,lt_1q,1,1,twist_fqmul_reduces_to_montgomery_output_range
centered_input_abs_le_q_over_2,current_ref,dft3_d_raw,-1,0,before_d_reduce,3456,3456,6912,6912,2,1,0,lt_2q,1,1,x1-x2_before_barrett_reduce
centered_input_abs_le_q_over_2,current_ref,dft3_t,-1,0,fqmul_omega3,1728,1728,3456,3456,1,1,0,lt_1q,1,1,d_is_centered_before_fqmul
centered_input_abs_le_q_over_2,current_ref,dft3_y_raw,-1,0,before_optional_reduce,3456,3456,10368,10368,3,1,0,lt_4q,1,1,x0+x1+x2_or_x0-xi+t
centered_input_abs_le_q_over_2,current_ref,dft3_y_stored,-1,0,reduced,10368,10368,1728,1728,1,0,0,centered,1,1,input_to_dif_ntt32_before_optional_reduce
centered_input_abs_le_q_over_2,current_ref,ntt32_natural_input,0,1,reduced,1728,1728,1728,1728,1,0,0,centered,1,1,work_natural_input_bound
centered_input_abs_le_q_over_2,current_ref,ntt32_stage_raw,1,32,before_optional_reduce,1728,1728,3456,3456,1,1,0,lt_1q,1,1,dif_low_is_u_plus_v_high_is_fqmul(u_minus_v)
centered_input_abs_le_q_over_2,current_ref,ntt32_stage_stored,1,32,reduced,3456,3456,1728,1728,1,0,0,centered,1,1,stored_after_stage
centered_input_abs_le_q_over_2,current_ref,ntt32_stage_raw,2,16,before_optional_reduce,1728,1728,3456,3456,1,1,0,lt_1q,1,1,dif_low_is_u_plus_v_high_is_fqmul(u_minus_v)
