tile,k3,branch,n32,quartic_degree,source_low_n3_0,source_low_n3_1,source_low_n3_2,source_high_n3_0,source_high_n3_1,source_high_n3_2,tile_word,physical_Q,logical_k32,logical_exponent,terminal_lambda_mont,inverse_tile_word
0,0,0,0,0,0,256,128,384,640,512,0,0,0,0,1655,0
0,0,0,0,1,1,257,129,385,641,513,1,0,0,0,1655,1
0,0,0,0,2,2,258,130,386,642,514,2,0,0,0,1655,2
0,0,0,0,3,3,259,131,387,643,515,3,0,0,0,1655,3
0,0,0,1,0,132,4,260,516,388,644,4,1,16,48,-1655,4
0,0,0,1,1,133,5,261,517,389,645,5,1,16,48,-1655,5
0,0,0,1,2,134,6,262,518,390,646,6,1,16,48,-1655,6
0,0,0,1,3,135,7,263,519,391,647,7,1,16,48,-1655,7
0,0,0,2,0,264,136,8,648,520,392,8,2,8,24,183,8
0,0,0,2,1,265,137,9,649,521,393,9,2,8,24,183,9
0,0,0,2,2,266,138,10,650,522,394,10,2,8,24,183,10
0,0,0,2,3,267,139,11,651,523,395,11,2,8,24,183,11
0,0,0,3,0,12,268,140,396,652,524,12,3,24,72,-183,12
0,0,0,3,1,13,269,141,397,653,525,13,3,24,72,-183,13
0,0,0,3,2,14,270,142,398,654,526,14,3,24,72,-183,14
0,0,0,3,3,15,271,143,399,655,527,15,3,24,72,-183,15
0,0,0,4,0,144,16,272,528,400,656,16,4,4,12,-1674,16
0,0,0,4,1,145,17,273,529,401,657,17,4,4,12,-1674,17
0,0,0,4,2,146,18,274,530,402,658,18,4,4,12,-1674,18
0,0,0,4,3,147,19,275,531,403,659,19,4,4,12,-1674,19
0,0,0,5,0,276,148,20,660,532,404,20,5,20,60,1674,20
0,0,0,5,1,277,149,21,661,533,405,21,5,20,60,1674,21
0,0,0,5,2,278,150,22,662,534,406,22,5,20,60,1674,22
0,0,0,5,3,279,151,23,663,535,407,23,5,20,60,1674,23
0,0,0,6,0,24,280,152,408,664,536,24,6,12,36,-559,24
0,0,0,6,1,25,281,153,409,665,537,25,6,12,36,-559,25
0,0,0,6,2,26,282,154,410,666,538,26,6,12,36,-559,26
0,0,0,6,3,27,283,155,411,667,539,27,6,12,36,-559,27
0,0,0,7,0,156,28,284,540,412,668,28,7,28,84,559,28
0,0,0,7,1,157,29,285,541,413,669,29,7,28,84,559,29
0,0,0,7,2,158,30,286,542,414,670,30,7,28,84,559,30
0,0,0,7,3,159,31,287,543,415,671,31,7,28,84,559,31
0,0,0,8,0,288,160,32,672,544,416,32,8,2,6,-397,32
0,0,0,8,1,289,161,33,673,545,417,33,8,2,6,-397,33
0,0,0,8,2,290,162,34,674,546,418,34,8,2,6,-397,34
0,0,0,8,3,291,163,35,675,547,419,35,8,2,6,-397,35
0,0,0,9,0,36,292,164,420,676,548,36,9,18,54,397,36
0,0,0,9,1,37,293,165,421,677,549,37,9,18,54,397,37
0,0,0,9,2,38,294,166,422,678,550,38,9,18,54,397,38
0,0,0,9,3,39,295,167,423,679,551,39,9,18,54,397,39
0,0,0,10,0,168,40,296,552,424,680,40,10,10,30,1059,40
0,0,0,10,1,169,41,297,553,425,681,41,10,10,30,1059,41
0,0,0,10,2,170,42,298,554,426,682,42,10,10,30,1059,42
0,0,0,10,3,171,43,299,555,427,683,43,10,10,30,1059,43
0,0,0,11,0,300,172,44,684,556,428,44,11,26,78,-1059,44
0,0,0,11,1,301,173,45,685,557,429,45,11,26,78,-1059,45
0,0,0,11,2,302,174,46,686,558,430,46,11,26,78,-1059,46
0,0,0,11,3,303,175,47,687,559,431,47,11,26,78,-1059,47
0,0,0,12,0,48,304,176,432,688,560,48,12,6,18,-223,48
0,0,0,12,1,49,305,177,433,689,561,49,12,6,18,-223,49
0,0,0,12,2,50,306,178,434,690,562,50,12,6,18,-223,50
0,0,0,12,3,51,307,179,435,691,563,51,12,6,18,-223,51
0,0,0,13,0,180,52,308,564,436,692,52,13,22,66,223,52
0,0,0,13,1,181,53,309,565,437,693,53,13,22,66,223,53
0,0,0,13,2,182,54,310,566,438,694,54,13,22,66,223,54
0,0,0,13,3,183,55,311,567,439,695,55,13,22,66,223,55
0,0,0,14,0,312,184,56,696,568,440,56,14,14,42,-1138,56
0,0,0,14,1,313,185,57,697,569,441,57,14,14,42,-1138,57
0,0,0,14,2,314,186,58,698,570,442,58,14,14,42,-1138,58
0,0,0,14,3,315,187,59,699,571,443,59,14,14,42,-1138,59
0,0,0,15,0,60,316,188,444,700,572,60,15,30,90,1138,60
0,0,0,15,1,61,317,189,445,701,573,61,15,30,90,1138,61
0,0,0,15,2,62,318,190,446,702,574,62,15,30,90,1138,62
0,0,0,15,3,63,319,191,447,703,575,63,15,30,90,1138,63
0,0,0,16,0,192,64,320,576,448,704,64,16,1,3,242,64
0,0,0,16,1,193,65,321,577,449,705,65,16,1,3,242,65
0,0,0,16,2,194,66,322,578,450,706,66,16,1,3,242,66
0,0,0,16,3,195,67,323,579,451,707,67,16,1,3,242,67
0,0,0,17,0,324,196,68,708,580,452,68,17,17,51,-242,68
0,0,0,17,1,325,197,69,709,581,453,69,17,17,51,-242,69
0,0,0,17,2,326,198,70,710,582,454,70,17,17,51,-242,70
0,0,0,17,3,327,199,71,711,583,455,71,17,17,51,-242,71
0,0,0,18,0,72,328,200,456,712,584,72,18,9,27,1514,72
0,0,0,18,1,73,329,201,457,713,585,73,18,9,27,1514,73
0,0,0,18,2,74,330,202,458,714,586,74,18,9,27,1514,74
0,0,0,18,3,75,331,203,459,715,587,75,18,9,27,1514,75
0,0,0,19,0,204,76,332,588,460,716,76,19,25,75,-1514,76
0,0,0,19,1,205,77,333,589,461,717,77,19,25,75,-1514,77
0,0,0,19,2,206,78,334,590,462,718,78,19,25,75,-1514,78
0,0,0,19,3,207,79,335,591,463,719,79,19,25,75,-1514,79
0,0,0,20,0,336,208,80,720,592,464,80,20,5,15,432,80
0,0,0,20,1,337,209,81,721,593,465,81,20,5,15,432,81
0,0,0,20,2,338,210,82,722,594,466,82,20,5,15,432,82
0,0,0,20,3,339,211,83,723,595,467,83,20,5,15,432,83
0,0,0,21,0,84,340,212,468,724,596,84,21,21,63,-432,84
0,0,0,21,1,85,341,213,469,725,597,85,21,21,63,-432,85
0,0,0,21,2,86,342,214,470,726,598,86,21,21,63,-432,86
0,0,0,21,3,87,343,215,471,727,599,87,21,21,63,-432,87
0,0,0,22,0,216,88,344,600,472,728,88,22,13,39,-1640,88
0,0,0,22,1,217,89,345,601,473,729,89,22,13,39,-1640,89
0,0,0,22,2,218,90,346,602,474,730,90,22,13,39,-1640,90
0,0,0,22,3,219,91,347,603,475,731,91,22,13,39,-1640,91
0,0,0,23,0,348,220,92,732,604,476,92,23,29,87,1640,92
0,0,0,23,1,349,221,93,733,605,477,93,23,29,87,1640,93
0,0,0,23,2,350,222,94,734,606,478,94,23,29,87,1640,94
0,0,0,23,3,351,223,95,735,607,479,95,23,29,87,1640,95
0,0,0,24,0,96,352,224,480,736,608,96,24,3,9,437,96
0,0,0,24,1,97,353,225,481,737,609,97,24,3,9,437,97
0,0,0,24,2,98,354,226,482,738,610,98,24,3,9,437,98
0,0,0,24,3,99,355,227,483,739,611,99,24,3,9,437,99
0,0,0,25,0,228,100,356,612,484,740,100,25,19,57,-437,100
0,0,0,25,1,229,101,357,613,485,741,101,25,19,57,-437,101
0,0,0,25,2,230,102,358,614,486,742,102,25,19,57,-437,102
0,0,0,25,3,231,103,359,615,487,743,103,25,19,57,-437,103
0,0,0,26,0,360,232,104,744,616,488,104,26,11,33,-1723,104
0,0,0,26,1,361,233,105,745,617,489,105,26,11,33,-1723,105
0,0,0,26,2,362,234,106,746,618,490,106,26,11,33,-1723,106
0,0,0,26,3,363,235,107,747,619,491,107,26,11,33,-1723,107
0,0,0,27,0,108,364,236,492,748,620,108,27,27,81,1723,108
0,0,0,27,1,109,365,237,493,749,621,109,27,27,81,1723,109
0,0,0,27,2,110,366,238,494,750,622,110,27,27,81,1723,110
0,0,0,27,3,111,367,239,495,751,623,111,27,27,81,1723,111
0,0,0,28,0,240,112,368,624,496,752,112,28,7,21,-277,112
0,0,0,28,1,241,113,369,625,497,753,113,28,7,21,-277,113
0,0,0,28,2,242,114,370,626,498,754,114,28,7,21,-277,114
0,0,0,28,3,243,115,371,627,499,755,115,28,7,21,-277,115
0,0,0,29,0,372,244,116,756,628,500,116,29,23,69,277,116
0,0,0,29,1,373,245,117,757,629,501,117,29,23,69,277,117
0,0,0,29,2,374,246,118,758,630,502,118,29,23,69,277,118
0,0,0,29,3,375,247,119,759,631,503,119,29,23,69,277,119
0,0,0,30,0,120,376,248,504,760,632,120,30,15,45,-933,120
0,0,0,30,1,121,377,249,505,761,633,121,30,15,45,-933,121
0,0,0,30,2,122,378,250,506,762,634,122,30,15,45,-933,122
0,0,0,30,3,123,379,251,507,763,635,123,30,15,45,-933,123
0,0,0,31,0,252,124,380,636,508,764,124,31,31,93,933,124
0,0,0,31,1,253,125,381,637,509,765,125,31,31,93,933,125
0,0,0,31,2,254,126,382,638,510,766,126,31,31,93,933,126
0,0,0,31,3,255,127,383,639,511,767,127,31,31,93,933,127
1,0,1,0,0,0,256,128,384,640,512,128,0,0,0,779,128
1,0,1,0,1,1,257,129,385,641,513,129,0,0,0,779,129
1,0,1,0,2,2,258,130,386,642,514,130,0,0,0,779,130
1,0,1,0,3,3,259,131,387,643,515,131,0,0,0,779,131
1,0,1,1,0,132,4,260,516,388,644,132,1,16,48,-779,132
1,0,1,1,1,133,5,261,517,389,645,133,1,16,48,-779,133
1,0,1,1,2,134,6,262,518,390,646,134,1,16,48,-779,134
1,0,1,1,3,135,7,263,519,391,647,135,1,16,48,-779,135
1,0,1,2,0,264,136,8,648,520,392,136,2,8,24,1588,136
1,0,1,2,1,265,137,9,649,521,393,137,2,8,24,1588,137
1,0,1,2,2,266,138,10,650,522,394,138,2,8,24,1588,138
1,0,1,2,3,267,139,11,651,523,395,139,2,8,24,1588,139
1,0,1,3,0,12,268,140,396,652,524,140,3,24,72,-1588,140
1,0,1,3,1,13,269,141,397,653,525,141,3,24,72,-1588,141
1,0,1,3,2,14,270,142,398,654,526,142,3,24,72,-1588,142
1,0,1,3,3,15,271,143,399,655,527,143,3,24,72,-1588,143
1,0,1,4,0,144,16,272,528,400,656,144,4,4,12,-1095,144
1,0,1,4,1,145,17,273,529,401,657,145,4,4,12,-1095,145
1,0,1,4,2,146,18,274,530,402,658,146,4,4,12,-1095,146
1,0,1,4,3,147,19,275,531,403,659,147,4,4,12,-1095,147
1,0,1,5,0,276,148,20,660,532,404,148,5,20,60,1095,148
1,0,1,5,1,277,149,21,661,533,405,149,5,20,60,1095,149
1,0,1,5,2,278,150,22,662,534,406,150,5,20,60,1095,150
1,0,1,5,3,279,151,23,663,535,407,151,5,20,60,1095,151
1,0,1,6,0,24,280,152,408,664,536,152,6,12,36,892,152
1,0,1,6,1,25,281,153,409,665,537,153,6,12,36,892,153
1,0,1,6,2,26,282,154,410,666,538,154,6,12,36,892,154
1,0,1,6,3,27,283,155,411,667,539,155,6,12,36,892,155
1,0,1,7,0,156,28,284,540,412,668,156,7,28,84,-892,156
1,0,1,7,1,157,29,285,541,413,669,157,7,28,84,-892,157
1,0,1,7,2,158,30,286,542,414,670,158,7,28,84,-892,158
1,0,1,7,3,159,31,287,543,415,671,159,7,28,84,-892,159
1,0,1,8,0,288,160,32,672,544,416,160,8,2,6,1221,160
1,0,1,8,1,289,161,33,673,545,417,161,8,2,6,1221,161
1,0,1,8,2,290,162,34,674,546,418,162,8,2,6,1221,162
1,0,1,8,3,291,163,35,675,547,419,163,8,2,6,1221,163
1,0,1,9,0,36,292,164,420,676,548,164,9,18,54,-1221,164
1,0,1,9,1,37,293,165,421,677,549,165,9,18,54,-1221,165
1,0,1,9,2,38,294,166,422,678,550,166,9,18,54,-1221,166
1,0,1,9,3,39,295,167,423,679,551,167,9,18,54,-1221,167
1,0,1,10,0,168,40,296,552,424,680,168,10,10,30,-218,168
1,0,1,10,1,169,41,297,553,425,681,169,10,10,30,-218,169
1,0,1,10,2,170,42,298,554,426,682,170,10,10,30,-218,170
1,0,1,10,3,171,43,299,555,427,683,171,10,10,30,-218,171
1,0,1,11,0,300,172,44,684,556,428,172,11,26,78,218,172
1,0,1,11,1,301,173,45,685,557,429,173,11,26,78,218,173
1,0,1,11,2,302,174,46,686,558,430,174,11,26,78,218,174
1,0,1,11,3,303,175,47,687,559,431,175,11,26,78,218,175
1,0,1,12,0,48,304,176,432,688,560,176,12,6,18,294,176
1,0,1,12,1,49,305,177,433,689,561,177,12,6,18,294,177
1,0,1,12,2,50,306,178,434,690,562,178,12,6,18,294,178
1,0,1,12,3,51,307,179,435,691,563,179,12,6,18,294,179
1,0,1,13,0,180,52,308,564,436,692,180,13,22,66,-294,180
1,0,1,13,1,181,53,309,565,437,693,181,13,22,66,-294,181
1,0,1,13,2,182,54,310,566,438,694,182,13,22,66,-294,182
1,0,1,13,3,183,55,311,567,439,695,183,13,22,66,-294,183
1,0,1,14,0,312,184,56,696,568,440,184,14,14,42,-732,184
1,0,1,14,1,313,185,57,697,569,441,185,14,14,42,-732,185
1,0,1,14,2,314,186,58,698,570,442,186,14,14,42,-732,186
1,0,1,14,3,315,187,59,699,571,443,187,14,14,42,-732,187
1,0,1,15,0,60,316,188,444,700,572,188,15,30,90,732,188
1,0,1,15,1,61,317,189,445,701,573,189,15,30,90,732,189
1,0,1,15,2,62,318,190,446,702,574,190,15,30,90,732,190
1,0,1,15,3,63,319,191,447,703,575,191,15,30,90,732,191
1,0,1,16,0,192,64,320,576,448,704,192,16,1,3,22,192
1,0,1,16,1,193,65,321,577,449,705,193,16,1,3,22,193
1,0,1,16,2,194,66,322,578,450,706,194,16,1,3,22,194
1,0,1,16,3,195,67,323,579,451,707,195,16,1,3,22,195
1,0,1,17,0,324,196,68,708,580,452,196,17,17,51,-22,196
1,0,1,17,1,325,197,69,709,581,453,197,17,17,51,-22,197
1,0,1,17,2,326,198,70,710,582,454,198,17,17,51,-22,198
1,0,1,17,3,327,199,71,711,583,455,199,17,17,51,-22,199
1,0,1,18,0,72,328,200,456,712,584,200,18,9,27,1709,200
1,0,1,18,1,73,329,201,457,713,585,201,18,9,27,1709,201
1,0,1,18,2,74,330,202,458,714,586,202,18,9,27,1709,202
1,0,1,18,3,75,331,203,459,715,587,203,18,9,27,1709,203
1,0,1,19,0,204,76,332,588,460,716,204,19,25,75,-1709,204
1,0,1,19,1,205,77,333,589,461,717,205,19,25,75,-1709,205
1,0,1,19,2,206,78,334,590,462,718,206,19,25,75,-1709,206
1,0,1,19,3,207,79,335,591,463,719,207,19,25,75,-1709,207
1,0,1,20,0,336,208,80,720,592,464,208,20,5,15,-275,208
1,0,1,20,1,337,209,81,721,593,465,209,20,5,15,-275,209
1,0,1,20,2,338,210,82,722,594,466,210,20,5,15,-275,210
1,0,1,20,3,339,211,83,723,595,467,211,20,5,15,-275,211
1,0,1,21,0,84,340,212,468,724,596,212,21,21,63,275,212
1,0,1,21,1,85,341,213,469,725,597,213,21,21,63,275,213
1,0,1,21,2,86,342,214,470,726,598,214,21,21,63,275,214
1,0,1,21,3,87,343,215,471,727,599,215,21,21,63,275,215
1,0,1,22,0,216,88,344,600,472,728,216,22,13,39,1108,216
1,0,1,22,1,217,89,345,601,473,729,217,22,13,39,1108,217
1,0,1,22,2,218,90,346,602,474,730,218,22,13,39,1108,218
1,0,1,22,3,219,91,347,603,475,731,219,22,13,39,1108,219
1,0,1,23,0,348,220,92,732,604,476,220,23,29,87,-1108,220
1,0,1,23,1,349,221,93,733,605,477,221,23,29,87,-1108,221
1,0,1,23,2,350,222,94,734,606,478,222,23,29,87,-1108,222
1,0,1,23,3,351,223,95,735,607,479,223,23,29,87,-1108,223
1,0,1,24,0,96,352,224,480,736,608,224,24,3,9,354,224
1,0,1,24,1,97,353,225,481,737,609,225,24,3,9,354,225
1,0,1,24,2,98,354,226,482,738,610,226,24,3,9,354,226
1,0,1,24,3,99,355,227,483,739,611,227,24,3,9,354,227
1,0,1,25,0,228,100,356,612,484,740,228,25,19,57,-354,228
1,0,1,25,1,229,101,357,613,485,741,229,25,19,57,-354,229
1,0,1,25,2,230,102,358,614,486,742,230,25,19,57,-354,230
1,0,1,25,3,231,103,359,615,487,743,231,25,19,57,-354,231
1,0,1,26,0,360,232,104,744,616,488,232,26,11,33,-1728,232
1,0,1,26,1,361,233,105,745,617,489,233,26,11,33,-1728,233
1,0,1,26,2,362,234,106,746,618,490,234,26,11,33,-1728,234
1,0,1,26,3,363,235,107,747,619,491,235,26,11,33,-1728,235
1,0,1,27,0,108,364,236,492,748,620,236,27,27,81,1728,236
1,0,1,27,1,109,365,237,493,749,621,237,27,27,81,1728,237
1,0,1,27,2,110,366,238,494,750,622,238,27,27,81,1728,238
1,0,1,27,3,111,367,239,495,751,623,239,27,27,81,1728,239
1,0,1,28,0,240,112,368,624,496,752,240,28,7,21,-968,240
1,0,1,28,1,241,113,369,625,497,753,241,28,7,21,-968,241
1,0,1,28,2,242,114,370,626,498,754,242,28,7,21,-968,242
1,0,1,28,3,243,115,371,627,499,755,243,28,7,21,-968,243
1,0,1,29,0,372,244,116,756,628,500,244,29,23,69,968,244
1,0,1,29,1,373,245,117,757,629,501,245,29,23,69,968,245
1,0,1,29,2,374,246,118,758,630,502,246,29,23,69,968,246
1,0,1,29,3,375,247,119,759,631,503,247,29,23,69,968,247
1,0,1,30,0,120,376,248,504,760,632,248,30,15,45,858,248
1,0,1,30,1,121,377,249,505,761,633,249,30,15,45,858,249
1,0,1,30,2,122,378,250,506,762,634,250,30,15,45,858,250
1,0,1,30,3,123,379,251,507,763,635,251,30,15,45,858,251
1,0,1,31,0,252,124,380,636,508,764,252,31,31,93,-858,252
1,0,1,31,1,253,125,381,637,509,765,253,31,31,93,-858,253
1,0,1,31,2,254,126,382,638,510,766,254,31,31,93,-858,254
1,0,1,31,3,255,127,383,639,511,767,255,31,31,93,-858,255
2,1,0,0,0,0,256,128,384,640,512,256,0,0,32,-443,256
2,1,0,0,1,1,257,129,385,641,513,257,0,0,32,-443,257
2,1,0,0,2,2,258,130,386,642,514,258,0,0,32,-443,258
2,1,0,0,3,3,259,131,387,643,515,259,0,0,32,-443,259
2,1,0,1,0,132,4,260,516,388,644,260,1,16,80,443,260
2,1,0,1,1,133,5,261,517,389,645,261,1,16,80,443,261
2,1,0,1,2,134,6,262,518,390,646,262,1,16,80,443,262
2,1,0,1,3,135,7,263,519,391,647,263,1,16,80,443,263
2,1,0,2,0,264,136,8,648,520,392,264,2,8,56,-943,264
2,1,0,2,1,265,137,9,649,521,393,265,2,8,56,-943,265
2,1,0,2,2,266,138,10,650,522,394,266,2,8,56,-943,266
2,1,0,2,3,267,139,11,651,523,395,267,2,8,56,-943,267
2,1,0,3,0,12,268,140,396,652,524,268,3,24,8,943,268
2,1,0,3,1,13,269,141,397,653,525,269,3,24,8,943,269
2,1,0,3,2,14,270,142,398,654,526,270,3,24,8,943,270
2,1,0,3,3,15,271,143,399,655,527,271,3,24,8,943,271
