region,block,slot,observation,bank,cycles
0,0,0,0,0,12371
0,0,0,1,1,12344
0,0,0,2,2,12308
0,0,0,3,3,12418
0,0,0,4,4,12421
0,0,0,5,5,12468
0,0,0,6,6,12447
0,0,0,7,7,12389
0,0,0,8,8,12423
0,0,0,9,9,12504
0,0,0,10,10,12487
0,0,0,11,11,12459
0,0,0,12,12,12534
0,0,0,13,13,12450
0,0,0,14,14,12479
0,0,0,15,15,12444
0,0,0,16,0,12514
0,0,0,17,1,12431
0,0,0,18,2,12414
0,0,0,19,3,12447
0,0,0,20,4,12454
0,0,0,21,5,12390
0,0,0,22,6,12499
0,0,0,23,7,12443
0,0,0,24,8,12456
0,0,0,25,9,12426
0,0,0,26,10,12439
0,0,0,27,11,12451
0,0,0,28,12,12338
0,0,0,29,13,12525
0,0,0,30,14,12426
0,0,0,31,15,12498
0,0,1,0,0,12234
0,0,1,1,1,12414
0,0,1,2,2,12383
0,0,1,3,3,12285
0,0,1,4,4,12348
0,0,1,5,5,12370
0,0,1,6,6,12383
0,0,1,7,7,12405
0,0,1,8,8,12365
0,0,1,9,9,12451
0,0,1,10,10,12359
0,0,1,11,11,12429
0,0,1,12,12,12252
0,0,1,13,13,12480
0,0,1,14,14,12409
0,0,1,15,15,12371
0,0,1,16,0,12417
0,0,1,17,1,12328
0,0,1,18,2,12423
0,0,1,19,3,12339
0,0,1,20,4,12332
0,0,1,21,5,12368
0,0,1,22,6,12427
0,0,1,23,7,12439
0,0,1,24,8,12407
0,0,1,25,9,12434
0,0,1,26,10,12375
0,0,1,27,11,12436
0,0,1,28,12,12361
0,0,1,29,13,12410
0,0,1,30,14,12363
0,0,1,31,15,12356
0,0,2,0,0,12448
0,0,2,1,1,12396
0,0,2,2,2,12468
0,0,2,3,3,12377
0,0,2,4,4,12432
0,0,2,5,5,12305
0,0,2,6,6,12376
0,0,2,7,7,12400
0,0,2,8,8,12247
0,0,2,9,9,12390
0,0,2,10,10,12356
0,0,2,11,11,12332
0,0,2,12,12,12407
0,0,2,13,13,12314
0,0,2,14,14,12395
0,0,2,15,15,23193
0,0,2,16,0,12435
0,0,2,17,1,12381
0,0,2,18,2,12408
0,0,2,19,3,12413
0,0,2,20,4,12448
0,0,2,21,5,12402
0,0,2,22,6,12387
0,0,2,23,7,12359
0,0,2,24,8,12408
0,0,2,25,9,12397
0,0,2,26,10,12419
0,0,2,27,11,12392
0,0,2,28,12,12297
0,0,2,29,13,12355
0,0,2,30,14,12312
0,0,2,31,15,12350
0,0,3,0,0,12429
0,0,3,1,1,12406
0,0,3,2,2,12472
0,0,3,3,3,12477
0,0,3,4,4,12509
0,0,3,5,5,12453
0,0,3,6,6,12474
0,0,3,7,7,12399
0,0,3,8,8,12368
0,0,3,9,9,12485
0,0,3,10,10,12423
0,0,3,11,11,12454
0,0,3,12,12,12498
0,0,3,13,13,12448
0,0,3,14,14,12463
0,0,3,15,15,12447
0,0,3,16,0,12365
0,0,3,17,1,12449
0,0,3,18,2,12445
0,0,3,19,3,12347
0,0,3,20,4,12514
0,0,3,21,5,12389
0,0,3,22,6,12383
0,0,3,23,7,12443
0,0,3,24,8,12454
0,0,3,25,9,12440
0,0,3,26,10,12443
0,0,3,27,11,12416
0,0,3,28,12,12421
0,0,3,29,13,12415
0,0,3,30,14,12429
0,0,3,31,15,12520
0,1,0,0,0,12410
0,1,0,1,1,12250
0,1,0,2,2,12265
0,1,0,3,3,12411
0,1,0,4,4,12410
0,1,0,5,5,12465
0,1,0,6,6,12393
0,1,0,7,7,12395
0,1,0,8,8,12431
0,1,0,9,9,12381
0,1,0,10,10,12326
0,1,0,11,11,12413
0,1,0,12,12,12270
0,1,0,13,13,12335
0,1,0,14,14,12355
0,1,0,15,15,12367
0,1,0,16,0,12395
0,1,0,17,1,12475
0,1,0,18,2,12303
0,1,0,19,3,12289
0,1,0,20,4,12391
0,1,0,21,5,12311
0,1,0,22,6,12391
0,1,0,23,7,12391
0,1,0,24,8,12307
0,1,0,25,9,12326
