region,block,slot,observation,bank,cycles
0,0,0,0,0,12517
0,0,0,1,1,12353
0,0,0,2,2,12450
0,0,0,3,3,12475
0,0,0,4,4,12392
0,0,0,5,5,12469
0,0,0,6,6,12459
0,0,0,7,7,12390
0,0,0,8,8,12444
0,0,0,9,9,12492
0,0,0,10,10,12314
0,0,0,11,11,12387
0,0,0,12,12,12318
0,0,0,13,13,12287
0,0,0,14,14,12291
0,0,0,15,15,12409
0,0,0,16,0,12353
0,0,0,17,1,12398
0,0,0,18,2,12338
0,0,0,19,3,12376
0,0,0,20,4,12344
0,0,0,21,5,12357
0,0,0,22,6,12292
0,0,0,23,7,12383
0,0,0,24,8,12377
0,0,0,25,9,12394
0,0,0,26,10,12412
0,0,0,27,11,12352
0,0,0,28,12,12387
0,0,0,29,13,12389
0,0,0,30,14,12288
0,0,0,31,15,12305
0,0,1,0,0,12358
0,0,1,1,1,12269
0,0,1,2,2,12313
0,0,1,3,3,12321
0,0,1,4,4,12254
0,0,1,5,5,12329
0,0,1,6,6,12376
0,0,1,7,7,12312
0,0,1,8,8,12363
0,0,1,9,9,12254
0,0,1,10,10,12232
0,0,1,11,11,12346
0,0,1,12,12,12272
0,0,1,13,13,12472
0,0,1,14,14,12378
0,0,1,15,15,12311
0,0,1,16,0,12383
0,0,1,17,1,12332
0,0,1,18,2,12360
0,0,1,19,3,12423
0,0,1,20,4,12341
0,0,1,21,5,12409
0,0,1,22,6,12269
0,0,1,23,7,12267
0,0,1,24,8,12361
0,0,1,25,9,12249
0,0,1,26,10,12341
0,0,1,27,11,12366
0,0,1,28,12,12283
0,0,1,29,13,12317
0,0,1,30,14,12318
0,0,1,31,15,12414
0,0,2,0,0,12397
0,0,2,1,1,12383
0,0,2,2,2,12376
0,0,2,3,3,12274
0,0,2,4,4,12342
0,0,2,5,5,12309
0,0,2,6,6,12300
0,0,2,7,7,12333
0,0,2,8,8,12334
0,0,2,9,9,12282
0,0,2,10,10,12296
0,0,2,11,11,12299
0,0,2,12,12,12449
0,0,2,13,13,12268
0,0,2,14,14,12255
0,0,2,15,15,12297
0,0,2,16,0,12267
0,0,2,17,1,12322
0,0,2,18,2,12370
0,0,2,19,3,12331
0,0,2,20,4,12312
0,0,2,21,5,12375
0,0,2,22,6,12390
0,0,2,23,7,12398
0,0,2,24,8,12377
0,0,2,25,9,12354
0,0,2,26,10,12307
0,0,2,27,11,12248
0,0,2,28,12,12320
0,0,2,29,13,12322
0,0,2,30,14,12324
0,0,2,31,15,12288
0,0,3,0,0,12385
0,0,3,1,1,12357
0,0,3,2,2,12376
0,0,3,3,3,12398
0,0,3,4,4,12495
0,0,3,5,5,12367
0,0,3,6,6,12368
0,0,3,7,7,12394
0,0,3,8,8,12303
0,0,3,9,9,12291
0,0,3,10,10,12278
0,0,3,11,11,12414
0,0,3,12,12,12267
0,0,3,13,13,12431
0,0,3,14,14,12362
0,0,3,15,15,12354
0,0,3,16,0,12363
0,0,3,17,1,12355
0,0,3,18,2,12345
0,0,3,19,3,12276
0,0,3,20,4,12346
0,0,3,21,5,12353
0,0,3,22,6,12319
0,0,3,23,7,12379
0,0,3,24,8,12295
0,0,3,25,9,12295
0,0,3,26,10,12368
0,0,3,27,11,12373
0,0,3,28,12,12309
0,0,3,29,13,12380
0,0,3,30,14,12358
0,0,3,31,15,12472
0,1,0,0,0,12369
0,1,0,1,1,12349
0,1,0,2,2,12466
0,1,0,3,3,12308
0,1,0,4,4,12326
0,1,0,5,5,12309
0,1,0,6,6,12301
0,1,0,7,7,12285
0,1,0,8,8,12288
0,1,0,9,9,12313
0,1,0,10,10,12399
0,1,0,11,11,12300
0,1,0,12,12,12291
0,1,0,13,13,12225
0,1,0,14,14,12256
0,1,0,15,15,12328
0,1,0,16,0,12271
0,1,0,17,1,12276
0,1,0,18,2,12370
0,1,0,19,3,12304
0,1,0,20,4,12327
0,1,0,21,5,12432
0,1,0,22,6,12329
0,1,0,23,7,12283
0,1,0,24,8,12295
0,1,0,25,9,12424
0,1,0,26,10,12272
0,1,0,27,11,12341
0,1,0,28,12,12339
0,1,0,29,13,12281
0,1,0,30,14,12342
0,1,0,31,15,12298
0,1,1,0,0,12343
0,1,1,1,1,12818
0,1,1,2,2,12377
0,1,1,3,3,12356
0,1,1,4,4,12317
0,1,1,5,5,12355
0,1,1,6,6,12357
0,1,1,7,7,12431
0,1,1,8,8,12389
0,1,1,9,9,12377
0,1,1,10,10,12377
0,1,1,11,11,12313
0,1,1,12,12,12324
0,1,1,13,13,12391
0,1,1,14,14,12374
0,1,1,15,15,12392
0,1,1,16,0,12429
0,1,1,17,1,12368
0,1,1,18,2,12356
0,1,1,19,3,12487
0,1,1,20,4,12358
0,1,1,21,5,12322
0,1,1,22,6,12419
0,1,1,23,7,12414
0,1,1,24,8,12299
0,1,1,25,9,12380
0,1,1,26,10,12356
0,1,1,27,11,12310
0,1,1,28,12,12465
0,1,1,29,13,12346
