/home/nuc/src/ntru_plus/ntruplus-ntt-Optimized/Additional_Implementation/avx2/NTRU+768/experiments/avx2_gt32_tile4_official_001/results/encap-consumer-hash-stage-short-20260922-a1/measure  :
section                size     addr
.note.gnu.build-id       36      848
.interp                  28      884
.gnu.hash                40      912
.dynsym                 936      952
.dynstr                 515     1888
.gnu.version             78     2404
.gnu.version_r          160     2488
.rela.dyn              1320     2648
.rela.plt               768     3968
.init                    27     8192
.plt                    528     8224
.plt.got                  8     8752
.text                 65559     8768
.fini                    13    74328
.rodata               57584    77824
.eh_frame_hdr           628   135408
.eh_frame              2664   136040
.note.gnu.property       32   138704
.note.ABI-tag            32   138736
.init_array               8   142160
.fini_array               8   142168
.data.rel.ro            352   142176
.dynamic                496   142528
.got                    320   143024
.data                    56   143360
.bss                 102272   143424
.comment                 38        0
.debug_aranges          544        0
.debug_info           22264        0
.debug_abbrev          5119        0
.debug_line            8888        0
.debug_str            12972        0
.debug_loc            13661        0
.debug_ranges          2800        0
Total                300754
