region,variant,block,slot,cycles
0,0,0,0,1619
0,1,0,1,1276
0,1,0,2,1124
0,0,0,3,1132
0,1,1,0,1072
0,0,1,1,1132
0,0,1,2,1067
0,1,1,3,1148
0,0,2,0,1107
0,1,2,1,1093
0,1,2,2,1091
0,0,2,3,1137
0,1,3,0,1093
0,0,3,1,1168
0,0,3,2,1115
0,1,3,3,1143
0,0,4,0,1070
0,1,4,1,1096
0,1,4,2,1072
0,0,4,3,1132
0,1,5,0,1092
0,0,5,1,1153
0,0,5,2,1097
0,1,5,3,1191
0,0,6,0,1073
0,1,6,1,1087
0,1,6,2,1089
0,0,6,3,1140
0,1,7,0,1114
0,0,7,1,1095
0,0,7,2,1073
0,1,7,3,1122
0,0,8,0,1083
0,1,8,1,1126
0,1,8,2,1078
0,0,8,3,1131
0,1,9,0,1110
0,0,9,1,1123
0,0,9,2,1085
0,1,9,3,1120
0,0,10,0,1074
0,1,10,1,1102
0,1,10,2,1088
0,0,10,3,1146
0,1,11,0,1105
0,0,11,1,1105
0,0,11,2,1029
0,1,11,3,1126
0,0,12,0,1090
0,1,12,1,1085
0,1,12,2,1070
0,0,12,3,1109
0,1,13,0,1099
0,0,13,1,1085
0,0,13,2,1066
0,1,13,3,1106
0,0,14,0,1106
0,1,14,1,1092
0,1,14,2,1078
0,0,14,3,1111
0,1,15,0,1099
0,0,15,1,1097
0,0,15,2,1124
0,1,15,3,1149
0,0,16,0,1052
0,1,16,1,1082
0,1,16,2,1119
0,0,16,3,1101
0,1,17,0,1118
0,0,17,1,1087
0,0,17,2,1080
0,1,17,3,1127
0,0,18,0,1073
0,1,18,1,1089
0,1,18,2,1068
0,0,18,3,1141
0,1,19,0,1102
0,0,19,1,1133
0,0,19,2,1069
0,1,19,3,1135
0,0,20,0,1075
0,1,20,1,1100
0,1,20,2,1090
0,0,20,3,1107
0,1,21,0,1099
0,0,21,1,1077
0,0,21,2,1084
0,1,21,3,1130
0,0,22,0,1091
0,1,22,1,1082
0,1,22,2,1057
0,0,22,3,1122
