region,variant,block,slot,cycles
0,0,0,0,2963
0,1,0,1,1623
0,2,0,2,907
0,3,0,3,975
0,3,0,4,924
0,2,0,5,948
0,1,0,6,968
0,0,0,7,928
0,3,1,0,903
0,2,1,1,948
0,1,1,2,919
0,0,1,3,908
0,0,1,4,901
0,1,1,5,917
0,2,1,6,933
0,3,1,7,915
0,0,2,0,928
0,1,2,1,908
0,2,2,2,941
0,3,2,3,943
0,3,2,4,939
0,2,2,5,913
0,1,2,6,918
0,0,2,7,925
0,3,3,0,926
0,2,3,1,903
0,1,3,2,929
0,0,3,3,916
0,0,3,4,894
0,1,3,5,913
0,2,3,6,914
0,3,3,7,985
0,0,4,0,926
0,1,4,1,913
0,2,4,2,906
0,3,4,3,931
0,3,4,4,920
0,2,4,5,936
0,1,4,6,896
0,0,4,7,918
0,3,5,0,937
0,2,5,1,924
0,1,5,2,929
0,0,5,3,932
0,0,5,4,917
0,1,5,5,920
0,2,5,6,901
0,3,5,7,942
0,0,6,0,928
0,1,6,1,922
0,2,6,2,929
0,3,6,3,889
0,3,6,4,913
0,2,6,5,917
0,1,6,6,928
0,0,6,7,922
0,3,7,0,919
0,2,7,1,927
0,1,7,2,938
0,0,7,3,907
0,0,7,4,902
0,1,7,5,896
0,2,7,6,917
0,3,7,7,924
0,0,8,0,921
0,1,8,1,932
0,2,8,2,897
0,3,8,3,887
0,3,8,4,889
0,2,8,5,926
0,1,8,6,900
0,0,8,7,930
0,3,9,0,918
0,2,9,1,902
0,1,9,2,915
0,0,9,3,2108
0,0,9,4,2799
0,1,9,5,2706
0,2,9,6,2166
0,3,9,7,2312
0,0,10,0,2812
0,1,10,1,1994
0,2,10,2,1891
0,3,10,3,1256
0,3,10,4,2390
0,2,10,5,2123
0,1,10,6,2745
0,0,10,7,1615
0,3,11,0,2841
0,2,11,1,1568
0,1,11,2,1755
0,0,11,3,2261
0,0,11,4,919
0,1,11,5,907
0,2,11,6,2091
0,3,11,7,2808
0,0,12,0,2841
0,1,12,1,2039
0,2,12,2,1211
0,3,12,3,899
0,3,12,4,2081
0,2,12,5,926
0,1,12,6,942
0,0,12,7,1784
0,3,13,0,2886
0,2,13,1,1727
0,1,13,2,2226
0,0,13,3,2394
0,0,13,4,1251
0,1,13,5,943
0,2,13,6,2107
