parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
768,normal-aslr-off,keypair_cycles,-155.7382812500009,-152.30208333333212,-171.03515625000205,-141.52734375000136,16,16,candidate-faster
768,normal-aslr-off,enc_cycles,-99.83984375000023,-94.07291666666606,-129.72395833333462,-73.39192708333303,16,16,candidate-faster
768,normal-aslr-off,dec_cycles,-167.9153645833344,-161.31250000000364,-191.91536458333485,-143.16406249999932,16,16,candidate-faster
768,normal-aslr-on,keypair_cycles,-155.2968750000009,-156.18750000000182,-172.38151041666674,-138.61067708333508,16,16,candidate-faster
768,normal-aslr-on,enc_cycles,-119.21875000000023,-62.23958333333394,-246.3216145833337,-38.993489583332575,12,16,candidate-faster
768,normal-aslr-on,dec_cycles,-197.77473958333303,-207.0208333333303,-234.98177083333326,-160.48958333333348,16,16,candidate-faster
768,reversed-aslr-off,keypair_cycles,-220.46223958333303,-215.4479166666697,-233.1614583333337,-208.50911458333348,16,16,candidate-faster
768,reversed-aslr-off,enc_cycles,-110.8515625,-103.33333333333394,-137.93229166666674,-85.02994791666606,16,16,candidate-faster
768,reversed-aslr-off,dec_cycles,-197.7174479166672,-217.71874999999636,-244.4440104166656,-148.86197916666742,16,16,candidate-faster
768,reversed-aslr-on,keypair_cycles,-188.56770833333348,-173.97916666666424,-248.72656249999955,-138.02734375000045,16,16,candidate-faster
768,reversed-aslr-on,enc_cycles,-105.41666666666629,-89.96875,-177.85286458333326,-34.945312499999545,14,16,candidate-faster
768,reversed-aslr-on,dec_cycles,-223.73177083333485,-236.09375000000364,-252.51432291666924,-194.95703125000045,16,16,candidate-faster
