parameter,setting,operation,paired_mean_delta_cycles,paired_median_delta_cycles,bootstrap_ci95_low,bootstrap_ci95_high,favorable_blocks,blocks,direction
768,normal-aslr-off,keypair_cycles,31.154947916666742,36.1666666666697,20.80859375,41.73958333333417,1,16,candidate-slower
768,normal-aslr-off,enc_cycles,20.707031249999773,-5.59375,-15.824218749999545,68.03515625000045,9,16,candidate-slower
768,normal-aslr-off,dec_cycles,63.38671875000068,71.1145833333303,36.882812500001364,89.21093750000023,2,16,candidate-slower
768,normal-aslr-on,keypair_cycles,57.76171875,52.82291666666788,44.91796875,72.24479166666652,0,16,candidate-slower
768,normal-aslr-on,enc_cycles,38.04166666666674,25.42708333333394,-37.447916666667425,111.99739583333417,6,16,candidate-slower
768,normal-aslr-on,dec_cycles,30.460937499999318,33.3645833333303,-9.927083333334622,66.16145833333258,5,16,candidate-slower
768,reversed-aslr-off,keypair_cycles,44.24088541666583,42.75,26.84374999999909,61.320312500000455,2,16,candidate-slower
768,reversed-aslr-off,enc_cycles,-1.611979166666515,-7.14583333333394,-40.15494791666629,37.86328125000023,9,16,candidate-faster
768,reversed-aslr-off,dec_cycles,-65.10937500000068,-70.89583333333394,-97.95312499999977,-35.296875000001364,14,16,candidate-faster
768,reversed-aslr-on,keypair_cycles,100.05859374999977,101.97916666666606,80.76822916666629,121.6953125,0,16,candidate-slower
768,reversed-aslr-on,enc_cycles,-25.123697916666515,4.270833333335759,-90.15364583333326,32.078125,7,16,candidate-faster
768,reversed-aslr-on,dec_cycles,62.760416666666515,55.53125000000182,28.881510416667197,94.48958333333326,3,16,candidate-slower
