cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1027 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,898
0,0,0,1,782
0,0,0,2,772
0,0,0,3,765
0,0,0,4,750
0,0,0,5,1432
0,0,0,6,819
0,0,0,7,775
0,0,0,8,1568
0,0,0,9,806
0,0,0,10,784
0,0,0,11,1408
0,0,0,12,767
0,0,0,13,780
0,0,0,14,771
0,0,0,15,818
0,0,0,16,810
0,0,0,17,781
0,0,0,18,800
0,0,0,19,791
0,0,0,20,854
0,0,0,21,813
0,0,0,22,782
0,0,0,23,783
0,0,0,24,774
0,0,0,25,766
0,0,0,26,769
0,0,0,27,777
0,0,0,28,771
0,0,0,29,799
0,0,0,30,787
0,0,0,31,802
0,1,0,0,880
0,1,0,1,734
0,1,0,2,747
0,1,0,3,765
0,1,0,4,754
0,1,0,5,759
0,1,0,6,774
0,1,0,7,752
0,1,0,8,969
0,1,0,9,765
0,1,0,10,761
0,1,0,11,761
0,1,0,12,764
0,1,0,13,760
0,1,0,14,759
0,1,0,15,736
0,1,0,16,760
0,1,0,17,746
0,1,0,18,767
0,1,0,19,764
0,1,0,20,749
0,1,0,21,752
0,1,0,22,776
0,1,0,23,751
0,1,0,24,769
0,1,0,25,742
0,1,0,26,772
0,1,0,27,768
0,1,0,28,760
0,1,0,29,791
0,1,0,30,755
0,1,0,31,760
0,1,0,0,759
0,1,0,1,751
0,1,0,2,760
0,1,0,3,749
0,1,0,4,761
0,1,0,5,751
0,1,0,6,758
0,1,0,7,775
0,1,0,8,753
0,1,0,9,752
0,1,0,10,874
0,1,0,11,746
0,1,0,12,764
0,1,0,13,786
0,1,0,14,781
0,1,0,15,782
0,1,0,16,772
0,1,0,17,756
0,1,0,18,785
0,1,0,19,773
0,1,0,20,743
0,1,0,21,749
0,1,0,22,779
0,1,0,23,758
0,1,0,24,761
0,1,0,25,754
0,1,0,26,765
0,1,0,27,766
0,1,0,28,757
0,1,0,29,760
0,1,0,30,764
0,1,0,31,780
0,0,0,0,799
0,0,0,1,780
0,0,0,2,768
0,0,0,3,775
0,0,0,4,764
0,0,0,5,798
0,0,0,6,789
0,0,0,7,769
0,0,0,8,901
0,0,0,9,780
0,0,0,10,779
0,0,0,11,786
0,0,0,12,765
0,0,0,13,787
0,0,0,14,772
0,0,0,15,780
0,0,0,16,814
0,0,0,17,783
0,0,0,18,776
0,0,0,19,782
0,0,0,20,775
0,0,0,21,785
0,0,0,22,780
0,0,0,23,804
0,0,0,24,799
0,0,0,25,912
0,0,0,26,793
0,0,0,27,813
0,0,0,28,797
0,0,0,29,833
0,0,0,30,778
0,0,0,31,778
0,1,1,0,756
0,1,1,1,758
0,1,1,2,748
0,1,1,3,767
0,1,1,4,736
0,1,1,5,777
0,1,1,6,758
0,1,1,7,748
0,1,1,8,897
0,1,1,9,728
0,1,1,10,754
0,1,1,11,753
0,1,1,12,754
0,1,1,13,748
0,1,1,14,759
0,1,1,15,763
0,1,1,16,746
0,1,1,17,759
0,1,1,18,780
0,1,1,19,765
0,1,1,20,746
0,1,1,21,769
0,1,1,22,769
0,1,1,23,754
0,1,1,24,773
0,1,1,25,740
0,1,1,26,776
0,1,1,27,766
0,1,1,28,760
0,1,1,29,768
0,1,1,30,749
0,1,1,31,760
0,0,1,0,784
0,0,1,1,760
0,0,1,2,791
0,0,1,3,785
0,0,1,4,778
0,0,1,5,782
0,0,1,6,777
0,0,1,7,787
0,0,1,8,922
0,0,1,9,775
0,0,1,10,835
0,0,1,11,787
0,0,1,12,782
0,0,1,13,790
0,0,1,14,781
0,0,1,15,806
0,0,1,16,817
0,0,1,17,774
0,0,1,18,783
0,0,1,19,789
0,0,1,20,775
0,0,1,21,809
0,0,1,22,790
0,0,1,23,786
0,0,1,24,820
0,0,1,25,814
0,0,1,26,814
0,0,1,27,793
0,0,1,28,780
0,0,1,29,803
0,0,1,30,781
0,0,1,31,794
0,0,1,0,764
0,0,1,1,787
0,0,1,2,777
0,0,1,3,797
0,0,1,4,776
0,0,1,5,794
0,0,1,6,793
0,0,1,7,813
0,0,1,8,926
0,0,1,9,777
0,0,1,10,822
0,0,1,11,769
0,0,1,12,795
