cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,879
0,0,0,1,773
0,0,0,2,759
0,0,0,3,774
0,0,0,4,774
0,0,0,5,1456
0,0,0,6,793
0,0,0,7,769
0,0,0,8,1415
0,0,0,9,787
0,0,0,10,764
0,0,0,11,1420
0,0,0,12,823
0,0,0,13,812
0,0,0,14,788
0,0,0,15,785
0,0,0,16,831
0,0,0,17,789
0,0,0,18,818
0,0,0,19,777
0,0,0,20,779
0,0,0,21,791
0,0,0,22,779
0,0,0,23,805
0,0,0,24,787
0,0,0,25,758
0,0,0,26,778
0,0,0,27,765
0,0,0,28,790
0,0,0,29,783
0,0,0,30,776
0,0,0,31,785
0,1,0,0,873
0,1,0,1,760
0,1,0,2,760
0,1,0,3,773
0,1,0,4,761
0,1,0,5,760
0,1,0,6,772
0,1,0,7,761
0,1,0,8,760
0,1,0,9,750
0,1,0,10,740
0,1,0,11,760
0,1,0,12,763
0,1,0,13,762
0,1,0,14,750
0,1,0,15,767
0,1,0,16,785
0,1,0,17,751
0,1,0,18,764
0,1,0,19,767
0,1,0,20,769
0,1,0,21,792
0,1,0,22,757
0,1,0,23,766
0,1,0,24,765
0,1,0,25,744
0,1,0,26,786
0,1,0,27,761
0,1,0,28,762
0,1,0,29,746
0,1,0,30,764
0,1,0,31,757
0,1,0,0,770
0,1,0,1,744
0,1,0,2,750
0,1,0,3,754
0,1,0,4,767
0,1,0,5,779
0,1,0,6,761
0,1,0,7,757
0,1,0,8,758
0,1,0,9,750
0,1,0,10,754
0,1,0,11,761
0,1,0,12,764
0,1,0,13,777
0,1,0,14,761
0,1,0,15,780
0,1,0,16,783
0,1,0,17,757
0,1,0,18,772
0,1,0,19,755
0,1,0,20,761
0,1,0,21,797
0,1,0,22,763
0,1,0,23,751
0,1,0,24,781
0,1,0,25,763
0,1,0,26,767
0,1,0,27,761
0,1,0,28,768
0,1,0,29,777
0,1,0,30,726
0,1,0,31,776
0,0,0,0,828
0,0,0,1,788
0,0,0,2,790
0,0,0,3,773
0,0,0,4,789
0,0,0,5,784
0,0,0,6,784
0,0,0,7,763
0,0,0,8,778
0,0,0,9,797
0,0,0,10,804
0,0,0,11,785
0,0,0,12,780
0,0,0,13,813
0,0,0,14,776
0,0,0,15,777
0,0,0,16,804
0,0,0,17,789
0,0,0,18,787
0,0,0,19,795
0,0,0,20,803
0,0,0,21,813
0,0,0,22,794
0,0,0,23,811
0,0,0,24,810
0,0,0,25,787
0,0,0,26,824
0,0,0,27,788
0,0,0,28,803
0,0,0,29,792
0,0,0,30,774
0,0,0,31,785
0,1,1,0,764
0,1,1,1,766
0,1,1,2,761
0,1,1,3,758
0,1,1,4,766
0,1,1,5,778
0,1,1,6,765
0,1,1,7,765
0,1,1,8,762
0,1,1,9,759
0,1,1,10,776
0,1,1,11,764
0,1,1,12,761
0,1,1,13,760
0,1,1,14,756
0,1,1,15,751
0,1,1,16,767
0,1,1,17,758
0,1,1,18,733
0,1,1,19,766
0,1,1,20,764
0,1,1,21,750
0,1,1,22,758
0,1,1,23,727
0,1,1,24,780
0,1,1,25,739
0,1,1,26,761
0,1,1,27,755
0,1,1,28,745
0,1,1,29,777
0,1,1,30,770
0,1,1,31,775
0,0,1,0,781
0,0,1,1,786
0,0,1,2,786
0,0,1,3,764
0,0,1,4,775
0,0,1,5,819
0,0,1,6,778
0,0,1,7,763
0,0,1,8,773
0,0,1,9,772
0,0,1,10,805
0,0,1,11,790
0,0,1,12,785
0,0,1,13,796
0,0,1,14,764
0,0,1,15,987
0,0,1,16,1061
0,0,1,17,1215
0,0,1,18,1105
0,0,1,19,1006
0,0,1,20,1000
0,0,1,21,948
0,0,1,22,1022
0,0,1,23,778
0,0,1,24,811
0,0,1,25,772
0,0,1,26,800
0,0,1,27,769
0,0,1,28,792
0,0,1,29,817
0,0,1,30,781
0,0,1,31,793
0,0,1,0,775
0,0,1,1,766
0,0,1,2,787
0,0,1,3,782
0,0,1,4,794
0,0,1,5,813
0,0,1,6,807
0,0,1,7,772
0,0,1,8,809
0,0,1,9,778
0,0,1,10,819
0,0,1,11,774
0,0,1,12,783
0,0,1,13,821
0,0,1,14,793
0,0,1,15,810
0,0,1,16,783
0,0,1,17,789
0,0,1,18,772
0,0,1,19,779
0,0,1,20,778
0,0,1,21,763
0,0,1,22,768
0,0,1,23,778
0,0,1,24,806
0,0,1,25,769
0,0,1,26,776
0,0,1,27,788
0,0,1,28,769
0,0,1,29,778
0,0,1,30,762
0,0,1,31,808
0,1,1,0,751
0,1,1,1,749
0,1,1,2,759
0,1,1,3,759
0,1,1,4,757
0,1,1,5,748
0,1,1,6,757
0,1,1,7,752
0,1,1,8,747
0,1,1,9,756
0,1,1,10,773
0,1,1,11,759
0,1,1,12,763
0,1,1,13,755
0,1,1,14,763
0,1,1,15,753
0,1,1,16,777
0,1,1,17,752
0,1,1,18,780
0,1,1,19,756
0,1,1,20,741
0,1,1,21,776
0,1,1,22,754
0,1,1,23,747
0,1,1,24,768
0,1,1,25,760
0,1,1,26,776
0,1,1,27,753
0,1,1,28,746
0,1,1,29,769
0,1,1,30,739
0,1,1,31,763
0,0,2,0,779
0,0,2,1,770
0,0,2,2,771
0,0,2,3,809
0,0,2,4,761
0,0,2,5,813
0,0,2,6,794
0,0,2,7,808
0,0,2,8,805
0,0,2,9,781
0,0,2,10,808
0,0,2,11,789
0,0,2,12,806
0,0,2,13,794
0,0,2,14,767
0,0,2,15,816
0,0,2,16,806
0,0,2,17,774
0,0,2,18,787
0,0,2,19,772
0,0,2,20,768
0,0,2,21,802
0,0,2,22,786
0,0,2,23,810
0,0,2,24,811
0,0,2,25,774
0,0,2,26,778
0,0,2,27,787
0,0,2,28,795
0,0,2,29,800
0,0,2,30,762
0,0,2,31,788
0,1,2,0,767
0,1,2,1,733
0,1,2,2,737
0,1,2,3,765
0,1,2,4,757
0,1,2,5,786
0,1,2,6,747
0,1,2,7,757
0,1,2,8,770
0,1,2,9,743
0,1,2,10,776
0,1,2,11,766
0,1,2,12,745
0,1,2,13,776
0,1,2,14,761
0,1,2,15,767
0,1,2,16,773
0,1,2,17,745
0,1,2,18,767
0,1,2,19,756
0,1,2,20,753
0,1,2,21,753
0,1,2,22,757
0,1,2,23,737
0,1,2,24,758
0,1,2,25,756
0,1,2,26,739
0,1,2,27,741
0,1,2,28,756
0,1,2,29,754
0,1,2,30,752
0,1,2,31,779
0,1,2,0,761
0,1,2,1,739
0,1,2,2,747
0,1,2,3,754
0,1,2,4,755
0,1,2,5,763
0,1,2,6,756
0,1,2,7,749
0,1,2,8,770
0,1,2,9,740
0,1,2,10,761
0,1,2,11,764
0,1,2,12,761
0,1,2,13,758
0,1,2,14,768
0,1,2,15,739
0,1,2,16,763
0,1,2,17,758
0,1,2,18,755
0,1,2,19,750
0,1,2,20,739
0,1,2,21,757
