family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
0,0,0,0,3463
0,0,0,1,2850
0,0,0,2,2846
0,0,0,3,2820
0,0,0,4,2793
0,0,0,5,2784
0,0,0,6,2810
0,0,0,7,2808
0,0,0,8,2822
0,0,0,9,2820
0,0,0,10,2767
0,0,0,11,2806
0,0,0,12,2784
0,0,0,13,2838
0,0,0,14,2778
0,0,0,15,2774
0,0,0,16,2766
0,0,0,17,2815
0,0,0,18,2801
0,0,0,19,2813
0,0,0,20,2816
0,0,0,21,2817
0,0,0,22,2805
0,0,0,23,2774
0,0,0,24,2805
0,0,0,25,2833
0,0,0,26,2824
0,0,0,27,2770
0,0,0,28,2806
0,0,0,29,2838
0,0,0,30,2814
0,0,0,31,2812
0,1,0,0,3542
0,1,0,1,3542
0,1,0,2,3544
0,1,0,3,3555
0,1,0,4,3571
0,1,0,5,3535
0,1,0,6,3580
0,1,0,7,3523
0,1,0,8,3612
0,1,0,9,4018
0,1,0,10,3548
0,1,0,11,3560
0,1,0,12,3619
0,1,0,13,3547
0,1,0,14,3554
0,1,0,15,3585
0,1,0,16,3590
0,1,0,17,3531
0,1,0,18,3553
0,1,0,19,3586
0,1,0,20,3588
0,1,0,21,3575
0,1,0,22,3579
0,1,0,23,3538
0,1,0,24,3538
0,1,0,25,3568
0,1,0,26,3596
0,1,0,27,3584
0,1,0,28,3565
0,1,0,29,3619
0,1,0,30,3583
0,1,0,31,3524
0,2,0,0,4557
0,2,0,1,4574
0,2,0,2,4575
0,2,0,3,4580
0,2,0,4,4592
0,2,0,5,4627
0,2,0,6,4582
0,2,0,7,4566
0,2,0,8,4592
0,2,0,9,4663
0,2,0,10,4596
0,2,0,11,4540
0,2,0,12,4598
0,2,0,13,4627
0,2,0,14,4603
0,2,0,15,4570
0,2,0,16,4585
0,2,0,17,4583
0,2,0,18,4573
0,2,0,19,4545
0,2,0,20,4608
0,2,0,21,4615
0,2,0,22,4590
0,2,0,23,4631
0,2,0,24,4606
0,2,0,25,4580
0,2,0,26,4579
0,2,0,27,4600
0,2,0,28,4518
0,2,0,29,4571
0,2,0,30,4594
0,2,0,31,4512
0,3,0,0,7132
0,3,0,1,7244
0,3,0,2,7022
0,3,0,3,7098
0,3,0,4,7246
0,3,0,5,7172
0,3,0,6,7152
0,3,0,7,7076
0,3,0,8,7217
0,3,0,9,7188
0,3,0,10,7037
0,3,0,11,7195
0,3,0,12,7145
0,3,0,13,7090
0,3,0,14,7133
0,3,0,15,7029
0,3,0,16,7212
0,3,0,17,7069
0,3,0,18,7181
0,3,0,19,7115
0,3,0,20,7105
0,3,0,21,7092
0,3,0,22,7118
0,3,0,23,7036
0,3,0,24,7044
0,3,0,25,7145
0,3,0,26,7034
0,3,0,27,7131
0,3,0,28,7107
0,3,0,29,7018
0,3,0,30,7056
0,3,0,31,7131
0,4,0,0,7750
0,4,0,1,7857
0,4,0,2,7851
0,4,0,3,7959
0,4,0,4,7815
0,4,0,5,7913
0,4,0,6,7863
0,4,0,7,7845
0,4,0,8,7833
0,4,0,9,7868
0,4,0,10,7847
0,4,0,11,7907
0,4,0,12,7894
0,4,0,13,7857
0,4,0,14,7896
0,4,0,15,7932
0,4,0,16,7924
0,4,0,17,7771
0,4,0,18,7902
0,4,0,19,7941
0,4,0,20,7748
0,4,0,21,7876
0,4,0,22,7864
0,4,0,23,7986
0,4,0,24,7809
0,4,0,25,7751
0,4,0,26,7945
0,4,0,27,7832
0,4,0,28,7839
0,4,0,29,7915
0,4,0,30,7889
0,4,0,31,7853
0,5,0,0,8903
0,5,0,1,8938
0,5,0,2,9150
0,5,0,3,8947
0,5,0,4,8813
0,5,0,5,8864
0,5,0,6,8916
0,5,0,7,8869
0,5,0,8,8959
0,5,0,9,8950
0,5,0,10,8967
0,5,0,11,8929
0,5,0,12,8941
0,5,0,13,8990
0,5,0,14,8944
0,5,0,15,8931
0,5,0,16,8845
0,5,0,17,8804
0,5,0,18,8903
0,5,0,19,8832
0,5,0,20,8875
0,5,0,21,8836
0,5,0,22,8961
0,5,0,23,8951
0,5,0,24,8945
0,5,0,25,8830
0,5,0,26,8918
0,5,0,27,8814
0,5,0,28,8936
0,5,0,29,8926
0,5,0,30,8897
0,5,0,31,8995
0,6,0,0,9618
0,6,0,1,9673
0,6,0,2,9725
0,6,0,3,9642
0,6,0,4,9596
0,6,0,5,9671
0,6,0,6,9799
0,6,0,7,9591
0,6,0,8,9694
0,6,0,9,9713
0,6,0,10,9595
0,6,0,11,9645
0,6,0,12,9538
0,6,0,13,9626
0,6,0,14,9673
0,6,0,15,9777
0,6,0,16,9726
0,6,0,17,9637
0,6,0,18,9625
0,6,0,19,9639
0,6,0,20,9645
0,6,0,21,9694
0,6,0,22,9701
0,6,0,23,9560
0,6,0,24,9690
0,6,0,25,9581
0,6,0,26,9581
0,6,0,27,9710
0,6,0,28,9695
0,6,0,29,9714
0,6,0,30,9678
0,6,0,31,9699
0,7,0,0,10626
0,7,0,1,10653
0,7,0,2,10641
0,7,0,3,10560
0,7,0,4,10680
0,7,0,5,10642
0,7,0,6,10656
0,7,0,7,10688
0,7,0,8,10618
0,7,0,9,10737
0,7,0,10,10586
0,7,0,11,10637
0,7,0,12,10643
0,7,0,13,10673
0,7,0,14,10822
0,7,0,15,10574
0,7,0,16,10735
0,7,0,17,10707
0,7,0,18,10686
0,7,0,19,10649
0,7,0,20,10634
0,7,0,21,10605
0,7,0,22,10609
0,7,0,23,10619
0,7,0,24,10620
0,7,0,25,10569
0,7,0,26,10610
0,7,0,27,10633
0,7,0,28,10810
0,7,0,29,10672
0,7,0,30,10659
0,7,0,31,10534
0,8,0,0,21438
0,8,0,1,21315
0,8,0,2,21471
0,8,0,3,21591
0,8,0,4,21546
0,8,0,5,21645
0,8,0,6,21530
0,8,0,7,21623
0,8,0,8,21650
0,8,0,9,21554
0,8,0,10,21405
0,8,0,11,21630
0,8,0,12,21578
0,8,0,13,21501
0,8,0,14,21389
0,8,0,15,21496
0,8,0,16,21519
0,8,0,17,21598
0,8,0,18,21573
0,8,0,19,21610
0,8,0,20,21670
0,8,0,21,21442
0,8,0,22,21557
0,8,0,23,21575
0,8,0,24,21467
0,8,0,25,21472
0,8,0,26,21457
0,8,0,27,22069
0,8,0,28,21604
0,8,0,29,21414
0,8,0,30,21574
0,8,0,31,21585
0,9,0,0,21920
0,9,0,1,21783
0,9,0,2,21633
0,9,0,3,21488
0,9,0,4,21666
0,9,0,5,21614
0,9,0,6,21829
0,9,0,7,21646
0,9,0,8,21752
0,9,0,9,21693
0,9,0,10,21509
0,9,0,11,21751
0,9,0,12,21628
0,9,0,13,21740
0,9,0,14,21523
0,9,0,15,21606
0,9,0,16,21654
0,9,0,17,21749
0,9,0,18,21695
0,9,0,19,21896
0,9,0,20,21780
0,9,0,21,21472
0,9,0,22,21734
0,9,0,23,21675
0,9,0,24,21633
0,9,0,25,21818
0,9,0,26,21716
0,9,0,27,21835
0,9,0,28,21639
0,9,0,29,21731
0,9,0,30,21759
0,9,0,31,21810
1,0,0,0,426
1,0,0,1,374
1,0,0,2,363
1,0,0,3,366
1,0,0,4,369
1,0,0,5,370
1,0,0,6,363
1,0,0,7,378
1,0,0,8,367
1,0,0,9,374
1,0,0,10,360
1,0,0,11,370
1,0,0,12,378
1,0,0,13,368
1,0,0,14,371
1,0,0,15,372
1,0,0,16,366
1,0,0,17,368
1,0,0,18,365
1,0,0,19,365
1,0,0,20,364
1,0,0,21,376
1,0,0,22,364
1,0,0,23,358
1,0,0,24,375
1,0,0,25,374
1,0,0,26,372
1,0,0,27,368
1,0,0,28,369
1,0,0,29,364
1,0,0,30,366
1,0,0,31,358
1,1,0,0,13861
1,1,0,1,13665
1,1,0,2,13701
1,1,0,3,13755
1,1,0,4,13755
1,1,0,5,13755
1,1,0,6,13560
1,1,0,7,13673
1,1,0,8,13757
1,1,0,9,13711
1,1,0,10,13715
1,1,0,11,13585
1,1,0,12,13781
1,1,0,13,13712
1,1,0,14,13638
1,1,0,15,13812
1,1,0,16,13682
1,1,0,17,13750
1,1,0,18,13744
1,1,0,19,13732
1,1,0,20,13755
1,1,0,21,13700
1,1,0,22,13672
1,1,0,23,13720
1,1,0,24,13656
1,1,0,25,13679
1,1,0,26,13689
1,1,0,27,13726
1,1,0,28,13692
1,1,0,29,13637
1,1,0,30,13684
1,1,0,31,13699
1,2,0,0,14468
1,2,0,1,14527
1,2,0,2,14476
1,2,0,3,14401
1,2,0,4,14434
1,2,0,5,14483
1,2,0,6,14468
1,2,0,7,14482
1,2,0,8,14503
1,2,0,9,14532
1,2,0,10,14522
1,2,0,11,14447
1,2,0,12,14438
1,2,0,13,14832
1,2,0,14,14250
1,2,0,15,14382
1,2,0,16,14427
1,2,0,17,14461
1,2,0,18,14225
1,2,0,19,14439
1,2,0,20,14420
1,2,0,21,14503
1,2,0,22,14516
1,2,0,23,14467
1,2,0,24,14459
1,2,0,25,14440
1,2,0,26,14465
1,2,0,27,14526
1,2,0,28,14409
1,2,0,29,14437
1,2,0,30,14435
1,2,0,31,14306
1,3,0,0,14619
1,3,0,1,14385
1,3,0,2,14412
1,3,0,3,14566
1,3,0,4,14427
1,3,0,5,14682
1,3,0,6,14712
1,3,0,7,14476
1,3,0,8,14707
1,3,0,9,14634
1,3,0,10,14421
1,3,0,11,14421
1,3,0,12,14609
1,3,0,13,14472
1,3,0,14,14669
1,3,0,15,14683
1,3,0,16,14714
1,3,0,17,14634
1,3,0,18,14637
1,3,0,19,14459
1,3,0,20,14667
1,3,0,21,14429
1,3,0,22,14600
1,3,0,23,14665
1,3,0,24,14674
1,3,0,25,14717
1,3,0,26,14669
1,3,0,27,14682
1,3,0,28,14749
1,3,0,29,14772
1,3,0,30,14727
1,3,0,31,14621
1,4,0,0,26700
1,4,0,1,26561
1,4,0,2,26616
1,4,0,3,26652
1,4,0,4,26630
1,4,0,5,26532
1,4,0,6,26157
1,4,0,7,26367
1,4,0,8,26337
1,4,0,9,26593
1,4,0,10,26685
1,4,0,11,26650
1,4,0,12,26656
1,4,0,13,26601
1,4,0,14,26643
1,4,0,15,26562
1,4,0,16,26594
1,4,0,17,26657
1,4,0,18,26664
1,4,0,19,26601
1,4,0,20,26619
1,4,0,21,26604
1,4,0,22,26578
1,4,0,23,26618
1,4,0,24,26542
1,4,0,25,26599
1,4,0,26,26624
1,4,0,27,26634
1,4,0,28,26520
1,4,0,29,26597
1,4,0,30,26637
1,4,0,31,26655
1,5,0,0,26763
1,5,0,1,26656
1,5,0,2,26751
1,5,0,3,26714
1,5,0,4,26697
1,5,0,5,26562
1,5,0,6,26585
1,5,0,7,26891
1,5,0,8,26730
1,5,0,9,26663
1,5,0,10,26793
1,5,0,11,26709
1,5,0,12,26892
1,5,0,13,26405
1,5,0,14,26733
1,5,0,15,26688
1,5,0,16,26345
1,5,0,17,26503
1,5,0,18,26850
