family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 206 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
0,0,0,0,3157
0,0,0,1,2794
0,0,0,2,2800
0,0,0,3,2787
0,0,0,4,2792
0,0,0,5,2812
0,0,0,6,2715
0,0,0,7,2808
0,0,0,8,2756
0,0,0,9,2750
0,0,0,10,2792
0,0,0,11,2788
0,0,0,12,2793
0,0,0,13,2785
0,0,0,14,2844
0,0,0,15,2777
0,0,0,16,2807
0,0,0,17,2897
0,0,0,18,2843
0,0,0,19,2798
0,0,0,20,2782
0,0,0,21,2804
0,0,0,22,2816
0,0,0,23,2806
0,0,0,24,2752
0,0,0,25,2811
0,0,0,26,2803
0,0,0,27,2809
0,0,0,28,2815
0,0,0,29,2802
0,0,0,30,2793
0,0,0,31,2781
0,1,0,0,3567
0,1,0,1,3584
0,1,0,2,3544
0,1,0,3,3563
0,1,0,4,3553
0,1,0,5,3538
0,1,0,6,3598
0,1,0,7,3553
0,1,0,8,3548
0,1,0,9,3555
0,1,0,10,3570
0,1,0,11,3592
0,1,0,12,3500
0,1,0,13,3590
0,1,0,14,3569
0,1,0,15,3592
0,1,0,16,3567
0,1,0,17,3546
0,1,0,18,3589
0,1,0,19,3511
0,1,0,20,3545
0,1,0,21,3552
0,1,0,22,3538
0,1,0,23,3541
0,1,0,24,3535
0,1,0,25,3494
0,1,0,26,3602
0,1,0,27,3587
0,1,0,28,3551
0,1,0,29,3557
0,1,0,30,3550
0,1,0,31,3546
0,2,0,0,4708
0,2,0,1,4565
0,2,0,2,4569
0,2,0,3,4601
0,2,0,4,4578
0,2,0,5,4604
0,2,0,6,4601
0,2,0,7,4582
0,2,0,8,4598
0,2,0,9,4597
0,2,0,10,4636
0,2,0,11,4624
0,2,0,12,4594
0,2,0,13,4604
0,2,0,14,4605
0,2,0,15,4622
0,2,0,16,4595
0,2,0,17,4600
0,2,0,18,4624
0,2,0,19,4554
0,2,0,20,4573
0,2,0,21,4580
0,2,0,22,4549
0,2,0,23,4578
0,2,0,24,4604
0,2,0,25,4578
0,2,0,26,4629
0,2,0,27,4598
0,2,0,28,4570
0,2,0,29,4577
0,2,0,30,4545
0,2,0,31,4585
0,3,0,0,7163
0,3,0,1,7108
0,3,0,2,7224
0,3,0,3,7221
0,3,0,4,7099
0,3,0,5,7146
0,3,0,6,7006
0,3,0,7,7115
0,3,0,8,7108
0,3,0,9,7138
0,3,0,10,7130
0,3,0,11,7025
0,3,0,12,7185
0,3,0,13,7150
0,3,0,14,7117
0,3,0,15,7162
0,3,0,16,7167
0,3,0,17,7148
0,3,0,18,7173
0,3,0,19,7016
0,3,0,20,7167
0,3,0,21,7103
0,3,0,22,7178
0,3,0,23,7106
0,3,0,24,7151
0,3,0,25,7186
0,3,0,26,7116
0,3,0,27,7002
0,3,0,28,7081
0,3,0,29,7100
0,3,0,30,7153
0,3,0,31,7155
0,4,0,0,7844
0,4,0,1,7927
0,4,0,2,7912
0,4,0,3,7893
0,4,0,4,7999
0,4,0,5,7794
0,4,0,6,7891
0,4,0,7,7889
0,4,0,8,7776
0,4,0,9,7776
0,4,0,10,7938
0,4,0,11,7827
0,4,0,12,7893
0,4,0,13,7876
0,4,0,14,7894
0,4,0,15,7891
0,4,0,16,7802
0,4,0,17,7895
0,4,0,18,7867
0,4,0,19,7904
0,4,0,20,7869
0,4,0,21,7731
0,4,0,22,7760
0,4,0,23,7702
0,4,0,24,7785
0,4,0,25,7930
0,4,0,26,7891
0,4,0,27,7847
0,4,0,28,7853
0,4,0,29,7874
0,4,0,30,7900
0,4,0,31,7889
0,5,0,0,8861
0,5,0,1,9013
0,5,0,2,8923
0,5,0,3,8913
0,5,0,4,9048
0,5,0,5,8744
0,5,0,6,8958
0,5,0,7,8891
0,5,0,8,8948
0,5,0,9,8856
0,5,0,10,8913
0,5,0,11,8752
0,5,0,12,8961
0,5,0,13,9027
0,5,0,14,8949
0,5,0,15,8995
0,5,0,16,8959
0,5,0,17,8948
0,5,0,18,8755
0,5,0,19,8929
0,5,0,20,8902
0,5,0,21,8831
0,5,0,22,8898
0,5,0,23,8922
0,5,0,24,8893
0,5,0,25,8912
0,5,0,26,8848
0,5,0,27,8928
0,5,0,28,8958
0,5,0,29,9006
0,5,0,30,8974
0,5,0,31,8894
0,6,0,0,9700
0,6,0,1,9755
0,6,0,2,9591
0,6,0,3,9800
0,6,0,4,9636
0,6,0,5,9613
0,6,0,6,9659
0,6,0,7,9621
0,6,0,8,9719
0,6,0,9,9695
0,6,0,10,9543
0,6,0,11,9665
0,6,0,12,9664
0,6,0,13,11153
0,6,0,14,9661
0,6,0,15,9569
0,6,0,16,9586
0,6,0,17,9740
0,6,0,18,9570
0,6,0,19,9546
0,6,0,20,9597
0,6,0,21,9711
0,6,0,22,10008
0,6,0,23,9801
0,6,0,24,9635
0,6,0,25,9603
0,6,0,26,9594
0,6,0,27,9629
0,6,0,28,9504
0,6,0,29,9603
0,6,0,30,9565
0,6,0,31,9651
0,7,0,0,10578
0,7,0,1,10647
0,7,0,2,10507
0,7,0,3,10679
0,7,0,4,10534
0,7,0,5,10614
0,7,0,6,10563
0,7,0,7,10628
0,7,0,8,10641
0,7,0,9,10661
0,7,0,10,10649
0,7,0,11,10615
0,7,0,12,10590
0,7,0,13,10554
0,7,0,14,10653
0,7,0,15,10566
0,7,0,16,10662
0,7,0,17,10610
0,7,0,18,10619
0,7,0,19,10584
0,7,0,20,10659
0,7,0,21,10611
0,7,0,22,10568
0,7,0,23,10668
0,7,0,24,10593
0,7,0,25,10682
0,7,0,26,10578
0,7,0,27,10560
0,7,0,28,10628
0,7,0,29,10597
0,7,0,30,10492
0,7,0,31,10505
0,8,0,0,21172
0,8,0,1,21277
0,8,0,2,21501
0,8,0,3,21118
0,8,0,4,21173
0,8,0,5,21337
0,8,0,6,21602
0,8,0,7,21247
0,8,0,8,21258
0,8,0,9,21077
0,8,0,10,21293
0,8,0,11,21292
0,8,0,12,21202
0,8,0,13,21276
0,8,0,14,21374
0,8,0,15,21155
0,8,0,16,21234
0,8,0,17,21232
0,8,0,18,21240
0,8,0,19,21171
0,8,0,20,21115
0,8,0,21,21296
0,8,0,22,21355
0,8,0,23,21315
0,8,0,24,21354
0,8,0,25,21164
0,8,0,26,21061
0,8,0,27,21157
0,8,0,28,21526
0,8,0,29,21177
0,8,0,30,21210
0,8,0,31,21541
0,9,0,0,21241
0,9,0,1,21604
0,9,0,2,21596
0,9,0,3,21253
0,9,0,4,21353
0,9,0,5,21227
0,9,0,6,21550
0,9,0,7,21364
0,9,0,8,21533
0,9,0,9,21264
0,9,0,10,21325
0,9,0,11,21507
0,9,0,12,21675
0,9,0,13,21216
0,9,0,14,21324
0,9,0,15,30701
0,9,0,16,21376
0,9,0,17,21698
0,9,0,18,21228
0,9,0,19,22167
0,9,0,20,21525
0,9,0,21,21592
0,9,0,22,21312
0,9,0,23,21559
0,9,0,24,21241
0,9,0,25,21227
0,9,0,26,21633
0,9,0,27,21577
0,9,0,28,21165
0,9,0,29,21457
0,9,0,30,21430
0,9,0,31,21405
1,0,0,0,422
1,0,0,1,374
1,0,0,2,359
1,0,0,3,364
1,0,0,4,361
1,0,0,5,371
1,0,0,6,375
1,0,0,7,384
1,0,0,8,374
1,0,0,9,369
1,0,0,10,365
1,0,0,11,378
1,0,0,12,366
1,0,0,13,368
1,0,0,14,373
1,0,0,15,367
1,0,0,16,361
1,0,0,17,365
1,0,0,18,368
1,0,0,19,362
1,0,0,20,365
1,0,0,21,370
1,0,0,22,367
1,0,0,23,376
1,0,0,24,368
1,0,0,25,355
1,0,0,26,366
1,0,0,27,368
1,0,0,28,361
1,0,0,29,365
1,0,0,30,362
1,0,0,31,361
1,1,0,0,13704
1,1,0,1,13712
1,1,0,2,13689
1,1,0,3,13566
1,1,0,4,13493
1,1,0,5,13734
1,1,0,6,13681
1,1,0,7,13479
1,1,0,8,13756
1,1,0,9,13431
1,1,0,10,13750
1,1,0,11,13721
1,1,0,12,13764
1,1,0,13,13807
1,1,0,14,13674
1,1,0,15,13701
1,1,0,16,13698
1,1,0,17,13700
1,1,0,18,13769
1,1,0,19,13738
1,1,0,20,13684
1,1,0,21,13694
1,1,0,22,13736
1,1,0,23,13690
1,1,0,24,13703
1,1,0,25,13678
1,1,0,26,13743
1,1,0,27,13700
1,1,0,28,13716
1,1,0,29,13696
1,1,0,30,13709
1,1,0,31,13686
1,2,0,0,14445
1,2,0,1,14428
1,2,0,2,14481
1,2,0,3,14456
1,2,0,4,14464
1,2,0,5,14458
1,2,0,6,14478
1,2,0,7,14448
1,2,0,8,14436
1,2,0,9,14433
1,2,0,10,14365
1,2,0,11,14465
1,2,0,12,14447
1,2,0,13,14464
1,2,0,14,14256
1,2,0,15,14566
1,2,0,16,14512
1,2,0,17,14486
1,2,0,18,14467
1,2,0,19,14507
1,2,0,20,14486
1,2,0,21,14379
1,2,0,22,14480
1,2,0,23,14422
1,2,0,24,14404
1,2,0,25,14472
1,2,0,26,14431
1,2,0,27,14481
1,2,0,28,14483
1,2,0,29,14415
1,2,0,30,14422
1,2,0,31,14461
1,3,0,0,14613
1,3,0,1,14687
1,3,0,2,14619
1,3,0,3,14697
1,3,0,4,14624
1,3,0,5,14594
1,3,0,6,14618
1,3,0,7,14660
1,3,0,8,14629
1,3,0,9,14654
1,3,0,10,14737
1,3,0,11,14697
1,3,0,12,31320
1,3,0,13,16024
1,3,0,14,14453
1,3,0,15,14431
1,3,0,16,14668
1,3,0,17,14701
1,3,0,18,14897
1,3,0,19,14515
1,3,0,20,14726
1,3,0,21,14398
1,3,0,22,14651
1,3,0,23,14392
1,3,0,24,14682
1,3,0,25,14884
1,3,0,26,14873
1,3,0,27,14517
1,3,0,28,14670
1,3,0,29,14742
1,3,0,30,14728
1,3,0,31,14413
1,4,0,0,26626
1,4,0,1,26709
1,4,0,2,37414
1,4,0,3,26693
1,4,0,4,26294
1,4,0,5,26496
1,4,0,6,26658
1,4,0,7,26729
1,4,0,8,26615
1,4,0,9,26571
1,4,0,10,26630
1,4,0,11,26514
1,4,0,12,26588
1,4,0,13,26473
1,4,0,14,26466
1,4,0,15,26754
1,4,0,16,26283
1,4,0,17,26635
1,4,0,18,26810
1,4,0,19,26634
1,4,0,20,26494
1,4,0,21,26644
1,4,0,22,26652
1,4,0,23,26633
1,4,0,24,26717
1,4,0,25,26637
1,4,0,26,26592
1,4,0,27,26551
1,4,0,28,26539
1,4,0,29,26723
1,4,0,30,26689
1,4,0,31,26118
1,5,0,0,26800
1,5,0,1,26798
1,5,0,2,26867
1,5,0,3,26919
1,5,0,4,26907
1,5,0,5,26677
1,5,0,6,26726
1,5,0,7,26718
1,5,0,8,26769
1,5,0,9,26801
1,5,0,10,26688
1,5,0,11,26749
1,5,0,12,26832
1,5,0,13,26781
1,5,0,14,26668
1,5,0,15,26704
1,5,0,16,26753
1,5,0,17,26652
1,5,0,18,26791
