family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
0,0,0,0,3374
0,0,0,1,2841
0,0,0,2,2774
0,0,0,3,2756
0,0,0,4,2796
0,0,0,5,2784
0,0,0,6,2814
0,0,0,7,2790
0,0,0,8,2807
0,0,0,9,2777
0,0,0,10,2833
0,0,0,11,2791
0,0,0,12,2773
0,0,0,13,2788
0,0,0,14,2767
0,0,0,15,2757
0,0,0,16,2778
0,0,0,17,2785
0,0,0,18,2799
0,0,0,19,2804
0,0,0,20,2795
0,0,0,21,2786
0,0,0,22,2798
0,0,0,23,2804
0,0,0,24,2808
0,0,0,25,2774
0,0,0,26,2803
0,0,0,27,2800
0,0,0,28,2787
0,0,0,29,2790
0,0,0,30,2815
0,0,0,31,2806
0,1,0,0,3564
0,1,0,1,3533
0,1,0,2,3543
0,1,0,3,3510
0,1,0,4,3525
0,1,0,5,3573
0,1,0,6,3535
0,1,0,7,3541
0,1,0,8,3555
0,1,0,9,3508
0,1,0,10,3557
0,1,0,11,3563
0,1,0,12,3525
0,1,0,13,3562
0,1,0,14,3555
0,1,0,15,3547
0,1,0,16,3542
0,1,0,17,3536
0,1,0,18,3570
0,1,0,19,3520
0,1,0,20,3557
0,1,0,21,3545
0,1,0,22,3497
0,1,0,23,3496
0,1,0,24,3562
0,1,0,25,3507
0,1,0,26,3562
0,1,0,27,3548
0,1,0,28,3537
0,1,0,29,3532
0,1,0,30,3524
0,1,0,31,3521
0,2,0,0,4540
0,2,0,1,4577
0,2,0,2,4573
0,2,0,3,4557
0,2,0,4,4587
0,2,0,5,4607
0,2,0,6,4601
0,2,0,7,4603
0,2,0,8,4582
0,2,0,9,4653
0,2,0,10,4629
0,2,0,11,4602
0,2,0,12,4594
0,2,0,13,4572
0,2,0,14,4593
0,2,0,15,4632
0,2,0,16,4583
0,2,0,17,4577
0,2,0,18,4617
0,2,0,19,4648
0,2,0,20,4600
0,2,0,21,4549
0,2,0,22,4613
0,2,0,23,4566
0,2,0,24,4582
0,2,0,25,4654
0,2,0,26,4612
0,2,0,27,4583
0,2,0,28,4556
0,2,0,29,4569
0,2,0,30,4580
0,2,0,31,4544
0,3,0,0,7152
0,3,0,1,7325
0,3,0,2,7088
0,3,0,3,7184
0,3,0,4,7194
0,3,0,5,7165
0,3,0,6,7143
0,3,0,7,7118
0,3,0,8,7185
0,3,0,9,7136
0,3,0,10,7163
0,3,0,11,7101
0,3,0,12,7141
0,3,0,13,7123
0,3,0,14,7134
0,3,0,15,7101
0,3,0,16,7092
0,3,0,17,7158
0,3,0,18,7179
0,3,0,19,7323
0,3,0,20,7166
0,3,0,21,7141
0,3,0,22,7110
0,3,0,23,7150
0,3,0,24,7124
0,3,0,25,7113
0,3,0,26,7103
0,3,0,27,7149
0,3,0,28,7093
0,3,0,29,7160
0,3,0,30,7165
0,3,0,31,7014
0,4,0,0,7796
0,4,0,1,7879
0,4,0,2,7898
0,4,0,3,7926
0,4,0,4,7846
0,4,0,5,7967
0,4,0,6,7931
0,4,0,7,7867
0,4,0,8,7859
0,4,0,9,7877
0,4,0,10,7909
0,4,0,11,7885
0,4,0,12,7972
0,4,0,13,8016
0,4,0,14,7851
0,4,0,15,7862
0,4,0,16,7924
0,4,0,17,7914
0,4,0,18,7928
0,4,0,19,7909
0,4,0,20,7880
0,4,0,21,7894
0,4,0,22,7875
0,4,0,23,7902
0,4,0,24,7919
0,4,0,25,7796
0,4,0,26,7881
0,4,0,27,7880
0,4,0,28,7905
0,4,0,29,7930
0,4,0,30,7899
0,4,0,31,7932
0,5,0,0,8956
0,5,0,1,8898
0,5,0,2,8921
0,5,0,3,8916
0,5,0,4,8989
0,5,0,5,8912
0,5,0,6,8974
0,5,0,7,9000
0,5,0,8,8924
0,5,0,9,8932
0,5,0,10,8952
0,5,0,11,8929
0,5,0,12,8866
0,5,0,13,8956
0,5,0,14,8919
0,5,0,15,8935
0,5,0,16,8972
0,5,0,17,8970
0,5,0,18,8934
0,5,0,19,8972
0,5,0,20,9016
0,5,0,21,8942
0,5,0,22,8949
0,5,0,23,8906
0,5,0,24,8912
0,5,0,25,8948
0,5,0,26,8938
0,5,0,27,9009
0,5,0,28,9006
0,5,0,29,8935
0,5,0,30,8966
0,5,0,31,8923
0,6,0,0,21508
0,6,0,1,21410
0,6,0,2,21444
0,6,0,3,21591
0,6,0,4,21433
0,6,0,5,21279
0,6,0,6,21544
0,6,0,7,21823
0,6,0,8,22237
0,6,0,9,21298
0,6,0,10,21327
0,6,0,11,21319
0,6,0,12,21502
0,6,0,13,21674
0,6,0,14,21509
0,6,0,15,21289
0,6,0,16,21419
0,6,0,17,21418
0,6,0,18,21414
0,6,0,19,21407
0,6,0,20,21382
0,6,0,21,21659
0,6,0,22,21556
0,6,0,23,21547
0,6,0,24,21613
0,6,0,25,21344
0,6,0,26,21335
0,6,0,27,21352
0,6,0,28,21519
0,6,0,29,21472
0,6,0,30,21516
0,6,0,31,21663
1,0,0,0,408
1,0,0,1,364
1,0,0,2,353
1,0,0,3,359
1,0,0,4,355
1,0,0,5,358
1,0,0,6,367
1,0,0,7,362
1,0,0,8,358
1,0,0,9,368
1,0,0,10,358
1,0,0,11,357
1,0,0,12,365
1,0,0,13,367
1,0,0,14,358
1,0,0,15,352
1,0,0,16,371
1,0,0,17,362
1,0,0,18,354
1,0,0,19,352
1,0,0,20,362
1,0,0,21,358
1,0,0,22,352
1,0,0,23,360
1,0,0,24,359
1,0,0,25,363
1,0,0,26,355
1,0,0,27,360
1,0,0,28,359
1,0,0,29,361
1,0,0,30,361
1,0,0,31,360
1,1,0,0,13502
1,1,0,1,13517
1,1,0,2,13534
1,1,0,3,13462
1,1,0,4,13764
1,1,0,5,13767
1,1,0,6,13723
1,1,0,7,13708
1,1,0,8,13685
1,1,0,9,13732
1,1,0,10,13725
1,1,0,11,13780
1,1,0,12,13723
1,1,0,13,13740
1,1,0,14,13742
1,1,0,15,13480
1,1,0,16,13616
1,1,0,17,13516
1,1,0,18,13441
1,1,0,19,13468
1,1,0,20,13581
1,1,0,21,13453
1,1,0,22,13524
1,1,0,23,13561
1,1,0,24,13463
1,1,0,25,13508
1,1,0,26,13448
1,1,0,27,13590
1,1,0,28,13502
1,1,0,29,13471
1,1,0,30,13456
1,1,0,31,13567
1,2,0,0,14151
1,2,0,1,14494
1,2,0,2,14284
1,2,0,3,14480
1,2,0,4,14426
1,2,0,5,14372
1,2,0,6,14280
1,2,0,7,14219
1,2,0,8,14286
1,2,0,9,14397
1,2,0,10,14185
1,2,0,11,14451
1,2,0,12,14262
1,2,0,13,14248
1,2,0,14,14532
1,2,0,15,14234
1,2,0,16,14246
1,2,0,17,14546
1,2,0,18,14419
1,2,0,19,14410
1,2,0,20,14238
1,2,0,21,14465
1,2,0,22,14261
1,2,0,23,14284
1,2,0,24,14368
1,2,0,25,14325
1,2,0,26,14330
1,2,0,27,14199
1,2,0,28,14281
1,2,0,29,14311
1,2,0,30,14198
1,2,0,31,14455
1,3,0,0,26590
1,3,0,1,26333
1,3,0,2,26598
1,3,0,3,26092
1,3,0,4,26603
1,3,0,5,26271
1,3,0,6,26092
1,3,0,7,26269
1,3,0,8,26219
1,3,0,9,26193
1,3,0,10,26223
1,3,0,11,26181
1,3,0,12,26572
1,3,0,13,26262
1,3,0,14,26261
1,3,0,15,26320
1,3,0,16,26329
1,3,0,17,26458
1,3,0,18,26629
1,3,0,19,26308
1,3,0,20,26506
1,3,0,21,26632
1,3,0,22,26759
1,3,0,23,26663
1,3,0,24,26635
1,3,0,25,26633
1,3,0,26,26188
1,3,0,27,26526
1,3,0,28,26568
1,3,0,29,26776
1,3,0,30,26688
1,3,0,31,26599
1,4,0,0,26409
1,4,0,1,26458
1,4,0,2,26858
1,4,0,3,26764
1,4,0,4,26726
1,4,0,5,26649
1,4,0,6,26749
1,4,0,7,26631
1,4,0,8,26835
1,4,0,9,26853
1,4,0,10,26395
1,4,0,11,26739
1,4,0,12,26823
1,4,0,13,26872
1,4,0,14,26732
1,4,0,15,26700
1,4,0,16,26288
1,4,0,17,26908
1,4,0,18,26770
1,4,0,19,26369
1,4,0,20,26802
1,4,0,21,26830
1,4,0,22,26752
1,4,0,23,26286
1,4,0,24,26801
1,4,0,25,26738
1,4,0,26,26436
1,4,0,27,26728
1,4,0,28,26757
1,4,0,29,27439
1,4,0,30,26749
1,4,0,31,26879
1,5,0,0,27077
1,5,0,1,27329
1,5,0,2,27148
1,5,0,3,27150
1,5,0,4,27250
1,5,0,5,27222
1,5,0,6,27309
1,5,0,7,27283
1,5,0,8,27132
1,5,0,9,26936
1,5,0,10,27069
1,5,0,11,27022
1,5,0,12,27114
1,5,0,13,27438
1,5,0,14,27242
1,5,0,15,27113
1,5,0,16,27071
1,5,0,17,27057
1,5,0,18,27338
1,5,0,19,27169
1,5,0,20,27017
1,5,0,21,27689
1,5,0,22,27531
1,5,0,23,27553
1,5,0,24,27525
1,5,0,25,27250
1,5,0,26,27307
1,5,0,27,27537
1,5,0,28,27436
1,5,0,29,27569
1,5,0,30,27604
1,5,0,31,27205
1,6,0,0,28038
1,6,0,1,27920
1,6,0,2,28047
1,6,0,3,28138
1,6,0,4,28156
1,6,0,5,27981
1,6,0,6,28133
1,6,0,7,28080
1,6,0,8,28116
1,6,0,9,28144
1,6,0,10,27771
1,6,0,11,28077
1,6,0,12,27652
1,6,0,13,28191
1,6,0,14,28120
1,6,0,15,27594
1,6,0,16,28003
1,6,0,17,28216
1,6,0,18,27619
1,6,0,19,28058
1,6,0,20,27679
1,6,0,21,28102
1,6,0,22,28079
1,6,0,23,28320
1,6,0,24,27906
1,6,0,25,28068
1,6,0,26,27934
1,6,0,27,27680
1,6,0,28,27930
1,6,0,29,27955
1,6,0,30,27718
1,6,0,31,27707
1,7,0,0,28326
1,7,0,1,28347
1,7,0,2,28334
1,7,0,3,28304
1,7,0,4,28327
1,7,0,5,28272
1,7,0,6,28322
1,7,0,7,27981
1,7,0,8,28347
1,7,0,9,28348
1,7,0,10,28251
1,7,0,11,28308
1,7,0,12,28371
1,7,0,13,28250
1,7,0,14,28338
1,7,0,15,28357
1,7,0,16,27802
1,7,0,17,28063
1,7,0,18,28026
1,7,0,19,28122
1,7,0,20,28355
1,7,0,21,28252
1,7,0,22,27930
1,7,0,23,28273
1,7,0,24,28367
1,7,0,25,28251
1,7,0,26,27821
1,7,0,27,28421
1,7,0,28,28399
1,7,0,29,28325
1,7,0,30,28112
1,7,0,31,28259
1,8,0,0,28216
1,8,0,1,28395
1,8,0,2,28276
1,8,0,3,28327
1,8,0,4,28304
1,8,0,5,28338
1,8,0,6,28251
1,8,0,7,28110
1,8,0,8,28347
1,8,0,9,28138
1,8,0,10,28157
1,8,0,11,28520
1,8,0,12,27977
1,8,0,13,28250
1,8,0,14,28431
1,8,0,15,27953
1,8,0,16,28377
1,8,0,17,28577
1,8,0,18,27746
