cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1080 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1090 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 205 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1076 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,989
0,0,0,1,965
0,0,0,2,2048
0,0,0,3,2817
0,0,0,4,2823
0,0,0,5,1194
0,0,0,6,945
0,0,0,7,955
0,0,0,8,970
0,0,0,9,956
0,0,0,10,943
0,0,0,11,928
0,0,0,12,931
0,0,0,13,945
0,0,0,14,943
0,0,0,15,942
0,0,0,16,956
0,0,0,17,958
0,0,0,18,942
0,0,0,19,949
0,0,0,20,926
0,0,0,21,965
0,0,0,22,955
0,0,0,23,919
0,0,0,24,952
0,0,0,25,945
0,0,0,26,959
0,0,0,27,961
0,0,0,28,949
0,0,0,29,964
0,0,0,30,938
0,0,0,31,962
0,1,0,0,875
0,1,0,1,844
0,1,0,2,831
0,1,0,3,840
0,1,0,4,845
0,1,0,5,835
0,1,0,6,854
0,1,0,7,844
0,1,0,8,820
0,1,0,9,832
0,1,0,10,827
0,1,0,11,865
0,1,0,12,831
0,1,0,13,852
0,1,0,14,819
0,1,0,15,820
0,1,0,16,854
0,1,0,17,846
0,1,0,18,850
0,1,0,19,852
0,1,0,20,855
0,1,0,21,859
0,1,0,22,853
0,1,0,23,854
0,1,0,24,830
0,1,0,25,845
0,1,0,26,851
0,1,0,27,842
0,1,0,28,859
0,1,0,29,854
0,1,0,30,845
0,1,0,31,834
0,1,1,0,839
0,1,1,1,819
0,1,1,2,848
0,1,1,3,837
0,1,1,4,845
0,1,1,5,835
0,1,1,6,851
0,1,1,7,836
0,1,1,8,861
0,1,1,9,861
0,1,1,10,869
0,1,1,11,837
0,1,1,12,871
0,1,1,13,846
0,1,1,14,826
0,1,1,15,852
0,1,1,16,824
0,1,1,17,850
0,1,1,18,844
0,1,1,19,834
0,1,1,20,842
0,1,1,21,827
0,1,1,22,874
0,1,1,23,862
0,1,1,24,836
0,1,1,25,843
0,1,1,26,867
0,1,1,27,840
0,1,1,28,851
0,1,1,29,851
0,1,1,30,854
0,1,1,31,856
0,0,1,0,964
0,0,1,1,984
