cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,975
0,0,0,1,936
0,0,0,2,959
0,0,0,3,979
0,0,0,4,953
0,0,0,5,942
0,0,0,6,974
0,0,0,7,940
0,0,0,8,943
0,0,0,9,960
0,0,0,10,934
0,0,0,11,943
0,0,0,12,968
0,0,0,13,960
0,0,0,14,950
0,0,0,15,953
0,0,0,16,951
0,0,0,17,963
0,0,0,18,958
0,0,0,19,950
0,0,0,20,957
0,0,0,21,961
0,0,0,22,962
0,0,0,23,966
0,0,0,24,954
0,0,0,25,951
0,0,0,26,963
0,0,0,27,974
0,0,0,28,956
0,0,0,29,953
0,0,0,30,938
0,0,0,31,948
0,1,0,0,904
0,1,0,1,905
0,1,0,2,870
0,1,0,3,840
0,1,0,4,851
0,1,0,5,854
0,1,0,6,856
0,1,0,7,835
0,1,0,8,849
0,1,0,9,851
0,1,0,10,847
0,1,0,11,827
0,1,0,12,849
0,1,0,13,842
0,1,0,14,850
0,1,0,15,842
0,1,0,16,848
0,1,0,17,866
0,1,0,18,841
0,1,0,19,848
0,1,0,20,865
0,1,0,21,845
0,1,0,22,842
0,1,0,23,847
0,1,0,24,847
0,1,0,25,832
0,1,0,26,843
