cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1025 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1232
0,0,0,1,1168
0,0,0,2,1191
0,0,0,3,1162
0,0,0,4,1166
0,0,0,5,1273
0,0,0,6,1312
0,0,0,7,1212
0,0,0,8,1075
0,0,0,9,988
0,0,0,10,982
0,0,0,11,942
0,0,0,12,960
0,0,0,13,936
0,0,0,14,959
0,0,0,15,945
0,0,0,16,958
0,0,0,17,969
0,0,0,18,929
0,0,0,19,968
0,0,0,20,958
0,0,0,21,950
0,0,0,22,962
0,0,0,23,986
0,0,0,24,953
0,0,0,25,939
0,0,0,26,963
0,0,0,27,955
0,0,0,28,969
0,0,0,29,971
0,0,0,30,971
0,0,0,31,979
0,0,0,32,960
0,0,0,33,988
0,0,0,34,950
0,0,0,35,967
0,0,0,36,973
0,0,0,37,964
0,0,0,38,970
0,0,0,39,969
0,0,0,40,954
0,0,0,41,987
0,0,0,42,975
0,0,0,43,968
0,0,0,44,953
0,0,0,45,950
0,0,0,46,946
0,0,0,47,986
0,0,0,48,990
0,0,0,49,961
0,0,0,50,969
0,0,0,51,964
0,0,0,52,974
0,0,0,53,961
0,0,0,54,983
0,0,0,55,971
0,0,0,56,971
0,0,0,57,968
0,0,0,58,990
0,0,0,59,974
0,0,0,60,977
0,0,0,61,982
