cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1080 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1090 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1077 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1030
0,0,0,1,967
0,0,0,2,981
0,0,0,3,980
0,0,0,4,990
0,0,0,5,973
0,0,0,6,977
0,0,0,7,973
0,0,0,8,987
0,0,0,9,985
0,0,0,10,980
0,0,0,11,984
0,0,0,12,980
0,0,0,13,992
0,0,0,14,971
0,0,0,15,988
0,0,0,16,1006
0,0,0,17,1000
0,0,0,18,979
0,0,0,19,986
0,0,0,20,1049
0,0,0,21,999
0,0,0,22,973
0,0,0,23,966
0,0,0,24,983
0,0,0,25,978
0,0,0,26,983
0,0,0,27,1000
0,0,0,28,997
0,0,0,29,984
0,0,0,30,1014
0,0,0,31,986
0,0,0,32,994
0,0,0,33,983
0,0,0,34,987
0,0,0,35,989
0,0,0,36,991
0,0,0,37,994
0,0,0,38,977
0,0,0,39,977
0,0,0,40,979
0,0,0,41,1000
0,0,0,42,991
0,0,0,43,1005
0,0,0,44,1005
0,0,0,45,984
0,0,0,46,980
0,0,0,47,982
0,0,0,48,992
0,0,0,49,1005
0,0,0,50,988
0,0,0,51,996
0,0,0,52,985
0,0,0,53,997
0,0,0,54,989
0,0,0,55,990
0,0,0,56,1005
0,0,0,57,1011
0,0,0,58,990
0,0,0,59,998
0,0,0,60,1000
0,0,0,61,1002
0,0,0,62,998
0,0,0,63,992
0,1,0,0,1000
0,1,0,1,1021
0,1,0,2,1021
0,1,0,3,1007
0,1,0,4,1006
0,1,0,5,1007
0,1,0,6,1022
0,1,0,7,1023
0,1,0,8,1013
0,1,0,9,1008
0,1,0,10,1014
0,1,0,11,1007
0,1,0,12,1008
0,1,0,13,1020
0,1,0,14,1004
0,1,0,15,1020
0,1,0,16,1009
0,1,0,17,992
0,1,0,18,1008
0,1,0,19,1002
0,1,0,20,1001
0,1,0,21,992
0,1,0,22,1019
0,1,0,23,997
0,1,0,24,992
0,1,0,25,1041
0,1,0,26,1002
0,1,0,27,1015
0,1,0,28,1006
0,1,0,29,1007
0,1,0,30,1012
0,1,0,31,1016
0,1,0,32,1016
0,1,0,33,1023
0,1,0,34,1034
0,1,0,35,1011
0,1,0,36,1014
0,1,0,37,1009
0,1,0,38,993
0,1,0,39,1016
0,1,0,40,998
0,1,0,41,1001
0,1,0,42,998
0,1,0,43,980
0,1,0,44,995
0,1,0,45,1010
0,1,0,46,1003
0,1,0,47,990
0,1,0,48,1024
0,1,0,49,998
0,1,0,50,993
0,1,0,51,1009
0,1,0,52,1005
0,1,0,53,1007
0,1,0,54,999
0,1,0,55,1011
0,1,0,56,1006
0,1,0,57,997
0,1,0,58,1000
0,1,0,59,998
0,1,0,60,983
0,1,0,61,996
0,1,0,62,1020
0,1,0,63,1016
0,1,1,0,972
0,1,1,1,1005
0,1,1,2,1009
0,1,1,3,1017
0,1,1,4,1007
0,1,1,5,1007
0,1,1,6,999
0,1,1,7,1004
0,1,1,8,985
0,1,1,9,1024
0,1,1,10,997
0,1,1,11,1003
0,1,1,12,1008
0,1,1,13,1001
0,1,1,14,1018
0,1,1,15,1008
0,1,1,16,1017
0,1,1,17,1011
0,1,1,18,1002
0,1,1,19,998
0,1,1,20,1018
0,1,1,21,1015
0,1,1,22,1006
0,1,1,23,1001
0,1,1,24,1014
0,1,1,25,1020
0,1,1,26,1003
0,1,1,27,992
0,1,1,28,1008
0,1,1,29,1003
0,1,1,30,997
0,1,1,31,1014
0,1,1,32,1008
0,1,1,33,1010
0,1,1,34,1003
0,1,1,35,1008
0,1,1,36,991
0,1,1,37,1010
0,1,1,38,1009
0,1,1,39,1017
0,1,1,40,1002
0,1,1,41,1027
0,1,1,42,998
0,1,1,43,1014
0,1,1,44,1025
0,1,1,45,1000
0,1,1,46,995
0,1,1,47,996
0,1,1,48,1005
0,1,1,49,1016
0,1,1,50,1016
0,1,1,51,1020
0,1,1,52,1012
0,1,1,53,1006
0,1,1,54,1020
0,1,1,55,994
0,1,1,56,1016
0,1,1,57,1024
0,1,1,58,1006
0,1,1,59,996
0,1,1,60,1013
0,1,1,61,1009
0,1,1,62,1007
0,1,1,63,1009
0,0,1,0,1022
0,0,1,1,994
0,0,1,2,985
0,0,1,3,986
0,0,1,4,996
0,0,1,5,997
0,0,1,6,987
0,0,1,7,1009
0,0,1,8,1003
0,0,1,9,991
0,0,1,10,1008
0,0,1,11,982
0,0,1,12,977
0,0,1,13,992
0,0,1,14,1004
0,0,1,15,985
0,0,1,16,995
0,0,1,17,979
0,0,1,18,988
0,0,1,19,999
0,0,1,20,989
0,0,1,21,978
0,0,1,22,975
0,0,1,23,992
0,0,1,24,972
0,0,1,25,971
0,0,1,26,999
0,0,1,27,982
0,0,1,28,984
0,0,1,29,977
0,0,1,30,992
0,0,1,31,1001
0,0,1,32,995
0,0,1,33,992
0,0,1,34,976
0,0,1,35,972
0,0,1,36,984
0,0,1,37,1007
0,0,1,38,986
0,0,1,39,979
0,0,1,40,990
0,0,1,41,987
0,0,1,42,1012
0,0,1,43,981
0,0,1,44,992
0,0,1,45,987
0,0,1,46,977
0,0,1,47,980
0,0,1,48,1001
0,0,1,49,1001
0,0,1,50,998
0,0,1,51,1001
0,0,1,52,1008
0,0,1,53,980
0,0,1,54,1031
0,0,1,55,987
0,0,1,56,1015
0,0,1,57,994
0,0,1,58,993
0,0,1,59,987
0,0,1,60,991
0,0,1,61,973
0,0,1,62,979
0,0,1,63,986
0,0,2,0,982
0,0,2,1,979
0,0,2,2,982
0,0,2,3,986
0,0,2,4,993
0,0,2,5,992
0,0,2,6,973
0,0,2,7,988
0,0,2,8,973
0,0,2,9,991
0,0,2,10,994
0,0,2,11,981
0,0,2,12,1000
0,0,2,13,975
0,0,2,14,989
0,0,2,15,1007
0,0,2,16,1000
0,0,2,17,969
0,0,2,18,987
0,0,2,19,997
0,0,2,20,979
0,0,2,21,989
0,0,2,22,997
0,0,2,23,993
0,0,2,24,1013
0,0,2,25,1000
0,0,2,26,989
0,0,2,27,979
0,0,2,28,988
0,0,2,29,1001
0,0,2,30,991
0,0,2,31,987
0,0,2,32,989
0,0,2,33,1003
0,0,2,34,977
0,0,2,35,980
0,0,2,36,992
0,0,2,37,977
0,0,2,38,996
0,0,2,39,983
0,0,2,40,987
0,0,2,41,974
0,0,2,42,989
0,0,2,43,982
0,0,2,44,972
0,0,2,45,987
0,0,2,46,992
0,0,2,47,985
0,0,2,48,994
0,0,2,49,986
0,0,2,50,979
0,0,2,51,1002
0,0,2,52,988
0,0,2,53,982
0,0,2,54,974
0,0,2,55,989
0,0,2,56,975
0,0,2,57,999
0,0,2,58,989
0,0,2,59,987
0,0,2,60,1001
0,0,2,61,983
0,0,2,62,988
0,0,2,63,1002
0,1,2,0,991
0,1,2,1,1020
0,1,2,2,1026
0,1,2,3,1023
0,1,2,4,1035
0,1,2,5,1027
0,1,2,6,1003
0,1,2,7,1002
0,1,2,8,1009
0,1,2,9,1014
0,1,2,10,1006
0,1,2,11,981
0,1,2,12,1010
0,1,2,13,1026
0,1,2,14,1003
0,1,2,15,1008
0,1,2,16,1000
0,1,2,17,990
0,1,2,18,1007
0,1,2,19,999
0,1,2,20,1001
0,1,2,21,1008
0,1,2,22,995
0,1,2,23,1002
0,1,2,24,989
0,1,2,25,1038
0,1,2,26,1027
0,1,2,27,999
0,1,2,28,992
0,1,2,29,1017
0,1,2,30,1022
0,1,2,31,1005
0,1,2,32,1029
0,1,2,33,1009
0,1,2,34,1014
0,1,2,35,1008
0,1,2,36,1021
