cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1080 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1090 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1041
0,0,0,1,975
0,0,0,2,988
0,0,0,3,1000
0,0,0,4,1002
0,0,0,5,986
0,0,0,6,1009
0,0,0,7,991
0,0,0,8,988
0,0,0,9,1004
0,0,0,10,977
0,0,0,11,1019
0,0,0,12,1093
0,0,0,13,995
0,0,0,14,988
0,0,0,15,998
0,0,0,16,1008
0,0,0,17,1017
0,0,0,18,995
0,0,0,19,1010
0,0,0,20,1001
0,0,0,21,990
0,0,0,22,986
0,0,0,23,1007
0,0,0,24,997
0,0,0,25,1022
0,0,0,26,996
0,0,0,27,987
0,0,0,28,1073
0,0,0,29,994
0,0,0,30,980
0,0,0,31,989
0,0,0,32,991
0,0,0,33,999
0,0,0,34,1003
0,0,0,35,1016
0,0,0,36,993
0,0,0,37,1016
0,0,0,38,986
0,0,0,39,1002
0,0,0,40,994
0,0,0,41,1011
0,0,0,42,986
0,0,0,43,980
0,0,0,44,1073
0,0,0,45,1008
0,0,0,46,1030
0,0,0,47,1009
0,0,0,48,987
0,0,0,49,1003
0,0,0,50,980
0,0,0,51,999
0,0,0,52,1004
0,0,0,53,996
0,0,0,54,1022
0,0,0,55,1013
0,0,0,56,996
0,0,0,57,990
0,0,0,58,1021
0,0,0,59,1004
0,0,0,60,1071
0,0,0,61,1006
0,0,0,62,1003
0,0,0,63,1005
0,1,0,0,1030
0,1,0,1,1008
0,1,0,2,993
0,1,0,3,998
0,1,0,4,1019
0,1,0,5,1011
0,1,0,6,1018
0,1,0,7,1021
0,1,0,8,1013
0,1,0,9,1013
0,1,0,10,1029
0,1,0,11,986
0,1,0,12,1013
0,1,0,13,1016
0,1,0,14,1011
0,1,0,15,1016
0,1,0,16,997
0,1,0,17,1002
0,1,0,18,1005
0,1,0,19,1016
0,1,0,20,1000
0,1,0,21,1022
0,1,0,22,1011
0,1,0,23,998
0,1,0,24,1023
0,1,0,25,1005
0,1,0,26,1015
0,1,0,27,1000
0,1,0,28,997
0,1,0,29,1011
0,1,0,30,1018
0,1,0,31,1017
0,1,0,32,1011
0,1,0,33,1012
0,1,0,34,1016
0,1,0,35,1024
0,1,0,36,1001
0,1,0,37,1014
0,1,0,38,1000
0,1,0,39,1010
0,1,0,40,1001
0,1,0,41,999
0,1,0,42,1008
0,1,0,43,989
0,1,0,44,997
0,1,0,45,1013
0,1,0,46,1009
0,1,0,47,997
0,1,0,48,1002
0,1,0,49,1018
0,1,0,50,1025
0,1,0,51,1002
0,1,0,52,1024
0,1,0,53,1014
0,1,0,54,989
0,1,0,55,965
0,1,0,56,1000
0,1,0,57,989
0,1,0,58,1017
0,1,0,59,1018
0,1,0,60,1008
0,1,0,61,1017
0,1,0,62,1021
0,1,0,63,1019
0,1,1,0,969
0,1,1,1,994
0,1,1,2,996
0,1,1,3,1016
0,1,1,4,989
0,1,1,5,1011
0,1,1,6,1003
0,1,1,7,1019
0,1,1,8,1000
0,1,1,9,1016
0,1,1,10,996
0,1,1,11,1000
0,1,1,12,1010
0,1,1,13,1009
0,1,1,14,1006
0,1,1,15,1015
0,1,1,16,997
0,1,1,17,994
0,1,1,18,1011
0,1,1,19,1010
0,1,1,20,1015
0,1,1,21,1028
0,1,1,22,995
0,1,1,23,1013
0,1,1,24,1008
0,1,1,25,1012
0,1,1,26,1001
0,1,1,27,1011
0,1,1,28,1016
0,1,1,29,995
0,1,1,30,1025
0,1,1,31,1006
0,1,1,32,1012
0,1,1,33,1023
0,1,1,34,1004
0,1,1,35,1013
0,1,1,36,1020
0,1,1,37,1022
0,1,1,38,1003
0,1,1,39,1021
0,1,1,40,1011
0,1,1,41,1009
0,1,1,42,1015
0,1,1,43,1012
0,1,1,44,997
0,1,1,45,1007
0,1,1,46,1002
0,1,1,47,1020
0,1,1,48,1009
0,1,1,49,1010
0,1,1,50,1020
0,1,1,51,1001
0,1,1,52,996
0,1,1,53,999
0,1,1,54,1019
0,1,1,55,991
0,1,1,56,990
0,1,1,57,1022
0,1,1,58,998
0,1,1,59,1005
0,1,1,60,1010
0,1,1,61,1007
0,1,1,62,1006
0,1,1,63,1005
0,0,1,0,998
0,0,1,1,1032
0,0,1,2,997
0,0,1,3,989
0,0,1,4,1012
0,0,1,5,983
0,0,1,6,1002
0,0,1,7,985
0,0,1,8,1002
0,0,1,9,979
0,0,1,10,994
0,0,1,11,998
0,0,1,12,1067
0,0,1,13,993
0,0,1,14,1000
0,0,1,15,1004
0,0,1,16,1016
0,0,1,17,1013
0,0,1,18,1016
0,0,1,19,1015
0,0,1,20,994
0,0,1,21,1001
0,0,1,22,1005
0,0,1,23,1053
0,0,1,24,994
0,0,1,25,1008
0,0,1,26,1002
0,0,1,27,2878
0,0,1,28,3083
0,0,1,29,1336
0,0,1,30,1014
0,0,1,31,996
0,0,1,32,1542
0,0,1,33,998
0,0,1,34,1012
0,0,1,35,1006
0,0,1,36,1939
0,0,1,37,3011
0,0,1,38,979
0,0,1,39,1017
0,0,1,40,1001
0,0,1,41,1011
0,0,1,42,1011
0,0,1,43,1028
0,0,1,44,1079
0,0,1,45,1010
0,0,1,46,1000
0,0,1,47,976
0,0,1,48,1013
0,0,1,49,1017
0,0,1,50,997
0,0,1,51,1038
0,0,1,52,1004
0,0,1,53,1019
0,0,1,54,993
0,0,1,55,983
0,0,1,56,1000
0,0,1,57,999
0,0,1,58,996
0,0,1,59,995
0,0,1,60,1074
0,0,1,61,995
0,0,1,62,1014
0,0,1,63,997
0,0,2,0,990
0,0,2,1,986
0,0,2,2,1000
0,0,2,3,997
0,0,2,4,989
0,0,2,5,996
0,0,2,6,998
0,0,2,7,996
0,0,2,8,984
0,0,2,9,1022
0,0,2,10,987
0,0,2,11,993
0,0,2,12,1067
0,0,2,13,1006
0,0,2,14,1014
0,0,2,15,1010
0,0,2,16,999
0,0,2,17,1003
0,0,2,18,1012
0,0,2,19,997
0,0,2,20,1018
0,0,2,21,1017
0,0,2,22,1005
0,0,2,23,977
0,0,2,24,985
0,0,2,25,985
0,0,2,26,1016
0,0,2,27,1003
0,0,2,28,1059
0,0,2,29,979
0,0,2,30,992
0,0,2,31,997
0,0,2,32,989
0,0,2,33,1006
0,0,2,34,992
0,0,2,35,997
0,0,2,36,987
0,0,2,37,1000
0,0,2,38,1007
0,0,2,39,988
0,0,2,40,1003
0,0,2,41,975
0,0,2,42,1002
0,0,2,43,997
0,0,2,44,1074
0,0,2,45,996
0,0,2,46,1010
0,0,2,47,1003
0,0,2,48,988
0,0,2,49,999
0,0,2,50,997
0,0,2,51,1022
0,0,2,52,996
0,0,2,53,1009
0,0,2,54,998
0,0,2,55,1004
0,0,2,56,988
0,0,2,57,1007
0,0,2,58,1055
0,0,2,59,990
0,0,2,60,1064
0,0,2,61,3213
0,0,2,62,3177
0,0,2,63,2796
0,1,2,0,1546
0,1,2,1,1030
0,1,2,2,1021
0,1,2,3,1028
0,1,2,4,1027
0,1,2,5,1015
0,1,2,6,1015
0,1,2,7,1013
0,1,2,8,988
0,1,2,9,1001
0,1,2,10,1005
0,1,2,11,1003
0,1,2,12,976
0,1,2,13,1001
0,1,2,14,990
0,1,2,15,1010
0,1,2,16,1019
0,1,2,17,1013
0,1,2,18,1012
0,1,2,19,1009
0,1,2,20,989
0,1,2,21,1000
0,1,2,22,1010
0,1,2,23,1021
0,1,2,24,1030
0,1,2,25,1014
0,1,2,26,1023
0,1,2,27,1002
0,1,2,28,1020
0,1,2,29,1017
0,1,2,30,1021
0,1,2,31,1012
0,1,2,32,1017
0,1,2,33,1010
0,1,2,34,1009
0,1,2,35,994
0,1,2,36,1022
0,1,2,37,1022
0,1,2,38,992
0,1,2,39,1020
0,1,2,40,1006
0,1,2,41,1025
0,1,2,42,1009
0,1,2,43,1011
0,1,2,44,1012
0,1,2,45,992
0,1,2,46,991
0,1,2,47,1025
0,1,2,48,1001
0,1,2,49,1010
0,1,2,50,1006
0,1,2,51,1011
0,1,2,52,1008
0,1,2,53,1014
0,1,2,54,1002
0,1,2,55,1010
0,1,2,56,991
0,1,2,57,1007
0,1,2,58,1013
0,1,2,59,1016
0,1,2,60,1018
0,1,2,61,990
0,1,2,62,1006
0,1,2,63,1019
0,1,3,0,975
0,1,3,1,1006
0,1,3,2,1001
0,1,3,3,985
0,1,3,4,991
0,1,3,5,1024
0,1,3,6,1022
0,1,3,7,1023
0,1,3,8,1006
0,1,3,9,1007
0,1,3,10,1021
0,1,3,11,1024
0,1,3,12,1005
0,1,3,13,1026
0,1,3,14,998
0,1,3,15,993
0,1,3,16,1011
0,1,3,17,1013
0,1,3,18,984
0,1,3,19,991
0,1,3,20,991
0,1,3,21,1018
0,1,3,22,1011
0,1,3,23,1013
0,1,3,24,1022
0,1,3,25,1006
0,1,3,26,1010
0,1,3,27,1008
0,1,3,28,1015
0,1,3,29,1015
0,1,3,30,1076
0,1,3,31,1017
0,1,3,32,1017
0,1,3,33,2716
0,1,3,34,3348
0,1,3,35,3401
0,1,3,36,1201
0,1,3,37,1024
0,1,3,38,985
0,1,3,39,1013
0,1,3,40,981
0,1,3,41,993
0,1,3,42,1000
0,1,3,43,1002
0,1,3,44,993
0,1,3,45,992
0,1,3,46,1001
0,1,3,47,994
0,1,3,48,1029
0,1,3,49,1016
0,1,3,50,1011
0,1,3,51,1017
0,1,3,52,988
0,1,3,53,1012
0,1,3,54,996
0,1,3,55,1009
0,1,3,56,1022
0,1,3,57,1005
0,1,3,58,989
0,1,3,59,1004
0,1,3,60,1022
0,1,3,61,999
0,1,3,62,1008
