cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1015 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1074 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1042
0,0,0,1,982
0,0,0,2,981
0,0,0,3,1011
0,0,0,4,983
0,0,0,5,982
0,0,0,6,999
0,0,0,7,973
0,0,0,8,1013
0,0,0,9,1005
0,0,0,10,1018
0,0,0,11,975
0,0,0,12,1000
0,0,0,13,1041
0,0,0,14,1001
0,0,0,15,985
0,0,0,16,991
0,0,0,17,992
0,0,0,18,1000
0,0,0,19,1014
0,0,0,20,993
0,0,0,21,1003
0,0,0,22,998
0,0,0,23,982
0,0,0,24,984
0,0,0,25,1005
0,0,0,26,997
0,0,0,27,1001
0,0,0,28,1005
0,0,0,29,1003
0,0,0,30,1016
0,0,0,31,978
0,0,0,32,990
0,0,0,33,1014
0,0,0,34,1030
0,0,0,35,983
0,0,0,36,1000
0,0,0,37,988
0,0,0,38,986
0,0,0,39,971
0,0,0,40,1010
0,0,0,41,1013
0,0,0,42,996
0,0,0,43,1015
0,0,0,44,992
0,0,0,45,987
0,0,0,46,1007
0,0,0,47,1003
0,0,0,48,992
0,0,0,49,987
0,0,0,50,990
0,0,0,51,998
0,0,0,52,999
0,0,0,53,1002
0,0,0,54,1008
0,0,0,55,1020
0,0,0,56,1034
0,0,0,57,1019
0,0,0,58,1003
0,0,0,59,994
0,0,0,60,989
0,0,0,61,1009
0,0,0,62,1004
0,0,0,63,992
0,1,0,0,1028
0,1,0,1,998
0,1,0,2,1014
0,1,0,3,1009
0,1,0,4,993
0,1,0,5,1012
0,1,0,6,1025
0,1,0,7,998
0,1,0,8,1026
0,1,0,9,1024
0,1,0,10,1017
0,1,0,11,997
0,1,0,12,1002
0,1,0,13,996
0,1,0,14,1006
0,1,0,15,1017
0,1,0,16,1018
0,1,0,17,1011
0,1,0,18,1013
0,1,0,19,994
0,1,0,20,1024
0,1,0,21,1027
0,1,0,22,1001
0,1,0,23,1026
0,1,0,24,1008
0,1,0,25,1015
0,1,0,26,996
0,1,0,27,1002
0,1,0,28,1012
0,1,0,29,1009
0,1,0,30,1020
0,1,0,31,1023
0,1,0,32,1003
0,1,0,33,1027
0,1,0,34,996
0,1,0,35,996
0,1,0,36,966
0,1,0,37,992
0,1,0,38,1016
0,1,0,39,992
0,1,0,40,1006
0,1,0,41,996
0,1,0,42,1021
0,1,0,43,1009
0,1,0,44,1004
0,1,0,45,1037
0,1,0,46,1023
0,1,0,47,1004
0,1,0,48,1014
0,1,0,49,1010
0,1,0,50,1014
0,1,0,51,996
0,1,0,52,990
0,1,0,53,1012
0,1,0,54,1021
0,1,0,55,1017
0,1,0,56,1008
0,1,0,57,1013
0,1,0,58,1000
0,1,0,59,1013
0,1,0,60,1006
0,1,0,61,1000
0,1,0,62,1015
0,1,0,63,1013
0,1,1,0,976
0,1,1,1,1015
0,1,1,2,995
0,1,1,3,1017
0,1,1,4,988
0,1,1,5,986
0,1,1,6,986
0,1,1,7,1008
0,1,1,8,999
0,1,1,9,1004
0,1,1,10,1009
0,1,1,11,1019
0,1,1,12,1001
0,1,1,13,1005
0,1,1,14,1013
0,1,1,15,1012
0,1,1,16,986
0,1,1,17,1009
0,1,1,18,1001
0,1,1,19,1000
0,1,1,20,1013
0,1,1,21,987
0,1,1,22,1011
0,1,1,23,1008
0,1,1,24,1008
0,1,1,25,1017
0,1,1,26,1014
0,1,1,27,1008
0,1,1,28,1027
0,1,1,29,1016
0,1,1,30,1010
0,1,1,31,1013
0,1,1,32,1012
0,1,1,33,1019
0,1,1,34,999
0,1,1,35,1009
0,1,1,36,1003
0,1,1,37,1026
0,1,1,38,1012
0,1,1,39,992
0,1,1,40,1024
0,1,1,41,997
0,1,1,42,1003
0,1,1,43,989
0,1,1,44,994
0,1,1,45,1003
0,1,1,46,996
0,1,1,47,969
0,1,1,48,1008
0,1,1,49,1006
0,1,1,50,991
0,1,1,51,1024
0,1,1,52,1022
0,1,1,53,1012
0,1,1,54,1019
0,1,1,55,1000
0,1,1,56,1025
0,1,1,57,1007
0,1,1,58,1015
0,1,1,59,979
0,1,1,60,1012
0,1,1,61,994
0,1,1,62,996
0,1,1,63,1000
0,0,1,0,1018
0,0,1,1,1006
0,0,1,2,1007
0,0,1,3,987
0,0,1,4,998
0,0,1,5,972
0,0,1,6,1401
0,0,1,7,1019
0,0,1,8,1005
0,0,1,9,985
0,0,1,10,993
0,0,1,11,1012
0,0,1,12,978
0,0,1,13,988
0,0,1,14,1000
0,0,1,15,997
0,0,1,16,1004
0,0,1,17,1007
0,0,1,18,989
0,0,1,19,1004
0,0,1,20,1008
0,0,1,21,987
0,0,1,22,1022
0,0,1,23,1006
0,0,1,24,1005
0,0,1,25,963
0,0,1,26,999
0,0,1,27,984
0,0,1,28,994
0,0,1,29,979
0,0,1,30,1002
0,0,1,31,988
0,0,1,32,990
0,0,1,33,1010
0,0,1,34,1002
0,0,1,35,998
0,0,1,36,1000
0,0,1,37,980
0,0,1,38,1018
0,0,1,39,1021
0,0,1,40,1004
0,0,1,41,1014
0,0,1,42,1020
0,0,1,43,992
0,0,1,44,991
0,0,1,45,988
0,0,1,46,1000
0,0,1,47,1011
0,0,1,48,999
0,0,1,49,1008
0,0,1,50,1004
0,0,1,51,1003
0,0,1,52,1018
0,0,1,53,995
0,0,1,54,1000
0,0,1,55,989
0,0,1,56,985
0,0,1,57,1000
0,0,1,58,995
0,0,1,59,1006
0,0,1,60,1017
0,0,1,61,981
0,0,1,62,1008
0,0,1,63,1009
0,0,2,0,971
0,0,2,1,1001
0,0,2,2,1011
0,0,2,3,1008
0,0,2,4,983
0,0,2,5,996
0,0,2,6,1007
0,0,2,7,989
0,0,2,8,1011
0,0,2,9,984
0,0,2,10,1008
0,0,2,11,997
0,0,2,12,1022
0,0,2,13,1002
0,0,2,14,992
0,0,2,15,1003
0,0,2,16,1010
0,0,2,17,979
0,0,2,18,1009
0,0,2,19,1016
0,0,2,20,986
0,0,2,21,1017
0,0,2,22,1001
0,0,2,23,1001
0,0,2,24,997
0,0,2,25,1002
0,0,2,26,994
0,0,2,27,1000
0,0,2,28,995
0,0,2,29,987
0,0,2,30,1012
0,0,2,31,996
0,0,2,32,1004
0,0,2,33,990
0,0,2,34,1006
0,0,2,35,996
0,0,2,36,994
0,0,2,37,1010
0,0,2,38,984
0,0,2,39,989
0,0,2,40,1006
0,0,2,41,1004
0,0,2,42,1003
0,0,2,43,1006
0,0,2,44,1003
0,0,2,45,1000
0,0,2,46,1010
0,0,2,47,989
0,0,2,48,988
0,0,2,49,1000
0,0,2,50,988
0,0,2,51,999
0,0,2,52,1002
0,0,2,53,996
0,0,2,54,1013
0,0,2,55,994
0,0,2,56,1011
0,0,2,57,1008
0,0,2,58,1010
0,0,2,59,1010
0,0,2,60,1010
0,0,2,61,1024
0,0,2,62,998
0,0,2,63,997
0,1,2,0,980
0,1,2,1,1020
0,1,2,2,1001
0,1,2,3,1009
0,1,2,4,1017
0,1,2,5,1004
0,1,2,6,1002
0,1,2,7,1014
0,1,2,8,993
0,1,2,9,1004
0,1,2,10,1010
0,1,2,11,1005
0,1,2,12,1013
0,1,2,13,1019
0,1,2,14,1019
0,1,2,15,1020
0,1,2,16,1007
0,1,2,17,1009
0,1,2,18,1008
0,1,2,19,1005
0,1,2,20,1016
0,1,2,21,1029
0,1,2,22,1007
0,1,2,23,1031
0,1,2,24,1004
0,1,2,25,1017
0,1,2,26,1012
0,1,2,27,1009
0,1,2,28,1004
0,1,2,29,1013
0,1,2,30,1020
0,1,2,31,1010
0,1,2,32,1017
0,1,2,33,1010
0,1,2,34,1015
0,1,2,35,1013
0,1,2,36,1011
0,1,2,37,1007
0,1,2,38,1001
0,1,2,39,1004
0,1,2,40,1016
0,1,2,41,1017
0,1,2,42,1001
0,1,2,43,1004
0,1,2,44,1008
0,1,2,45,1012
0,1,2,46,1002
0,1,2,47,997
0,1,2,48,1002
0,1,2,49,1018
0,1,2,50,1031
0,1,2,51,1034
0,1,2,52,1031
0,1,2,53,1012
0,1,2,54,1016
0,1,2,55,1003
0,1,2,56,1008
0,1,2,57,1015
0,1,2,58,1029
0,1,2,59,1027
0,1,2,60,989
0,1,2,61,998
0,1,2,62,1017
0,1,2,63,1013
0,1,3,0,985
0,1,3,1,1026
0,1,3,2,1007
0,1,3,3,1012
0,1,3,4,993
0,1,3,5,1016
0,1,3,6,1009
0,1,3,7,992
0,1,3,8,1003
0,1,3,9,1015
0,1,3,10,1023
0,1,3,11,1024
0,1,3,12,1021
0,1,3,13,1009
0,1,3,14,1027
0,1,3,15,1015
0,1,3,16,1001
0,1,3,17,1025
0,1,3,18,1021
0,1,3,19,1004
0,1,3,20,1005
0,1,3,21,1025
0,1,3,22,1026
0,1,3,23,1020
0,1,3,24,1020
0,1,3,25,1006
0,1,3,26,1001
0,1,3,27,1016
0,1,3,28,1007
0,1,3,29,1018
0,1,3,30,1007
0,1,3,31,1020
0,1,3,32,1022
0,1,3,33,1019
0,1,3,34,1001
0,1,3,35,1010
0,1,3,36,992
0,1,3,37,1024
0,1,3,38,988
0,1,3,39,1016
0,1,3,40,1017
0,1,3,41,1030
0,1,3,42,1005
0,1,3,43,1008
