cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1074 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1018
0,0,0,1,979
0,0,0,2,976
0,0,0,3,961
0,0,0,4,973
0,0,0,5,980
0,0,0,6,991
0,0,0,7,975
0,0,0,8,975
0,0,0,9,963
0,0,0,10,983
0,0,0,11,956
0,0,0,12,972
0,0,0,13,987
0,0,0,14,970
0,0,0,15,959
0,0,0,16,982
0,0,0,17,981
0,0,0,18,968
0,0,0,19,981
0,0,0,20,998
0,0,0,21,984
0,0,0,22,980
0,0,0,23,1042
0,0,0,24,971
0,0,0,25,946
0,0,0,26,954
0,0,0,27,956
0,0,0,28,976
0,0,0,29,959
0,0,0,30,973
0,0,0,31,982
0,0,0,32,990
0,0,0,33,979
0,0,0,34,980
0,0,0,35,993
0,0,0,36,980
0,0,0,37,973
0,0,0,38,965
0,0,0,39,971
0,0,0,40,984
0,0,0,41,973
0,0,0,42,963
0,0,0,43,965
0,0,0,44,991
0,0,0,45,970
0,0,0,46,971
0,0,0,47,965
0,0,0,48,963
0,0,0,49,980
0,0,0,50,949
0,0,0,51,973
0,0,0,52,984
0,0,0,53,974
0,0,0,54,963
0,0,0,55,972
0,0,0,56,973
0,0,0,57,962
0,0,0,58,977
0,0,0,59,960
0,0,0,60,981
0,0,0,61,972
0,0,0,62,984
0,0,0,63,973
0,1,0,0,1037
0,1,0,1,1010
0,1,0,2,988
0,1,0,3,1004
0,1,0,4,1012
0,1,0,5,1001
0,1,0,6,999
0,1,0,7,1002
0,1,0,8,997
0,1,0,9,1000
0,1,0,10,994
0,1,0,11,1001
0,1,0,12,999
0,1,0,13,995
0,1,0,14,988
0,1,0,15,997
0,1,0,16,992
0,1,0,17,1002
0,1,0,18,1004
0,1,0,19,1003
0,1,0,20,1006
0,1,0,21,1020
0,1,0,22,1010
