cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1015
0,0,0,1,977
0,0,0,2,953
0,0,0,3,971
0,0,0,4,959
0,0,0,5,961
0,0,0,6,996
0,0,0,7,964
0,0,0,8,965
0,0,0,9,963
0,0,0,10,971
0,0,0,11,985
0,0,0,12,966
0,0,0,13,957
0,0,0,14,970
0,0,0,15,966
0,0,0,16,965
0,0,0,17,989
0,0,0,18,971
0,0,0,19,963
0,0,0,20,967
0,0,0,21,974
0,0,0,22,961
0,0,0,23,976
0,0,0,24,983
0,0,0,25,961
0,0,0,26,983
0,0,0,27,965
0,0,0,28,960
0,0,0,29,953
0,0,0,30,981
0,0,0,31,973
0,0,0,32,965
0,0,0,33,997
0,0,0,34,963
0,0,0,35,985
0,0,0,36,968
0,0,0,37,972
0,0,0,38,969
0,0,0,39,983
0,0,0,40,967
0,0,0,41,1011
0,0,0,42,989
0,0,0,43,966
0,0,0,44,962
0,0,0,45,964
0,0,0,46,960
0,0,0,47,980
0,0,0,48,987
0,0,0,49,998
0,0,0,50,973
0,0,0,51,973
0,0,0,52,978
0,0,0,53,978
0,0,0,54,960
0,0,0,55,974
0,0,0,56,962
0,0,0,57,964
0,0,0,58,959
0,0,0,59,968
0,0,0,60,967
