cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1077 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1044
0,0,0,1,976
0,0,0,2,988
0,0,0,3,984
0,0,0,4,986
0,0,0,5,992
0,0,0,6,999
0,0,0,7,1007
0,0,0,8,993
0,0,0,9,1002
0,0,0,10,1004
0,0,0,11,995
0,0,0,12,991
0,0,0,13,1007
0,0,0,14,1015
0,0,0,15,1002
0,0,0,16,1008
0,0,0,17,1005
0,0,0,18,999
0,0,0,19,988
0,0,0,20,985
0,0,0,21,1003
0,0,0,22,995
0,0,0,23,996
0,0,0,24,1005
0,0,0,25,988
0,0,0,26,1001
0,0,0,27,991
0,0,0,28,966
0,0,0,29,962
0,0,0,30,989
0,0,0,31,990
0,0,0,32,992
0,0,0,33,999
0,0,0,34,1002
0,0,0,35,998
0,0,0,36,969
0,0,0,37,994
0,0,0,38,1015
0,0,0,39,998
0,0,0,40,983
0,0,0,41,989
0,0,0,42,1007
0,0,0,43,988
0,0,0,44,988
0,0,0,45,996
0,0,0,46,978
0,0,0,47,978
0,0,0,48,1011
0,0,0,49,990
0,0,0,50,994
0,0,0,51,998
0,0,0,52,992
0,0,0,53,1005
0,0,0,54,1000
0,0,0,55,984
0,0,0,56,990
0,0,0,57,997
0,0,0,58,981
0,0,0,59,999
0,0,0,60,979
0,0,0,61,960
0,0,0,62,987
0,0,0,63,976
0,1,0,0,1026
0,1,0,1,1002
0,1,0,2,1011
0,1,0,3,1041
0,1,0,4,1037
0,1,0,5,1032
0,1,0,6,1026
0,1,0,7,1038
0,1,0,8,1039
0,1,0,9,1056
0,1,0,10,1049
0,1,0,11,1044
0,1,0,12,1029
0,1,0,13,1015
0,1,0,14,1004
0,1,0,15,1029
0,1,0,16,1019
0,1,0,17,1027
0,1,0,18,1010
0,1,0,19,1021
0,1,0,20,1020
0,1,0,21,1009
0,1,0,22,1024
0,1,0,23,1013
