cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1025 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1074 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1011
0,0,0,1,1035
0,0,0,2,937
0,0,0,3,955
0,0,0,4,941
0,0,0,5,951
0,0,0,6,945
0,0,0,7,948
0,0,0,8,981
0,0,0,9,1048
0,0,0,10,977
0,0,0,11,978
0,0,0,12,952
0,0,0,13,955
0,0,0,14,969
0,0,0,15,954
0,0,0,16,963
0,0,0,17,974
0,0,0,18,958
0,0,0,19,951
0,0,0,20,969
0,0,0,21,981
0,0,0,22,957
0,0,0,23,980
0,0,0,24,962
0,0,0,25,963
0,0,0,26,977
0,0,0,27,967
0,0,0,28,941
0,0,0,29,974
0,0,0,30,966
0,0,0,31,964
0,0,0,32,966
0,0,0,33,956
0,0,0,34,970
0,0,0,35,944
0,0,0,36,946
0,0,0,37,960
0,0,0,38,964
0,0,0,39,987
0,0,0,40,984
0,0,0,41,977
0,0,0,42,978
0,0,0,43,975
0,0,0,44,965
0,0,0,45,965
0,0,0,46,989
0,0,0,47,989
0,0,0,48,967
0,0,0,49,988
0,0,0,50,956
0,0,0,51,962
0,0,0,52,951
0,0,0,53,952
0,0,0,54,981
0,0,0,55,985
0,0,0,56,982
0,0,0,57,979
0,0,0,58,979
0,0,0,59,956
0,0,0,60,976
0,0,0,61,970
0,0,0,62,954
0,0,0,63,978
0,1,0,0,1023
0,1,0,1,1006
0,1,0,2,978
0,1,0,3,981
0,1,0,4,1013
0,1,0,5,978
0,1,0,6,1011
0,1,0,7,1005
0,1,0,8,1012
0,1,0,9,1003
0,1,0,10,1012
0,1,0,11,991
0,1,0,12,1011
0,1,0,13,1011
0,1,0,14,1005
0,1,0,15,1001
0,1,0,16,991
0,1,0,17,994
0,1,0,18,997
0,1,0,19,999
0,1,0,20,986
0,1,0,21,984
0,1,0,22,999
0,1,0,23,990
0,1,0,24,1000
0,1,0,25,982
0,1,0,26,994
0,1,0,27,1014
0,1,0,28,1011
0,1,0,29,993
0,1,0,30,1015
0,1,0,31,998
0,1,0,32,1007
0,1,0,33,1008
0,1,0,34,1014
0,1,0,35,1019
0,1,0,36,1011
0,1,0,37,1014
0,1,0,38,1017
0,1,0,39,1008
0,1,0,40,990
0,1,0,41,1008
0,1,0,42,999
0,1,0,43,1001
0,1,0,44,1000
0,1,0,45,993
0,1,0,46,1008
0,1,0,47,977
0,1,0,48,1011
0,1,0,49,1026
0,1,0,50,980
0,1,0,51,1021
0,1,0,52,1010
0,1,0,53,986
0,1,0,54,1000
0,1,0,55,990
0,1,0,56,1003
0,1,0,57,994
0,1,0,58,999
0,1,0,59,1022
0,1,0,60,990
0,1,0,61,1007
0,1,0,62,990
0,1,0,63,986
0,1,1,0,1010
0,1,1,1,1010
0,1,1,2,997
0,1,1,3,999
0,1,1,4,997
0,1,1,5,987
0,1,1,6,1000
0,1,1,7,1011
0,1,1,8,986
0,1,1,9,1031
0,1,1,10,1013
0,1,1,11,980
0,1,1,12,985
0,1,1,13,987
0,1,1,14,996
0,1,1,15,1002
0,1,1,16,991
0,1,1,17,1000
0,1,1,18,1005
0,1,1,19,1006
0,1,1,20,988
0,1,1,21,998
0,1,1,22,990
0,1,1,23,1003
0,1,1,24,1013
0,1,1,25,996
0,1,1,26,1006
0,1,1,27,994
0,1,1,28,1000
0,1,1,29,1006
0,1,1,30,993
0,1,1,31,1026
0,1,1,32,994
0,1,1,33,986
0,1,1,34,1003
0,1,1,35,983
0,1,1,36,1003
0,1,1,37,1010
0,1,1,38,996
0,1,1,39,1008
0,1,1,40,979
0,1,1,41,1012
0,1,1,42,1007
0,1,1,43,1016
0,1,1,44,1019
0,1,1,45,1012
0,1,1,46,996
0,1,1,47,998
0,1,1,48,1010
0,1,1,49,1013
0,1,1,50,1012
0,1,1,51,1015
0,1,1,52,1009
0,1,1,53,992
0,1,1,54,1013
0,1,1,55,1008
0,1,1,56,1019
0,1,1,57,1007
0,1,1,58,996
0,1,1,59,1023
0,1,1,60,999
0,1,1,61,1004
0,1,1,62,995
0,1,1,63,988
0,0,1,0,993
0,0,1,1,1036
0,0,1,2,1000
0,0,1,3,980
0,0,1,4,972
0,0,1,5,988
0,0,1,6,976
0,0,1,7,976
0,0,1,8,973
0,0,1,9,979
0,0,1,10,983
0,0,1,11,953
0,0,1,12,997
0,0,1,13,974
0,0,1,14,969
0,0,1,15,952
0,0,1,16,974
0,0,1,17,1025
0,0,1,18,961
0,0,1,19,959
0,0,1,20,973
0,0,1,21,980
0,0,1,22,960
0,0,1,23,978
0,0,1,24,972
0,0,1,25,969
0,0,1,26,955
0,0,1,27,966
0,0,1,28,952
0,0,1,29,969
0,0,1,30,953
0,0,1,31,976
0,0,1,32,972
0,0,1,33,977
0,0,1,34,966
0,0,1,35,942
0,0,1,36,964
0,0,1,37,939
0,0,1,38,937
0,0,1,39,939
0,0,1,40,950
0,0,1,41,954
0,0,1,42,965
0,0,1,43,955
0,0,1,44,966
0,0,1,45,982
0,0,1,46,983
0,0,1,47,971
0,0,1,48,969
0,0,1,49,995
0,0,1,50,993
0,0,1,51,986
0,0,1,52,942
0,0,1,53,971
0,0,1,54,966
0,0,1,55,971
0,0,1,56,986
0,0,1,57,962
0,0,1,58,989
0,0,1,59,990
0,0,1,60,1001
0,0,1,61,982
0,0,1,62,972
0,0,1,63,971
0,0,2,0,954
0,0,2,1,1013
0,0,2,2,975
0,0,2,3,980
0,0,2,4,977
0,0,2,5,949
0,0,2,6,986
0,0,2,7,949
0,0,2,8,952
0,0,2,9,972
0,0,2,10,949
0,0,2,11,984
0,0,2,12,974
0,0,2,13,968
0,0,2,14,957
0,0,2,15,974
0,0,2,16,961
0,0,2,17,1012
0,0,2,18,962
0,0,2,19,961
0,0,2,20,967
0,0,2,21,954
0,0,2,22,952
0,0,2,23,942
0,0,2,24,967
0,0,2,25,954
0,0,2,26,968
0,0,2,27,938
0,0,2,28,961
0,0,2,29,971
0,0,2,30,965
0,0,2,31,958
0,0,2,32,957
0,0,2,33,985
0,0,2,34,971
0,0,2,35,996
0,0,2,36,994
0,0,2,37,945
0,0,2,38,978
0,0,2,39,983
0,0,2,40,979
0,0,2,41,978
0,0,2,42,964
0,0,2,43,978
0,0,2,44,973
0,0,2,45,976
0,0,2,46,956
0,0,2,47,952
0,0,2,48,979
0,0,2,49,971
0,0,2,50,978
0,0,2,51,985
0,0,2,52,955
0,0,2,53,981
0,0,2,54,1004
0,0,2,55,986
0,0,2,56,966
0,0,2,57,981
0,0,2,58,974
0,0,2,59,967
0,0,2,60,969
0,0,2,61,977
0,0,2,62,962
