cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1080 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1090 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1065
0,0,0,1,973
0,0,0,2,986
0,0,0,3,996
0,0,0,4,1002
0,0,0,5,986
0,0,0,6,987
0,0,0,7,996
0,0,0,8,1008
0,0,0,9,996
0,0,0,10,1000
0,0,0,11,987
0,0,0,12,994
0,0,0,13,994
0,0,0,14,983
0,0,0,15,1008
0,0,0,16,973
0,0,0,17,1013
0,0,0,18,988
0,0,0,19,987
0,0,0,20,990
0,0,0,21,1001
0,0,0,22,997
0,0,0,23,979
0,0,0,24,1006
0,0,0,25,989
0,0,0,26,981
0,0,0,27,986
0,0,0,28,1002
0,0,0,29,990
0,0,0,30,989
0,0,0,31,1006
0,0,0,32,982
0,0,0,33,982
0,0,0,34,1005
0,0,0,35,995
0,0,0,36,996
0,0,0,37,1007
0,0,0,38,1014
0,0,0,39,1014
0,0,0,40,999
0,0,0,41,1008
0,0,0,42,999
0,0,0,43,1008
0,0,0,44,989
0,0,0,45,1003
0,0,0,46,990
0,0,0,47,1017
0,0,0,48,985
0,0,0,49,1001
0,0,0,50,1010
0,0,0,51,1002
0,0,0,52,1002
0,0,0,53,995
0,0,0,54,999
0,0,0,55,990
0,0,0,56,996
0,0,0,57,996
0,0,0,58,1006
0,0,0,59,1003
0,0,0,60,1001
0,0,0,61,994
0,0,0,62,996
0,0,0,63,1005
0,1,0,0,1030
0,1,0,1,1001
0,1,0,2,1014
0,1,0,3,1003
0,1,0,4,1017
0,1,0,5,1020
0,1,0,6,1024
0,1,0,7,1012
0,1,0,8,1008
0,1,0,9,997
0,1,0,10,1017
0,1,0,11,1020
0,1,0,12,1007
0,1,0,13,997
0,1,0,14,1008
0,1,0,15,990
0,1,0,16,1000
0,1,0,17,990
0,1,0,18,1008
0,1,0,19,1025
0,1,0,20,997
0,1,0,21,988
0,1,0,22,1006
0,1,0,23,1029
0,1,0,24,1003
0,1,0,25,1007
0,1,0,26,1121
0,1,0,27,1007
0,1,0,28,998
0,1,0,29,1000
0,1,0,30,1009
0,1,0,31,1021
0,1,0,32,986
0,1,0,33,998
0,1,0,34,987
0,1,0,35,998
0,1,0,36,998
0,1,0,37,1022
0,1,0,38,984
0,1,0,39,995
0,1,0,40,989
0,1,0,41,997
0,1,0,42,997
0,1,0,43,1013
0,1,0,44,1011
0,1,0,45,1017
0,1,0,46,987
0,1,0,47,1009
0,1,0,48,979
0,1,0,49,999
0,1,0,50,999
0,1,0,51,1004
0,1,0,52,1011
0,1,0,53,1002
0,1,0,54,997
0,1,0,55,988
0,1,0,56,1022
0,1,0,57,1001
0,1,0,58,997
0,1,0,59,999
0,1,0,60,1008
0,1,0,61,999
0,1,0,62,1014
0,1,0,63,994
0,1,1,0,967
0,1,1,1,995
0,1,1,2,986
0,1,1,3,986
0,1,1,4,994
0,1,1,5,995
0,1,1,6,982
0,1,1,7,998
0,1,1,8,1001
0,1,1,9,1014
0,1,1,10,1002
0,1,1,11,1007
0,1,1,12,1010
0,1,1,13,1010
0,1,1,14,1010
0,1,1,15,1001
0,1,1,16,994
0,1,1,17,1013
0,1,1,18,1000
0,1,1,19,1002
0,1,1,20,1017
0,1,1,21,996
0,1,1,22,1006
0,1,1,23,997
0,1,1,24,985
0,1,1,25,982
0,1,1,26,999
0,1,1,27,1000
0,1,1,28,1022
0,1,1,29,983
0,1,1,30,987
0,1,1,31,1007
0,1,1,32,982
0,1,1,33,1002
0,1,1,34,1006
0,1,1,35,986
0,1,1,36,1002
0,1,1,37,998
0,1,1,38,1001
0,1,1,39,1004
0,1,1,40,1011
0,1,1,41,997
0,1,1,42,1003
0,1,1,43,1001
0,1,1,44,1005
0,1,1,45,983
0,1,1,46,1014
0,1,1,47,999
0,1,1,48,999
0,1,1,49,995
0,1,1,50,1004
0,1,1,51,998
0,1,1,52,1015
0,1,1,53,982
0,1,1,54,990
0,1,1,55,998
0,1,1,56,993
0,1,1,57,1023
0,1,1,58,1016
0,1,1,59,1015
0,1,1,60,1001
0,1,1,61,989
0,1,1,62,984
0,1,1,63,1011
0,0,1,0,998
0,0,1,1,1023
0,0,1,2,988
0,0,1,3,984
0,0,1,4,992
0,0,1,5,981
0,0,1,6,989
0,0,1,7,1006
0,0,1,8,996
0,0,1,9,998
0,0,1,10,996
0,0,1,11,998
0,0,1,12,983
0,0,1,13,990
0,0,1,14,998
0,0,1,15,1013
0,0,1,16,990
0,0,1,17,1001
0,0,1,18,997
0,0,1,19,984
0,0,1,20,997
0,0,1,21,995
0,0,1,22,989
0,0,1,23,979
0,0,1,24,975
0,0,1,25,995
0,0,1,26,991
0,0,1,27,987
0,0,1,28,1009
0,0,1,29,999
0,0,1,30,988
0,0,1,31,1005
0,0,1,32,997
0,0,1,33,1006
0,0,1,34,988
0,0,1,35,1015
0,0,1,36,993
0,0,1,37,1009
0,0,1,38,1001
0,0,1,39,991
0,0,1,40,996
0,0,1,41,991
0,0,1,42,973
0,0,1,43,986
0,0,1,44,997
0,0,1,45,990
0,0,1,46,997
0,0,1,47,993
0,0,1,48,984
0,0,1,49,981
0,0,1,50,988
0,0,1,51,989
0,0,1,52,994
0,0,1,53,1000
0,0,1,54,1005
0,0,1,55,980
0,0,1,56,1012
0,0,1,57,976
0,0,1,58,990
0,0,1,59,976
0,0,1,60,1009
0,0,1,61,1011
0,0,1,62,975
0,0,1,63,1003
0,0,2,0,951
0,0,2,1,984
0,0,2,2,996
0,0,2,3,965
0,0,2,4,1002
0,0,2,5,1004
0,0,2,6,996
0,0,2,7,991
0,0,2,8,985
0,0,2,9,1007
0,0,2,10,990
0,0,2,11,976
0,0,2,12,980
0,0,2,13,978
0,0,2,14,984
0,0,2,15,992
0,0,2,16,992
0,0,2,17,993
0,0,2,18,1001
0,0,2,19,986
0,0,2,20,980
0,0,2,21,996
0,0,2,22,992
0,0,2,23,981
0,0,2,24,993
0,0,2,25,991
0,0,2,26,981
0,0,2,27,981
0,0,2,28,986
0,0,2,29,996
0,0,2,30,991
0,0,2,31,991
0,0,2,32,1005
0,0,2,33,990
0,0,2,34,991
0,0,2,35,982
0,0,2,36,982
0,0,2,37,971
0,0,2,38,973
0,0,2,39,980
0,0,2,40,1007
0,0,2,41,991
0,0,2,42,997
0,0,2,43,986
0,0,2,44,998
0,0,2,45,986
0,0,2,46,972
0,0,2,47,985
0,0,2,48,992
0,0,2,49,997
0,0,2,50,997
0,0,2,51,978
0,0,2,52,992
0,0,2,53,1002
0,0,2,54,992
0,0,2,55,1003
0,0,2,56,986
0,0,2,57,995
0,0,2,58,993
0,0,2,59,972
0,0,2,60,982
0,0,2,61,995
0,0,2,62,988
0,0,2,63,995
0,1,2,0,986
0,1,2,1,1024
0,1,2,2,1024
0,1,2,3,1036
0,1,2,4,1031
0,1,2,5,1004
0,1,2,6,971
0,1,2,7,988
0,1,2,8,1013
0,1,2,9,1007
0,1,2,10,988
0,1,2,11,990
0,1,2,12,1008
0,1,2,13,988
0,1,2,14,977
0,1,2,15,1009
0,1,2,16,1004
0,1,2,17,994
0,1,2,18,1012
0,1,2,19,1001
0,1,2,20,1007
0,1,2,21,989
0,1,2,22,1001
0,1,2,23,996
0,1,2,24,1004
0,1,2,25,1004
0,1,2,26,1006
0,1,2,27,996
0,1,2,28,997
0,1,2,29,993
0,1,2,30,997
0,1,2,31,992
0,1,2,32,990
0,1,2,33,1053
0,1,2,34,1027
0,1,2,35,997
0,1,2,36,996
0,1,2,37,991
0,1,2,38,1019
0,1,2,39,999
0,1,2,40,982
0,1,2,41,1015
0,1,2,42,1018
0,1,2,43,1002
0,1,2,44,1019
0,1,2,45,1002
0,1,2,46,995
0,1,2,47,994
0,1,2,48,1018
0,1,2,49,1011
0,1,2,50,1002
0,1,2,51,994
0,1,2,52,994
0,1,2,53,1005
0,1,2,54,992
0,1,2,55,1000
0,1,2,56,969
0,1,2,57,997
0,1,2,58,990
0,1,2,59,986
0,1,2,60,992
0,1,2,61,999
0,1,2,62,987
0,1,2,63,1002
0,1,3,0,989
0,1,3,1,999
0,1,3,2,1002
0,1,3,3,994
0,1,3,4,1001
0,1,3,5,1004
0,1,3,6,1010
0,1,3,7,998
0,1,3,8,1002
0,1,3,9,1022
0,1,3,10,992
