cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1014
0,0,0,1,981
0,0,0,2,946
0,0,0,3,986
0,0,0,4,980
0,0,0,5,965
0,0,0,6,978
0,0,0,7,958
0,0,0,8,1378
0,0,0,9,995
0,0,0,10,973
0,0,0,11,957
0,0,0,12,957
0,0,0,13,969
0,0,0,14,968
0,0,0,15,976
0,0,0,16,967
0,0,0,17,978
0,0,0,18,955
0,0,0,19,973
0,0,0,20,956
0,0,0,21,968
0,0,0,22,964
0,0,0,23,973
0,0,0,24,983
0,0,0,25,1023
0,0,0,26,971
0,0,0,27,968
0,0,0,28,964
0,0,0,29,975
0,0,0,30,963
0,0,0,31,990
0,0,0,32,984
0,0,0,33,951
0,0,0,34,976
0,0,0,35,970
0,0,0,36,953
0,0,0,37,971
0,0,0,38,958
0,0,0,39,974
0,0,0,40,978
0,0,0,41,957
0,0,0,42,965
0,0,0,43,960
0,0,0,44,974
0,0,0,45,965
0,0,0,46,954
0,0,0,47,955
0,0,0,48,975
0,0,0,49,951
0,0,0,50,985
0,0,0,51,972
0,0,0,52,963
0,0,0,53,968
0,0,0,54,980
0,0,0,55,959
0,0,0,56,977
0,0,0,57,964
0,0,0,58,965
0,0,0,59,972
0,0,0,60,960
0,0,0,61,966
0,0,0,62,968
0,0,0,63,967
0,1,0,0,1015
0,1,0,1,1035
0,1,0,2,987
0,1,0,3,976
0,1,0,4,988
0,1,0,5,982
0,1,0,6,984
0,1,0,7,983
0,1,0,8,992
0,1,0,9,974
0,1,0,10,993
0,1,0,11,982
0,1,0,12,988
0,1,0,13,993
0,1,0,14,1009
0,1,0,15,979
0,1,0,16,984
0,1,0,17,971
0,1,0,18,991
0,1,0,19,980
0,1,0,20,1001
0,1,0,21,991
0,1,0,22,979
0,1,0,23,982
0,1,0,24,1004
0,1,0,25,970
0,1,0,26,967
0,1,0,27,983
0,1,0,28,994
0,1,0,29,985
0,1,0,30,981
0,1,0,31,996
0,1,0,32,983
0,1,0,33,988
0,1,0,34,985
0,1,0,35,982
0,1,0,36,977
0,1,0,37,988
0,1,0,38,993
0,1,0,39,988
0,1,0,40,996
0,1,0,41,999
0,1,0,42,993
0,1,0,43,988
0,1,0,44,995
0,1,0,45,989
0,1,0,46,977
0,1,0,47,998
0,1,0,48,998
0,1,0,49,986
0,1,0,50,1013
0,1,0,51,996
0,1,0,52,988
0,1,0,53,992
0,1,0,54,991
0,1,0,55,967
0,1,0,56,992
0,1,0,57,976
0,1,0,58,989
0,1,0,59,1001
0,1,0,60,992
0,1,0,61,988
0,1,0,62,988
0,1,0,63,974
0,1,1,0,973
0,1,1,1,970
0,1,1,2,995
0,1,1,3,1013
0,1,1,4,985
0,1,1,5,995
0,1,1,6,1002
0,1,1,7,994
0,1,1,8,998
0,1,1,9,986
0,1,1,10,999
0,1,1,11,997
0,1,1,12,984
0,1,1,13,981
0,1,1,14,991
0,1,1,15,974
0,1,1,16,987
0,1,1,17,969
0,1,1,18,971
0,1,1,19,974
0,1,1,20,995
0,1,1,21,1013
0,1,1,22,987
0,1,1,23,983
0,1,1,24,992
0,1,1,25,983
0,1,1,26,995
0,1,1,27,973
0,1,1,28,977
0,1,1,29,981
0,1,1,30,975
0,1,1,31,986
0,1,1,32,995
0,1,1,33,991
0,1,1,34,1010
0,1,1,35,993
0,1,1,36,980
0,1,1,37,980
0,1,1,38,978
0,1,1,39,998
0,1,1,40,999
0,1,1,41,999
0,1,1,42,980
0,1,1,43,987
0,1,1,44,982
0,1,1,45,992
0,1,1,46,989
0,1,1,47,986
0,1,1,48,995
0,1,1,49,984
0,1,1,50,991
0,1,1,51,996
0,1,1,52,1001
0,1,1,53,993
0,1,1,54,977
0,1,1,55,1003
0,1,1,56,1010
0,1,1,57,989
0,1,1,58,984
0,1,1,59,997
0,1,1,60,988
0,1,1,61,983
0,1,1,62,1000
0,1,1,63,977
0,0,1,0,962
0,0,1,1,991
0,0,1,2,978
0,0,1,3,974
0,0,1,4,1014
0,0,1,5,980
0,0,1,6,973
0,0,1,7,973
0,0,1,8,984
0,0,1,9,969
0,0,1,10,963
0,0,1,11,991
0,0,1,12,971
0,0,1,13,970
0,0,1,14,976
0,0,1,15,960
0,0,1,16,967
0,0,1,17,962
0,0,1,18,985
0,0,1,19,980
0,0,1,20,973
0,0,1,21,953
0,0,1,22,974
0,0,1,23,980
0,0,1,24,975
0,0,1,25,969
0,0,1,26,967
0,0,1,27,983
0,0,1,28,979
0,0,1,29,969
0,0,1,30,984
0,0,1,31,966
0,0,1,32,980
0,0,1,33,979
0,0,1,34,978
0,0,1,35,959
0,0,1,36,968
0,0,1,37,979
0,0,1,38,963
0,0,1,39,962
0,0,1,40,983
0,0,1,41,1034
0,0,1,42,943
0,0,1,43,958
0,0,1,44,970
0,0,1,45,978
0,0,1,46,977
0,0,1,47,967
0,0,1,48,985
0,0,1,49,977
0,0,1,50,976
0,0,1,51,971
0,0,1,52,954
0,0,1,53,968
0,0,1,54,969
0,0,1,55,993
0,0,1,56,977
0,0,1,57,960
0,0,1,58,958
0,0,1,59,951
0,0,1,60,957
0,0,1,61,980
0,0,1,62,965
0,0,1,63,946
0,0,2,0,951
0,0,2,1,954
0,0,2,2,963
0,0,2,3,974
0,0,2,4,988
0,0,2,5,954
0,0,2,6,966
0,0,2,7,973
0,0,2,8,959
0,0,2,9,970
0,0,2,10,962
0,0,2,11,959
0,0,2,12,990
0,0,2,13,990
0,0,2,14,972
0,0,2,15,962
0,0,2,16,978
0,0,2,17,979
0,0,2,18,966
0,0,2,19,987
0,0,2,20,983
0,0,2,21,958
0,0,2,22,985
0,0,2,23,972
0,0,2,24,968
0,0,2,25,1013
0,0,2,26,958
0,0,2,27,983
0,0,2,28,977
0,0,2,29,966
0,0,2,30,957
0,0,2,31,952
0,0,2,32,952
0,0,2,33,967
0,0,2,34,978
0,0,2,35,963
0,0,2,36,959
0,0,2,37,976
0,0,2,38,968
0,0,2,39,964
0,0,2,40,974
0,0,2,41,973
0,0,2,42,968
0,0,2,43,977
0,0,2,44,955
0,0,2,45,961
0,0,2,46,977
0,0,2,47,965
0,0,2,48,956
0,0,2,49,987
0,0,2,50,975
0,0,2,51,971
0,0,2,52,970
0,0,2,53,951
0,0,2,54,977
0,0,2,55,978
0,0,2,56,952
0,0,2,57,971
0,0,2,58,964
0,0,2,59,972
0,0,2,60,958
0,0,2,61,983
0,0,2,62,971
0,0,2,63,963
0,1,2,0,990
0,1,2,1,1013
0,1,2,2,1005
0,1,2,3,1008
0,1,2,4,1004
0,1,2,5,990
0,1,2,6,994
0,1,2,7,1000
0,1,2,8,977
0,1,2,9,990
0,1,2,10,984
0,1,2,11,998
0,1,2,12,989
0,1,2,13,992
0,1,2,14,993
0,1,2,15,982
0,1,2,16,992
0,1,2,17,987
0,1,2,18,985
0,1,2,19,984
0,1,2,20,993
0,1,2,21,992
0,1,2,22,998
0,1,2,23,985
0,1,2,24,976
0,1,2,25,1007
0,1,2,26,985
0,1,2,27,969
0,1,2,28,997
0,1,2,29,1001
0,1,2,30,999
0,1,2,31,988
0,1,2,32,989
0,1,2,33,988
0,1,2,34,1001
0,1,2,35,989
0,1,2,36,1009
0,1,2,37,982
0,1,2,38,996
0,1,2,39,995
0,1,2,40,1010
0,1,2,41,986
0,1,2,42,975
0,1,2,43,998
0,1,2,44,998
0,1,2,45,993
0,1,2,46,989
0,1,2,47,986
0,1,2,48,1015
0,1,2,49,989
0,1,2,50,991
0,1,2,51,1005
0,1,2,52,979
0,1,2,53,975
0,1,2,54,985
0,1,2,55,991
0,1,2,56,992
0,1,2,57,998
0,1,2,58,994
0,1,2,59,1002
0,1,2,60,976
0,1,2,61,994
0,1,2,62,992
0,1,2,63,980
0,1,3,0,976
0,1,3,1,981
0,1,3,2,982
0,1,3,3,983
0,1,3,4,989
0,1,3,5,982
0,1,3,6,1006
0,1,3,7,980
0,1,3,8,994
0,1,3,9,986
0,1,3,10,985
0,1,3,11,983
0,1,3,12,992
0,1,3,13,983
0,1,3,14,992
0,1,3,15,983
0,1,3,16,998
0,1,3,17,988
0,1,3,18,989
0,1,3,19,987
0,1,3,20,993
0,1,3,21,1005
0,1,3,22,986
0,1,3,23,985
0,1,3,24,999
0,1,3,25,1001
0,1,3,26,990
0,1,3,27,999
0,1,3,28,978
0,1,3,29,1006
0,1,3,30,962
0,1,3,31,982
0,1,3,32,994
0,1,3,33,994
0,1,3,34,995
0,1,3,35,991
0,1,3,36,971
0,1,3,37,975
0,1,3,38,990
0,1,3,39,1000
0,1,3,40,982
0,1,3,41,1003
0,1,3,42,989
0,1,3,43,985
0,1,3,44,1001
0,1,3,45,991
0,1,3,46,990
0,1,3,47,1002
0,1,3,48,990
0,1,3,49,981
0,1,3,50,977
0,1,3,51,999
0,1,3,52,1006
0,1,3,53,994
0,1,3,54,982
0,1,3,55,991
0,1,3,56,989
0,1,3,57,981
0,1,3,58,969
0,1,3,59,979
0,1,3,60,1019
0,1,3,61,995
0,1,3,62,994
0,1,3,63,1007
0,0,3,0,949
