cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1074 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1006
0,0,0,1,962
0,0,0,2,940
0,0,0,3,968
0,0,0,4,967
0,0,0,5,963
0,0,0,6,942
0,0,0,7,955
0,0,0,8,972
0,0,0,9,983
0,0,0,10,963
0,0,0,11,978
0,0,0,12,952
0,0,0,13,960
0,0,0,14,968
0,0,0,15,978
0,0,0,16,958
0,0,0,17,967
0,0,0,18,972
0,0,0,19,972
0,0,0,20,962
0,0,0,21,955
0,0,0,22,973
0,0,0,23,959
0,0,0,24,973
0,0,0,25,1532
0,0,0,26,982
0,0,0,27,969
0,0,0,28,942
0,0,0,29,938
0,0,0,30,942
0,0,0,31,975
0,0,0,32,966
0,0,0,33,967
0,0,0,34,963
0,0,0,35,993
0,0,0,36,965
0,0,0,37,970
0,0,0,38,969
0,0,0,39,980
0,0,0,40,972
0,0,0,41,956
0,0,0,42,985
0,0,0,43,982
0,0,0,44,961
0,0,0,45,959
0,0,0,46,947
0,0,0,47,965
0,0,0,48,969
0,0,0,49,969
0,0,0,50,967
0,0,0,51,954
0,0,0,52,979
0,0,0,53,961
0,0,0,54,969
0,0,0,55,955
0,0,0,56,956
0,0,0,57,962
0,0,0,58,993
0,0,0,59,971
0,0,0,60,963
0,0,0,61,996
0,0,0,62,981
0,0,0,63,983
0,1,0,0,1042
0,1,0,1,992
0,1,0,2,990
0,1,0,3,987
0,1,0,4,973
0,1,0,5,981
0,1,0,6,996
0,1,0,7,994
0,1,0,8,983
0,1,0,9,972
0,1,0,10,981
0,1,0,11,974
0,1,0,12,981
0,1,0,13,974
0,1,0,14,969
0,1,0,15,963
0,1,0,16,997
0,1,0,17,978
0,1,0,18,980
0,1,0,19,990
0,1,0,20,994
0,1,0,21,981
0,1,0,22,976
0,1,0,23,978
0,1,0,24,985
0,1,0,25,987
0,1,0,26,977
0,1,0,27,971
0,1,0,28,995
0,1,0,29,980
0,1,0,30,978
0,1,0,31,992
0,1,0,32,990
0,1,0,33,1007
0,1,0,34,995
0,1,0,35,968
0,1,0,36,985
0,1,0,37,991
0,1,0,38,977
0,1,0,39,969
0,1,0,40,981
0,1,0,41,960
0,1,0,42,981
0,1,0,43,991
0,1,0,44,975
0,1,0,45,973
0,1,0,46,983
0,1,0,47,988
0,1,0,48,986
0,1,0,49,981
0,1,0,50,958
0,1,0,51,968
0,1,0,52,973
0,1,0,53,972
0,1,0,54,976
0,1,0,55,986
0,1,0,56,988
0,1,0,57,998
0,1,0,58,971
0,1,0,59,977
0,1,0,60,973
0,1,0,61,980
0,1,0,62,963
0,1,0,63,970
0,1,1,0,964
0,1,1,1,989
0,1,1,2,994
0,1,1,3,976
0,1,1,4,985
0,1,1,5,976
0,1,1,6,985
0,1,1,7,995
0,1,1,8,973
0,1,1,9,989
0,1,1,10,978
0,1,1,11,982
0,1,1,12,984
0,1,1,13,1001
0,1,1,14,994
0,1,1,15,985
0,1,1,16,1009
0,1,1,17,992
0,1,1,18,997
0,1,1,19,981
0,1,1,20,1001
0,1,1,21,996
0,1,1,22,996
0,1,1,23,1015
0,1,1,24,1021
0,1,1,25,994
0,1,1,26,996
0,1,1,27,984
0,1,1,28,985
0,1,1,29,1000
0,1,1,30,1001
0,1,1,31,994
0,1,1,32,1010
0,1,1,33,1002
0,1,1,34,996
0,1,1,35,988
0,1,1,36,988
0,1,1,37,990
0,1,1,38,984
0,1,1,39,992
0,1,1,40,998
0,1,1,41,986
0,1,1,42,977
0,1,1,43,998
0,1,1,44,1007
0,1,1,45,997
0,1,1,46,996
0,1,1,47,977
0,1,1,48,995
0,1,1,49,998
0,1,1,50,991
0,1,1,51,987
0,1,1,52,1006
0,1,1,53,992
