cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1080 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1090 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1074 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1027
0,0,0,1,960
0,0,0,2,982
0,0,0,3,1013
0,0,0,4,995
0,0,0,5,1012
0,0,0,6,984
0,0,0,7,988
0,0,0,8,985
0,0,0,9,997
0,0,0,10,998
0,0,0,11,1022
0,0,0,12,1004
0,0,0,13,999
0,0,0,14,997
0,0,0,15,982
0,0,0,16,984
0,0,0,17,1000
0,0,0,18,1006
0,0,0,19,996
0,0,0,20,1008
0,0,0,21,995
0,0,0,22,1001
0,0,0,23,1042
0,0,0,24,1028
0,0,0,25,998
0,0,0,26,1015
0,0,0,27,983
0,0,0,28,988
0,0,0,29,1005
0,0,0,30,990
0,0,0,31,1004
0,0,0,32,997
0,0,0,33,1002
0,0,0,34,1021
0,0,0,35,1022
0,0,0,36,1000
0,0,0,37,1002
0,0,0,38,988
0,0,0,39,990
0,0,0,40,1006
0,0,0,41,992
0,0,0,42,989
0,0,0,43,999
0,0,0,44,1003
0,0,0,45,984
0,0,0,46,995
0,0,0,47,1011
0,0,0,48,1008
0,0,0,49,984
0,0,0,50,976
0,0,0,51,1003
0,0,0,52,995
0,0,0,53,984
0,0,0,54,996
0,0,0,55,985
0,0,0,56,1020
0,0,0,57,981
0,0,0,58,994
0,0,0,59,1001
0,0,0,60,992
0,0,0,61,987
0,0,0,62,1017
0,0,0,63,1004
0,1,0,0,973
0,1,0,1,999
0,1,0,2,973
0,1,0,3,987
0,1,0,4,993
0,1,0,5,1001
0,1,0,6,1004
0,1,0,7,1026
0,1,0,8,982
0,1,0,9,1014
0,1,0,10,989
0,1,0,11,993
0,1,0,12,1005
0,1,0,13,976
0,1,0,14,994
0,1,0,15,988
0,1,0,16,1000
0,1,0,17,977
0,1,0,18,991
0,1,0,19,987
0,1,0,20,987
0,1,0,21,980
0,1,0,22,993
0,1,0,23,1022
0,1,0,24,995
0,1,0,25,1022
0,1,0,26,992
0,1,0,27,966
0,1,0,28,985
0,1,0,29,987
0,1,0,30,972
0,1,0,31,991
0,1,0,32,996
0,1,0,33,996
0,1,0,34,976
0,1,0,35,983
0,1,0,36,988
0,1,0,37,995
0,1,0,38,982
0,1,0,39,1000
0,1,0,40,980
0,1,0,41,984
0,1,0,42,987
0,1,0,43,989
0,1,0,44,994
0,1,0,45,983
0,1,0,46,977
0,1,0,47,980
0,1,0,48,995
0,1,0,49,983
0,1,0,50,981
0,1,0,51,964
0,1,0,52,978
0,1,0,53,993
0,1,0,54,1008
0,1,0,55,1007
0,1,0,56,988
0,1,0,57,975
0,1,0,58,994
0,1,0,59,1001
0,1,0,60,977
0,1,0,61,988
0,1,0,62,1008
0,1,0,63,996
0,1,1,0,965
0,1,1,1,1002
0,1,1,2,995
0,1,1,3,988
0,1,1,4,982
0,1,1,5,979
0,1,1,6,1014
0,1,1,7,1000
0,1,1,8,983
0,1,1,9,997
0,1,1,10,995
0,1,1,11,980
0,1,1,12,989
0,1,1,13,996
0,1,1,14,981
0,1,1,15,983
0,1,1,16,989
0,1,1,17,999
0,1,1,18,990
0,1,1,19,992
0,1,1,20,987
0,1,1,21,989
0,1,1,22,992
0,1,1,23,1008
0,1,1,24,1002
0,1,1,25,998
0,1,1,26,1006
0,1,1,27,995
0,1,1,28,986
0,1,1,29,999
0,1,1,30,996
0,1,1,31,1003
0,1,1,32,986
0,1,1,33,986
0,1,1,34,989
0,1,1,35,961
0,1,1,36,967
0,1,1,37,1006
0,1,1,38,1013
0,1,1,39,1014
0,1,1,40,994
0,1,1,41,952
0,1,1,42,973
0,1,1,43,985
0,1,1,44,969
0,1,1,45,978
0,1,1,46,966
0,1,1,47,983
0,1,1,48,981
0,1,1,49,1000
0,1,1,50,984
0,1,1,51,993
0,1,1,52,983
0,1,1,53,977
0,1,1,54,990
0,1,1,55,1025
0,1,1,56,992
0,1,1,57,999
0,1,1,58,995
0,1,1,59,988
0,1,1,60,971
0,1,1,61,982
0,1,1,62,964
0,1,1,63,984
0,0,1,0,1011
0,0,1,1,1010
0,0,1,2,985
0,0,1,3,995
0,0,1,4,1000
0,0,1,5,1032
0,0,1,6,1014
0,0,1,7,1026
0,0,1,8,1013
