cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1076 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1022
0,0,0,1,987
0,0,0,2,987
0,0,0,3,996
0,0,0,4,986
0,0,0,5,1012
0,0,0,6,1002
0,0,0,7,988
0,0,0,8,984
0,0,0,9,1002
0,0,0,10,1020
0,0,0,11,1012
0,0,0,12,1009
0,0,0,13,997
0,0,0,14,1003
0,0,0,15,1015
0,0,0,16,1015
0,0,0,17,1004
0,0,0,18,1006
0,0,0,19,1011
0,0,0,20,979
0,0,0,21,986
0,0,0,22,991
0,0,0,23,986
0,0,0,24,1389
0,0,0,25,1028
0,0,0,26,977
0,0,0,27,976
0,0,0,28,985
0,0,0,29,985
0,0,0,30,996
0,0,0,31,1009
0,0,0,32,991
0,0,0,33,1003
0,0,0,34,1009
0,0,0,35,993
0,0,0,36,1016
0,0,0,37,987
0,0,0,38,995
0,0,0,39,1003
0,0,0,40,1012
0,0,0,41,997
0,0,0,42,994
0,0,0,43,991
0,0,0,44,991
0,0,0,45,996
0,0,0,46,985
0,0,0,47,991
0,0,0,48,994
0,0,0,49,1000
0,0,0,50,989
0,0,0,51,986
0,0,0,52,986
0,0,0,53,977
0,0,0,54,1001
0,0,0,55,983
0,0,0,56,999
0,0,0,57,1001
0,0,0,58,997
0,0,0,59,1001
0,0,0,60,990
0,0,0,61,990
0,0,0,62,1007
0,0,0,63,990
0,1,0,0,977
0,1,0,1,993
0,1,0,2,990
0,1,0,3,976
0,1,0,4,1003
0,1,0,5,992
0,1,0,6,996
0,1,0,7,982
0,1,0,8,979
0,1,0,9,982
0,1,0,10,988
0,1,0,11,986
0,1,0,12,1003
0,1,0,13,994
0,1,0,14,982
0,1,0,15,978
0,1,0,16,995
0,1,0,17,998
0,1,0,18,982
0,1,0,19,995
0,1,0,20,1000
0,1,0,21,982
0,1,0,22,993
0,1,0,23,974
0,1,0,24,975
0,1,0,25,987
0,1,0,26,998
0,1,0,27,985
0,1,0,28,991
0,1,0,29,988
0,1,0,30,994
0,1,0,31,1013
0,1,0,32,973
0,1,0,33,995
0,1,0,34,971
0,1,0,35,985
0,1,0,36,979
0,1,0,37,993
0,1,0,38,977
0,1,0,39,994
0,1,0,40,992
0,1,0,41,983
0,1,0,42,1001
0,1,0,43,979
0,1,0,44,980
0,1,0,45,982
0,1,0,46,993
0,1,0,47,1002
0,1,0,48,1002
0,1,0,49,979
0,1,0,50,995
0,1,0,51,992
0,1,0,52,999
0,1,0,53,997
0,1,0,54,971
0,1,0,55,964
0,1,0,56,981
0,1,0,57,982
0,1,0,58,997
0,1,0,59,982
0,1,0,60,965
0,1,0,61,998
0,1,0,62,976
0,1,0,63,998
0,1,1,0,952
0,1,1,1,990
0,1,1,2,983
0,1,1,3,989
0,1,1,4,985
0,1,1,5,982
0,1,1,6,981
0,1,1,7,999
0,1,1,8,994
0,1,1,9,989
0,1,1,10,988
0,1,1,11,977
0,1,1,12,999
0,1,1,13,995
0,1,1,14,1009
0,1,1,15,990
0,1,1,16,987
0,1,1,17,983
0,1,1,18,990
0,1,1,19,989
0,1,1,20,991
0,1,1,21,986
0,1,1,22,989
0,1,1,23,982
0,1,1,24,989
0,1,1,25,1002
0,1,1,26,1005
0,1,1,27,984
0,1,1,28,987
0,1,1,29,1003
0,1,1,30,968
0,1,1,31,988
0,1,1,32,988
0,1,1,33,980
0,1,1,34,984
0,1,1,35,988
0,1,1,36,988
0,1,1,37,999
0,1,1,38,982
0,1,1,39,986
0,1,1,40,978
0,1,1,41,975
0,1,1,42,989
0,1,1,43,986
0,1,1,44,993
0,1,1,45,992
0,1,1,46,978
0,1,1,47,985
0,1,1,48,990
0,1,1,49,984
0,1,1,50,995
0,1,1,51,987
0,1,1,52,989
0,1,1,53,990
0,1,1,54,983
0,1,1,55,958
0,1,1,56,992
0,1,1,57,988
0,1,1,58,993
0,1,1,59,1001
0,1,1,60,1011
0,1,1,61,986
0,1,1,62,990
0,1,1,63,970
0,0,1,0,980
0,0,1,1,1005
0,0,1,2,985
0,0,1,3,990
0,0,1,4,1011
0,0,1,5,995
0,0,1,6,1001
0,0,1,7,1000
0,0,1,8,1004
0,0,1,9,979
0,0,1,10,1011
0,0,1,11,1001
0,0,1,12,992
0,0,1,13,977
0,0,1,14,1024
0,0,1,15,987
0,0,1,16,998
0,0,1,17,1007
0,0,1,18,1006
0,0,1,19,991
0,0,1,20,991
0,0,1,21,1015
0,0,1,22,1003
0,0,1,23,1020
0,0,1,24,1007
0,0,1,25,1010
0,0,1,26,982
0,0,1,27,1010
0,0,1,28,1007
0,0,1,29,992
0,0,1,30,987
0,0,1,31,992
0,0,1,32,1001
0,0,1,33,996
0,0,1,34,1004
0,0,1,35,991
0,0,1,36,999
0,0,1,37,1017
0,0,1,38,1007
0,0,1,39,1014
0,0,1,40,974
0,0,1,41,969
0,0,1,42,980
0,0,1,43,987
0,0,1,44,978
0,0,1,45,968
0,0,1,46,1001
0,0,1,47,989
0,0,1,48,1004
0,0,1,49,1003
0,0,1,50,1006
0,0,1,51,984
0,0,1,52,1000
0,0,1,53,990
0,0,1,54,994
