cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 205 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1076 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1006
0,0,0,1,963
0,0,0,2,962
0,0,0,3,950
0,0,0,4,960
0,0,0,5,962
0,0,0,6,954
0,0,0,7,971
0,0,0,8,984
0,0,0,9,967
0,0,0,10,974
0,0,0,11,963
0,0,0,12,977
0,0,0,13,973
0,0,0,14,979
0,0,0,15,968
0,0,0,16,968
0,0,0,17,956
0,0,0,18,959
0,0,0,19,961
0,0,0,20,971
0,0,0,21,956
0,0,0,22,984
0,0,0,23,971
0,0,0,24,987
0,0,0,25,973
0,0,0,26,966
0,0,0,27,963
0,0,0,28,972
0,0,0,29,960
0,0,0,30,969
0,0,0,31,950
0,0,0,32,985
0,0,0,33,978
0,0,0,34,963
0,0,0,35,965
0,0,0,36,950
0,0,0,37,978
0,0,0,38,978
0,0,0,39,974
0,0,0,40,963
0,0,0,41,979
0,0,0,42,975
0,0,0,43,968
0,0,0,44,984
0,0,0,45,971
0,0,0,46,976
0,0,0,47,979
0,0,0,48,981
0,0,0,49,974
0,0,0,50,969
0,0,0,51,968
0,0,0,52,966
0,0,0,53,958
0,0,0,54,964
0,0,0,55,982
0,0,0,56,964
0,0,0,57,984
0,0,0,58,963
0,0,0,59,985
0,0,0,60,994
0,0,0,61,973
0,0,0,62,981
0,0,0,63,984
0,1,0,0,1004
0,1,0,1,1002
0,1,0,2,980
0,1,0,3,990
0,1,0,4,969
0,1,0,5,973
0,1,0,6,997
