cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1076 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,999
0,0,0,1,956
0,0,0,2,938
0,0,0,3,933
0,0,0,4,949
0,0,0,5,973
0,0,0,6,967
0,0,0,7,962
0,0,0,8,961
0,0,0,9,969
0,0,0,10,978
0,0,0,11,956
0,0,0,12,964
0,0,0,13,954
0,0,0,14,966
0,0,0,15,988
0,0,0,16,946
0,0,0,17,976
0,0,0,18,965
0,0,0,19,963
0,0,0,20,977
0,0,0,21,957
0,0,0,22,960
0,0,0,23,937
0,0,0,24,962
0,0,0,25,944
0,0,0,26,970
0,0,0,27,975
0,0,0,28,930
0,0,0,29,950
0,0,0,30,948
0,0,0,31,972
0,1,0,0,969
0,1,0,1,960
0,1,0,2,967
0,1,0,3,944
0,1,0,4,943
0,1,0,5,940
0,1,0,6,945
0,1,0,7,961
0,1,0,8,965
0,1,0,9,954
0,1,0,10,949
0,1,0,11,945
0,1,0,12,952
0,1,0,13,909
0,1,0,14,962
0,1,0,15,960
0,1,0,16,963
0,1,0,17,955
0,1,0,18,957
0,1,0,19,950
0,1,0,20,960
0,1,0,21,1012
0,1,0,22,961
0,1,0,23,972
0,1,0,24,957
0,1,0,25,950
0,1,0,26,972
0,1,0,27,950
0,1,0,28,936
0,1,0,29,960
0,1,0,30,968
0,1,0,31,957
0,2,0,0,996
0,2,0,1,984
0,2,0,2,961
0,2,0,3,945
0,2,0,4,914
0,2,0,5,938
0,2,0,6,945
0,2,0,7,954
0,2,0,8,965
0,2,0,9,944
0,2,0,10,942
0,2,0,11,947
0,2,0,12,987
0,2,0,13,935
0,2,0,14,964
0,2,0,15,967
0,2,0,16,968
0,2,0,17,974
0,2,0,18,952
0,2,0,19,966
0,2,0,20,944
0,2,0,21,954
0,2,0,22,965
0,2,0,23,962
0,2,0,24,953
0,2,0,25,985
0,2,0,26,963
0,2,0,27,941
0,2,0,28,966
0,2,0,29,948
0,2,0,30,929
0,2,0,31,967
0,3,0,0,973
0,3,0,1,983
0,3,0,2,986
0,3,0,3,959
0,3,0,4,980
0,3,0,5,932
0,3,0,6,964
0,3,0,7,959
0,3,0,8,957
0,3,0,9,967
0,3,0,10,956
0,3,0,11,949
0,3,0,12,952
0,3,0,13,944
0,3,0,14,938
0,3,0,15,957
0,3,0,16,954
0,3,0,17,970
0,3,0,18,948
0,3,0,19,944
0,3,0,20,961
0,3,0,21,958
0,3,0,22,975
0,3,0,23,954
0,3,0,24,953
0,3,0,25,942
0,3,0,26,960
0,3,0,27,944
0,3,0,28,923
0,3,0,29,975
0,3,0,30,957
0,3,0,31,954
0,4,0,0,974
0,4,0,1,973
0,4,0,2,986
0,4,0,3,984
0,4,0,4,995
0,4,0,5,953
0,4,0,6,968
0,4,0,7,956
0,4,0,8,940
