cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,979
0,0,0,1,974
0,0,0,2,978
0,0,0,3,965
0,0,0,4,948
0,0,0,5,949
0,0,0,6,947
0,0,0,7,941
0,0,0,8,956
0,0,0,9,957
0,0,0,10,950
0,0,0,11,939
0,0,0,12,946
0,0,0,13,949
0,0,0,14,957
0,0,0,15,958
0,0,0,16,954
0,0,0,17,961
0,0,0,18,943
0,0,0,19,967
0,0,0,20,958
0,0,0,21,950
0,0,0,22,959
0,0,0,23,1001
0,0,0,24,962
0,0,0,25,960
0,0,0,26,982
0,0,0,27,958
0,0,0,28,941
0,0,0,29,953
0,0,0,30,976
0,0,0,31,948
0,1,0,0,938
0,1,0,1,1005
0,1,0,2,943
0,1,0,3,957
0,1,0,4,951
0,1,0,5,968
0,1,0,6,952
0,1,0,7,945
0,1,0,8,974
0,1,0,9,943
0,1,0,10,944
0,1,0,11,937
0,1,0,12,947
0,1,0,13,984
0,1,0,14,943
0,1,0,15,942
0,1,0,16,939
0,1,0,17,966
0,1,0,18,943
0,1,0,19,959
0,1,0,20,923
0,1,0,21,949
0,1,0,22,942
0,1,0,23,971
0,1,0,24,935
0,1,0,25,953
0,1,0,26,963
0,1,0,27,944
0,1,0,28,936
0,1,0,29,963
0,1,0,30,933
0,1,0,31,960
0,2,0,0,952
0,2,0,1,950
0,2,0,2,945
0,2,0,3,958
0,2,0,4,932
0,2,0,5,949
0,2,0,6,921
0,2,0,7,957
0,2,0,8,941
0,2,0,9,959
0,2,0,10,948
0,2,0,11,946
0,2,0,12,968
0,2,0,13,947
0,2,0,14,947
0,2,0,15,963
0,2,0,16,968
0,2,0,17,973
0,2,0,18,960
0,2,0,19,940
0,2,0,20,962
0,2,0,21,939
0,2,0,22,955
0,2,0,23,949
0,2,0,24,934
0,2,0,25,938
0,2,0,26,935
0,2,0,27,917
0,2,0,28,945
0,2,0,29,944
0,2,0,30,963
0,2,0,31,938
0,3,0,0,969
0,3,0,1,955
0,3,0,2,973
0,3,0,3,960
0,3,0,4,966
0,3,0,5,939
0,3,0,6,942
0,3,0,7,952
0,3,0,8,946
0,3,0,9,959
0,3,0,10,968
0,3,0,11,955
0,3,0,12,947
0,3,0,13,950
0,3,0,14,949
0,3,0,15,954
0,3,0,16,964
0,3,0,17,947
0,3,0,18,933
0,3,0,19,952
0,3,0,20,952
0,3,0,21,941
0,3,0,22,937
0,3,0,23,961
0,3,0,24,958
0,3,0,25,933
0,3,0,26,948
0,3,0,27,946
0,3,0,28,931
0,3,0,29,948
0,3,0,30,946
0,3,0,31,940
