cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 203 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1076 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,1076
0,0,0,1,797
0,0,0,2,783
0,0,0,3,770
0,0,0,4,807
0,0,0,5,842
0,0,0,6,787
0,0,0,7,808
0,0,0,8,811
0,0,0,9,789
0,0,0,10,819
0,0,0,11,805
0,0,0,12,798
0,0,0,13,812
0,0,0,14,787
0,0,0,15,788
0,0,0,16,822
0,0,0,17,793
0,0,0,18,826
0,0,0,19,798
0,0,0,20,785
0,0,0,21,820
0,0,0,22,909
0,0,0,23,834
0,0,0,24,819
0,0,0,25,775
0,0,0,26,794
0,0,0,27,810
0,0,0,28,787
0,0,0,29,813
0,0,0,30,807
0,0,0,31,819
0,1,0,0,813
0,1,0,1,765
0,1,0,2,795
0,1,0,3,784
0,1,0,4,796
0,1,0,5,800
0,1,0,6,801
0,1,0,7,824
0,1,0,8,799
0,1,0,9,794
0,1,0,10,809
0,1,0,11,786
0,1,0,12,816
0,1,0,13,809
0,1,0,14,789
0,1,0,15,815
0,1,0,16,823
0,1,0,17,806
0,1,0,18,822
0,1,0,19,798
0,1,0,20,812
0,1,0,21,832
0,1,0,22,793
0,1,0,23,804
0,1,0,24,812
0,1,0,25,785
0,1,0,26,805
0,1,0,27,788
0,1,0,28,785
0,1,0,29,819
0,1,0,30,798
0,1,0,31,798
0,2,0,0,824
0,2,0,1,787
0,2,0,2,775
0,2,0,3,773
0,2,0,4,762
0,2,0,5,782
0,2,0,6,768
0,2,0,7,770
0,2,0,8,767
0,2,0,9,765
0,2,0,10,778
0,2,0,11,763
0,2,0,12,768
0,2,0,13,801
0,2,0,14,740
0,2,0,15,782
0,2,0,16,779
0,2,0,17,747
0,2,0,18,776
0,2,0,19,761
0,2,0,20,755
0,2,0,21,774
0,2,0,22,759
0,2,0,23,753
0,2,0,24,764
0,2,0,25,746
0,2,0,26,788
0,2,0,27,759
0,2,0,28,773
0,2,0,29,780
0,2,0,30,752
0,2,0,31,759
0,3,0,0,780
0,3,0,1,786
0,3,0,2,789
0,3,0,3,789
0,3,0,4,784
0,3,0,5,772
0,3,0,6,757
0,3,0,7,766
0,3,0,8,779
0,3,0,9,767
0,3,0,10,753
0,3,0,11,768
0,3,0,12,762
0,3,0,13,764
0,3,0,14,766
0,3,0,15,753
0,3,0,16,784
0,3,0,17,762
0,3,0,18,777
0,3,0,19,760
0,3,0,20,761
0,3,0,21,760
0,3,0,22,750
0,3,0,23,749
0,3,0,24,746
0,3,0,25,768
0,3,0,26,770
0,3,0,27,766
0,3,0,28,763
0,3,0,29,774
0,3,0,30,751
0,3,0,31,769
0,4,0,0,806
0,4,0,1,801
0,4,0,2,797
0,4,0,3,806
0,4,0,4,831
0,4,0,5,817
0,4,0,6,803
0,4,0,7,788
0,4,0,8,802
0,4,0,9,795
0,4,0,10,819
0,4,0,11,802
0,4,0,12,805
0,4,0,13,821
0,4,0,14,782
0,4,0,15,822
0,4,0,16,844
0,4,0,17,791
0,4,0,18,815
0,4,0,19,796
0,4,0,20,787
0,4,0,21,838
0,4,0,22,785
0,4,0,23,799
0,4,0,24,786
0,4,0,25,776
0,4,0,26,822
0,4,0,27,800
0,4,0,28,788
0,4,0,29,809
0,4,0,30,797
0,4,0,31,792
0,4,1,0,792
0,4,1,1,770
0,4,1,2,790
0,4,1,3,764
0,4,1,4,793
0,4,1,5,818
0,4,1,6,790
0,4,1,7,801
0,4,1,8,830
0,4,1,9,783
0,4,1,10,809
0,4,1,11,784
0,4,1,12,793
0,4,1,13,827
0,4,1,14,780
0,4,1,15,820
0,4,1,16,809
0,4,1,17,780
0,4,1,18,795
0,4,1,19,785
0,4,1,20,810
0,4,1,21,814
