cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1080 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1090 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 205 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1074 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,881
0,0,0,1,771
0,0,0,2,776
0,0,0,3,796
0,0,0,4,783
0,0,0,5,813
0,0,0,6,801
0,0,0,7,823
0,0,0,8,799
0,0,0,9,786
0,0,0,10,800
0,0,0,11,809
0,0,0,12,832
0,0,0,13,854
0,0,0,14,814
0,0,0,15,797
0,0,0,16,827
0,0,0,17,799
0,0,0,18,828
0,0,0,19,802
0,0,0,20,825
0,0,0,21,822
0,0,0,22,792
0,0,0,23,806
0,0,0,24,810
0,0,0,25,792
0,0,0,26,802
0,0,0,27,790
0,0,0,28,811
0,0,0,29,824
0,0,0,30,785
0,0,0,31,801
0,1,0,0,870
0,1,0,1,829
0,1,0,2,774
0,1,0,3,786
0,1,0,4,803
0,1,0,5,843
0,1,0,6,788
0,1,0,7,807
0,1,0,8,831
0,1,0,9,803
0,1,0,10,834
0,1,0,11,821
0,1,0,12,810
0,1,0,13,867
0,1,0,14,810
0,1,0,15,824
0,1,0,16,828
0,1,0,17,822
0,1,0,18,820
0,1,0,19,801
0,1,0,20,803
0,1,0,21,851
0,1,0,22,802
0,1,0,23,785
0,1,0,24,808
0,1,0,25,785
0,1,0,26,845
0,1,0,27,795
0,1,0,28,801
0,1,0,29,832
0,1,0,30,807
0,1,0,31,816
0,2,0,0,823
0,2,0,1,772
0,2,0,2,774
0,2,0,3,770
0,2,0,4,760
0,2,0,5,768
0,2,0,6,735
0,2,0,7,763
0,2,0,8,754
0,2,0,9,741
0,2,0,10,768
0,2,0,11,769
0,2,0,12,766
0,2,0,13,774
0,2,0,14,756
0,2,0,15,760
0,2,0,16,752
0,2,0,17,762
0,2,0,18,767
0,2,0,19,763
0,2,0,20,743
0,2,0,21,767
0,2,0,22,763
0,2,0,23,751
0,2,0,24,764
0,2,0,25,749
0,2,0,26,766
0,2,0,27,764
0,2,0,28,764
0,2,0,29,765
0,2,0,30,755
0,2,0,31,758
0,3,0,0,789
0,3,0,1,767
0,3,0,2,769
0,3,0,3,771
0,3,0,4,755
0,3,0,5,757
0,3,0,6,760
0,3,0,7,768
0,3,0,8,772
0,3,0,9,763
0,3,0,10,772
0,3,0,11,768
0,3,0,12,749
0,3,0,13,771
0,3,0,14,764
0,3,0,15,775
0,3,0,16,793
0,3,0,17,752
0,3,0,18,771
0,3,0,19,778
0,3,0,20,755
0,3,0,21,781
0,3,0,22,770
0,3,0,23,784
0,3,0,24,754
0,3,0,25,755
0,3,0,26,788
0,3,0,27,762
0,3,0,28,891
0,3,0,29,769
0,3,0,30,750
0,3,0,31,764
0,3,1,0,761
0,3,1,1,758
0,3,1,2,767
0,3,1,3,772
0,3,1,4,761
0,3,1,5,778
0,3,1,6,766
0,3,1,7,783
0,3,1,8,778
0,3,1,9,757
0,3,1,10,778
0,3,1,11,758
0,3,1,12,761
0,3,1,13,766
0,3,1,14,775
0,3,1,15,770
0,3,1,16,764
0,3,1,17,765
0,3,1,18,781
0,3,1,19,753
0,3,1,20,762
0,3,1,21,770
0,3,1,22,774
0,3,1,23,786
0,3,1,24,762
0,3,1,25,772
0,3,1,26,781
0,3,1,27,760
0,3,1,28,824
0,3,1,29,790
0,3,1,30,766
0,3,1,31,770
0,2,1,0,761
0,2,1,1,778
0,2,1,2,793
0,2,1,3,787
0,2,1,4,787
0,2,1,5,775
0,2,1,6,751
0,2,1,7,765
0,2,1,8,772
0,2,1,9,762
0,2,1,10,768
0,2,1,11,774
0,2,1,12,762
0,2,1,13,775
0,2,1,14,771
0,2,1,15,760
0,2,1,16,758
0,2,1,17,739
0,2,1,18,762
0,2,1,19,752
0,2,1,20,743
0,2,1,21,762
0,2,1,22,750
0,2,1,23,754
0,2,1,24,762
0,2,1,25,748
0,2,1,26,759
0,2,1,27,749
0,2,1,28,761
0,2,1,29,881
0,2,1,30,745
0,2,1,31,761
0,1,1,0,780
0,1,1,1,798
0,1,1,2,832
0,1,1,3,819
0,1,1,4,823
0,1,1,5,835
0,1,1,6,789
0,1,1,7,817
0,1,1,8,818
0,1,1,9,795
0,1,1,10,834
0,1,1,11,874
0,1,1,12,805
0,1,1,13,833
0,1,1,14,801
0,1,1,15,826
0,1,1,16,843
0,1,1,17,821
0,1,1,18,833
0,1,1,19,818
0,1,1,20,805
0,1,1,21,807
0,1,1,22,799
0,1,1,23,802
0,1,1,24,807
0,1,1,25,802
0,1,1,26,819
0,1,1,27,912
0,1,1,28,810
0,1,1,29,833
0,1,1,30,811
0,1,1,31,811
0,0,1,0,791
0,0,1,1,813
0,0,1,2,801
0,0,1,3,801
0,0,1,4,803
0,0,1,5,835
0,0,1,6,814
0,0,1,7,811
0,0,1,8,804
0,0,1,9,801
0,0,1,10,828
0,0,1,11,806
0,0,1,12,811
0,0,1,13,822
0,0,1,14,788
0,0,1,15,796
0,0,1,16,818
0,0,1,17,796
0,0,1,18,822
0,0,1,19,823
0,0,1,20,804
0,0,1,21,822
0,0,1,22,806
0,0,1,23,805
0,0,1,24,811
0,0,1,25,822
0,0,1,26,809
0,0,1,27,791
0,0,1,28,817
0,0,1,29,823
0,0,1,30,800
0,0,1,31,799
0,0,2,0,791
0,0,2,1,784
0,0,2,2,794
0,0,2,3,837
0,0,2,4,798
0,0,2,5,809
0,0,2,6,790
0,0,2,7,819
0,0,2,8,815
0,0,2,9,794
0,0,2,10,814
0,0,2,11,811
0,0,2,12,820
0,0,2,13,823
0,0,2,14,790
0,0,2,15,805
0,0,2,16,828
0,0,2,17,799
0,0,2,18,819
0,0,2,19,798
0,0,2,20,803
0,0,2,21,799
0,0,2,22,781
0,0,2,23,788
0,0,2,24,797
0,0,2,25,779
0,0,2,26,803
0,0,2,27,821
0,0,2,28,820
0,0,2,29,836
0,0,2,30,801
0,0,2,31,826
0,1,2,0,837
0,1,2,1,804
0,1,2,2,809
0,1,2,3,817
0,1,2,4,806
0,1,2,5,812
0,1,2,6,794
0,1,2,7,804
0,1,2,8,839
0,1,2,9,812
0,1,2,10,845
0,1,2,11,814
0,1,2,12,818
0,1,2,13,821
0,1,2,14,789
0,1,2,15,815
0,1,2,16,830
0,1,2,17,811
0,1,2,18,810
0,1,2,19,800
0,1,2,20,812
0,1,2,21,843
0,1,2,22,793
0,1,2,23,845
0,1,2,24,803
0,1,2,25,793
0,1,2,26,821
0,1,2,27,810
0,1,2,28,806
0,1,2,29,838
0,1,2,30,806
0,1,2,31,791
0,2,2,0,761
0,2,2,1,785
0,2,2,2,764
0,2,2,3,754
0,2,2,4,765
0,2,2,5,781
0,2,2,6,756
0,2,2,7,773
0,2,2,8,770
0,2,2,9,762
0,2,2,10,812
0,2,2,11,796
0,2,2,12,756
0,2,2,13,770
0,2,2,14,753
0,2,2,15,760
0,2,2,16,775
0,2,2,17,760
0,2,2,18,771
0,2,2,19,763
0,2,2,20,765
0,2,2,21,772
0,2,2,22,747
0,2,2,23,759
0,2,2,24,787
0,2,2,25,756
0,2,2,26,770
0,2,2,27,762
0,2,2,28,763
0,2,2,29,769
0,2,2,30,758
0,2,2,31,759
0,3,2,0,765
0,3,2,1,776
0,3,2,2,796
0,3,2,3,791
0,3,2,4,783
0,3,2,5,762
0,3,2,6,749
0,3,2,7,774
0,3,2,8,771
0,3,2,9,754
0,3,2,10,763
0,3,2,11,760
0,3,2,12,744
0,3,2,13,777
0,3,2,14,772
0,3,2,15,778
0,3,2,16,761
0,3,2,17,751
0,3,2,18,773
0,3,2,19,771
0,3,2,20,746
0,3,2,21,768
0,3,2,22,746
0,3,2,23,779
0,3,2,24,773
0,3,2,25,763
0,3,2,26,754
0,3,2,27,762
0,3,2,28,753
0,3,2,29,767
0,3,2,30,756
0,3,2,31,796
0,3,3,0,758
0,3,3,1,764
0,3,3,2,742
0,3,3,3,773
0,3,3,4,765
0,3,3,5,793
0,3,3,6,760
0,3,3,7,773
0,3,3,8,773
0,3,3,9,766
0,3,3,10,788
0,3,3,11,762
0,3,3,12,781
0,3,3,13,763
0,3,3,14,760
0,3,3,15,785
0,3,3,16,776
0,3,3,17,757
0,3,3,18,758
0,3,3,19,767
0,3,3,20,756
0,3,3,21,768
0,3,3,22,770
0,3,3,23,773
0,3,3,24,777
0,3,3,25,771
0,3,3,26,780
0,3,3,27,777
0,3,3,28,773
0,3,3,29,792
0,3,3,30,758
0,3,3,31,780
0,2,3,0,760
0,2,3,1,777
0,2,3,2,811
0,2,3,3,780
0,2,3,4,788
0,2,3,5,773
0,2,3,6,750
0,2,3,7,755
0,2,3,8,778
0,2,3,9,753
0,2,3,10,764
0,2,3,11,766
0,2,3,12,812
0,2,3,13,771
0,2,3,14,742
0,2,3,15,748
0,2,3,16,762
0,2,3,17,748
0,2,3,18,757
0,2,3,19,762
0,2,3,20,743
0,2,3,21,774
0,2,3,22,746
0,2,3,23,746
0,2,3,24,767
0,2,3,25,760
0,2,3,26,758
0,2,3,27,765
0,2,3,28,808
0,2,3,29,753
0,2,3,30,741
0,2,3,31,746
0,1,3,0,784
0,1,3,1,804
0,1,3,2,821
0,1,3,3,815
0,1,3,4,856
0,1,3,5,832
0,1,3,6,797
0,1,3,7,815
0,1,3,8,819
0,1,3,9,823
0,1,3,10,826
0,1,3,11,801
0,1,3,12,818
0,1,3,13,836
0,1,3,14,801
