cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1027 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 205 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,variant,block,observation,cycles
0,0,0,0,863
0,0,0,1,790
0,0,0,2,780
0,0,0,3,780
0,0,0,4,791
0,0,0,5,810
0,0,0,6,785
0,0,0,7,809
0,0,0,8,827
0,0,0,9,800
0,0,0,10,800
0,0,0,11,818
0,0,0,12,813
0,0,0,13,833
0,0,0,14,810
0,0,0,15,823
0,0,0,16,799
0,0,0,17,791
0,0,0,18,798
0,0,0,19,804
0,0,0,20,787
0,0,0,21,813
0,0,0,22,800
0,0,0,23,809
0,0,0,24,821
0,0,0,25,814
0,0,0,26,822
0,0,0,27,784
0,0,0,28,797
0,0,0,29,832
0,0,0,30,808
0,0,0,31,809
0,1,0,0,844
0,1,0,1,772
0,1,0,2,794
0,1,0,3,796
0,1,0,4,810
0,1,0,5,829
0,1,0,6,812
0,1,0,7,820
0,1,0,8,811
0,1,0,9,806
0,1,0,10,825
0,1,0,11,817
0,1,0,12,816
0,1,0,13,807
0,1,0,14,801
0,1,0,15,793
0,1,0,16,821
0,1,0,17,813
0,1,0,18,823
0,1,0,19,795
0,1,0,20,800
0,1,0,21,843
0,1,0,22,790
0,1,0,23,813
0,1,0,24,810
0,1,0,25,796
0,1,0,26,814
0,1,0,27,814
0,1,0,28,817
0,1,0,29,825
0,1,0,30,812
0,1,0,31,832
0,2,0,0,818
0,2,0,1,770
0,2,0,2,767
0,2,0,3,771
0,2,0,4,743
0,2,0,5,768
0,2,0,6,757
0,2,0,7,753
0,2,0,8,779
0,2,0,9,763
0,2,0,10,770
0,2,0,11,763
0,2,0,12,757
0,2,0,13,762
0,2,0,14,751
0,2,0,15,751
0,2,0,16,773
0,2,0,17,758
0,2,0,18,758
0,2,0,19,767
0,2,0,20,761
0,2,0,21,761
0,2,0,22,736
0,2,0,23,750
0,2,0,24,759
0,2,0,25,753
0,2,0,26,758
0,2,0,27,755
0,2,0,28,753
0,2,0,29,781
0,2,0,30,735
0,2,0,31,765
0,3,0,0,780
0,3,0,1,785
0,3,0,2,782
0,3,0,3,777
0,3,0,4,765
0,3,0,5,765
0,3,0,6,754
0,3,0,7,763
0,3,0,8,781
0,3,0,9,750
0,3,0,10,769
0,3,0,11,766
0,3,0,12,744
0,3,0,13,778
0,3,0,14,759
0,3,0,15,756
0,3,0,16,766
0,3,0,17,757
0,3,0,18,757
0,3,0,19,766
0,3,0,20,779
0,3,0,21,778
0,3,0,22,774
0,3,0,23,741
0,3,0,24,766
0,3,0,25,765
0,3,0,26,761
0,3,0,27,759
0,3,0,28,755
0,3,0,29,764
0,3,0,30,759
0,3,0,31,789
0,3,1,0,751
0,3,1,1,756
0,3,1,2,760
0,3,1,3,758
0,3,1,4,750
0,3,1,5,767
0,3,1,6,760
0,3,1,7,771
0,3,1,8,781
0,3,1,9,754
0,3,1,10,788
0,3,1,11,775
0,3,1,12,769
0,3,1,13,777
0,3,1,14,752
0,3,1,15,766
0,3,1,16,1158
0,3,1,17,794
0,3,1,18,775
0,3,1,19,763
0,3,1,20,764
0,3,1,21,772
0,3,1,22,753
0,3,1,23,761
0,3,1,24,770
0,3,1,25,761
0,3,1,26,779
0,3,1,27,760
0,3,1,28,754
0,3,1,29,773
0,3,1,30,758
0,3,1,31,750
0,2,1,0,758
0,2,1,1,778
0,2,1,2,772
0,2,1,3,774
0,2,1,4,775
0,2,1,5,755
0,2,1,6,739
0,2,1,7,736
0,2,1,8,765
0,2,1,9,743
0,2,1,10,764
0,2,1,11,755
0,2,1,12,747
0,2,1,13,764
0,2,1,14,747
0,2,1,15,754
0,2,1,16,762
0,2,1,17,758
0,2,1,18,757
0,2,1,19,748
0,2,1,20,749
0,2,1,21,752
0,2,1,22,739
0,2,1,23,756
0,2,1,24,754
0,2,1,25,757
0,2,1,26,752
0,2,1,27,761
0,2,1,28,725
0,2,1,29,763
0,2,1,30,751
0,2,1,31,757
0,1,1,0,797
0,1,1,1,800
0,1,1,2,829
0,1,1,3,813
0,1,1,4,811
0,1,1,5,864
0,1,1,6,825
0,1,1,7,808
0,1,1,8,835
0,1,1,9,806
0,1,1,10,820
0,1,1,11,805
0,1,1,12,804
0,1,1,13,816
0,1,1,14,789
0,1,1,15,852
0,1,1,16,846
0,1,1,17,812
0,1,1,18,828
0,1,1,19,814
0,1,1,20,798
0,1,1,21,827
0,1,1,22,781
0,1,1,23,842
0,1,1,24,813
0,1,1,25,817
0,1,1,26,810
0,1,1,27,804
0,1,1,28,808
0,1,1,29,817
0,1,1,30,786
0,1,1,31,812
0,0,1,0,812
0,0,1,1,788
0,0,1,2,819
0,0,1,3,798
0,0,1,4,808
0,0,1,5,806
0,0,1,6,792
0,0,1,7,790
0,0,1,8,793
0,0,1,9,803
0,0,1,10,813
0,0,1,11,791
0,0,1,12,788
0,0,1,13,804
0,0,1,14,796
0,0,1,15,794
0,0,1,16,782
0,0,1,17,816
0,0,1,18,814
0,0,1,19,789
0,0,1,20,795
0,0,1,21,806
0,0,1,22,778
0,0,1,23,792
0,0,1,24,784
0,0,1,25,793
0,0,1,26,794
0,0,1,27,813
0,0,1,28,791
0,0,1,29,785
0,0,1,30,799
0,0,1,31,794
0,0,2,0,783
0,0,2,1,769
0,0,2,2,806
0,0,2,3,811
0,0,2,4,797
0,0,2,5,801
0,0,2,6,794
0,0,2,7,813
0,0,2,8,839
0,0,2,9,804
0,0,2,10,831
0,0,2,11,816
0,0,2,12,794
0,0,2,13,835
0,0,2,14,787
0,0,2,15,800
0,0,2,16,800
0,0,2,17,803
0,0,2,18,807
0,0,2,19,796
0,0,2,20,775
0,0,2,21,824
0,0,2,22,774
0,0,2,23,788
0,0,2,24,794
0,0,2,25,791
0,0,2,26,798
0,0,2,27,777
0,0,2,28,800
0,0,2,29,796
0,0,2,30,780
0,0,2,31,797
0,1,2,0,804
0,1,2,1,815
0,1,2,2,829
0,1,2,3,808
0,1,2,4,825
0,1,2,5,840
0,1,2,6,790
0,1,2,7,842
0,1,2,8,830
0,1,2,9,812
0,1,2,10,825
0,1,2,11,811
0,1,2,12,810
0,1,2,13,832
0,1,2,14,810
0,1,2,15,822
0,1,2,16,838
0,1,2,17,831
0,1,2,18,818
0,1,2,19,806
0,1,2,20,810
0,1,2,21,830
0,1,2,22,801
0,1,2,23,817
0,1,2,24,818
0,1,2,25,813
0,1,2,26,851
0,1,2,27,824
0,1,2,28,812
0,1,2,29,829
0,1,2,30,792
0,1,2,31,820
0,2,2,0,767
0,2,2,1,777
0,2,2,2,788
0,2,2,3,788
0,2,2,4,774
0,2,2,5,761
0,2,2,6,750
0,2,2,7,753
0,2,2,8,773
0,2,2,9,763
0,2,2,10,772
0,2,2,11,763
0,2,2,12,756
0,2,2,13,782
0,2,2,14,773
0,2,2,15,766
0,2,2,16,772
0,2,2,17,753
0,2,2,18,770
0,2,2,19,759
0,2,2,20,760
0,2,2,21,761
0,2,2,22,744
0,2,2,23,768
0,2,2,24,757
0,2,2,25,743
0,2,2,26,752
0,2,2,27,752
0,2,2,28,754
0,2,2,29,753
0,2,2,30,751
0,2,2,31,746
0,3,2,0,764
0,3,2,1,762
0,3,2,2,776
0,3,2,3,787
0,3,2,4,767
0,3,2,5,795
0,3,2,6,764
0,3,2,7,760
0,3,2,8,777
0,3,2,9,748
0,3,2,10,765
0,3,2,11,779
0,3,2,12,778
0,3,2,13,787
0,3,2,14,763
0,3,2,15,769
0,3,2,16,774
0,3,2,17,768
0,3,2,18,782
0,3,2,19,773
0,3,2,20,753
0,3,2,21,767
0,3,2,22,766
0,3,2,23,776
0,3,2,24,784
0,3,2,25,760
0,3,2,26,766
0,3,2,27,769
0,3,2,28,748
0,3,2,29,780
0,3,2,30,768
0,3,2,31,786
0,3,3,0,752
0,3,3,1,748
0,3,3,2,776
0,3,3,3,755
0,3,3,4,756
0,3,3,5,768
0,3,3,6,748
0,3,3,7,746
0,3,3,8,775
0,3,3,9,754
0,3,3,10,779
0,3,3,11,786
0,3,3,12,762
0,3,3,13,779
0,3,3,14,746
0,3,3,15,795
0,3,3,16,767
0,3,3,17,762
0,3,3,18,762
0,3,3,19,770
0,3,3,20,752
0,3,3,21,789
0,3,3,22,765
0,3,3,23,769
0,3,3,24,775
0,3,3,25,763
0,3,3,26,767
0,3,3,27,778
0,3,3,28,756
0,3,3,29,775
0,3,3,30,767
0,3,3,31,787
0,2,3,0,750
0,2,3,1,779
0,2,3,2,765
0,2,3,3,777
0,2,3,4,795
0,2,3,5,775
0,2,3,6,758
0,2,3,7,746
0,2,3,8,771
0,2,3,9,756
0,2,3,10,768
0,2,3,11,775
0,2,3,12,768
0,2,3,13,765
0,2,3,14,749
0,2,3,15,775
0,2,3,16,767
0,2,3,17,754
0,2,3,18,763
0,2,3,19,757
0,2,3,20,754
0,2,3,21,748
0,2,3,22,736
0,2,3,23,750
0,2,3,24,761
0,2,3,25,762
0,2,3,26,770
0,2,3,27,748
0,2,3,28,765
0,2,3,29,760
0,2,3,30,760
0,2,3,31,759
0,1,3,0,805
0,1,3,1,793
0,1,3,2,838
0,1,3,3,809
0,1,3,4,800
0,1,3,5,816
0,1,3,6,796
0,1,3,7,823
0,1,3,8,833
0,1,3,9,815
0,1,3,10,827
0,1,3,11,822
0,1,3,12,792
0,1,3,13,836
0,1,3,14,801
0,1,3,15,816
0,1,3,16,829
0,1,3,17,816
0,1,3,18,798
0,1,3,19,811
0,1,3,20,789
0,1,3,21,835
0,1,3,22,797
0,1,3,23,812
0,1,3,24,828
0,1,3,25,818
0,1,3,26,831
0,1,3,27,825
0,1,3,28,795
0,1,3,29,851
0,1,3,30,798
0,1,3,31,844
0,0,3,0,782
0,0,3,1,790
0,0,3,2,798
0,0,3,3,800
0,0,3,4,820
0,0,3,5,818
0,0,3,6,810
0,0,3,7,819
0,0,3,8,826
0,0,3,9,789
0,0,3,10,830
0,0,3,11,796
0,0,3,12,821
0,0,3,13,814
0,0,3,14,807
0,0,3,15,804
0,0,3,16,802
0,0,3,17,814
0,0,3,18,786
0,0,3,19,800
0,0,3,20,810
0,0,3,21,806
0,0,3,22,801
0,0,3,23,801
0,0,3,24,792
0,0,3,25,799
0,0,3,26,792
0,0,3,27,801
0,0,3,28,798
0,0,3,29,824
0,0,3,30,806
0,0,3,31,810
0,0,4,0,778
0,0,4,1,775
0,0,4,2,798
0,0,4,3,790
0,0,4,4,796
0,0,4,5,826
0,0,4,6,776
0,0,4,7,801
0,0,4,8,806
0,0,4,9,812
0,0,4,10,815
0,0,4,11,783
0,0,4,12,787
0,0,4,13,803
0,0,4,14,786
0,0,4,15,804
0,0,4,16,804
0,0,4,17,782
0,0,4,18,810
0,0,4,19,780
0,0,4,20,773
0,0,4,21,791
0,0,4,22,780
0,0,4,23,793
