cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 205 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
region,block,observation,cycles
0,0,0,798
0,0,1,734
0,0,2,723
0,0,3,704
0,0,4,715
0,0,5,725
0,0,6,721
0,0,7,723
0,0,8,734
0,0,9,726
0,0,10,725
0,0,11,736
0,0,12,750
0,0,13,732
0,0,14,728
0,0,15,729
0,0,16,731
0,0,17,717
0,0,18,718
0,0,19,720
0,0,20,716
0,0,21,728
0,0,22,718
0,0,23,721
0,0,24,726
0,0,25,730
0,0,26,730
0,0,27,1134
0,0,28,748
0,0,29,719
0,0,30,718
0,0,31,729
1,0,0,662
1,0,1,637
1,0,2,643
1,0,3,643
1,0,4,638
1,0,5,641
1,0,6,640
1,0,7,636
1,0,8,646
1,0,9,635
1,0,10,634
1,0,11,634
1,0,12,648
1,0,13,636
1,0,14,644
1,0,15,649
1,0,16,636
1,0,17,637
1,0,18,637
1,0,19,643
1,0,20,640
1,0,21,636
1,0,22,636
1,0,23,637
1,0,24,645
1,0,25,638
1,0,26,639
1,0,27,641
1,0,28,637
1,0,29,638
1,0,30,652
1,0,31,639
2,0,0,340
2,0,1,315
2,0,2,302
2,0,3,303
2,0,4,306
2,0,5,304
2,0,6,307
2,0,7,315
2,0,8,306
2,0,9,309
2,0,10,309
2,0,11,311
2,0,12,309
2,0,13,312
2,0,14,301
2,0,15,305
2,0,16,311
2,0,17,300
2,0,18,299
2,0,19,301
2,0,20,309
2,0,21,308
2,0,22,308
2,0,23,307
2,0,24,303
2,0,25,308
2,0,26,305
2,0,27,302
2,0,28,318
2,0,29,307
2,0,30,310
2,0,31,314
3,0,0,1276
3,0,1,1266
3,0,2,1367
3,0,3,1243
3,0,4,1243
3,0,5,1259
3,0,6,1241
3,0,7,1243
3,0,8,1261
3,0,9,1252
3,0,10,1253
3,0,11,1248
3,0,12,1254
3,0,13,1240
3,0,14,1318
3,0,15,1231
3,0,16,1273
3,0,17,1253
3,0,18,1268
3,0,19,1242
3,0,20,1238
3,0,21,1259
3,0,22,1249
3,0,23,1243
3,0,24,1259
3,0,25,1266
3,0,26,1248
3,0,27,1221
3,0,28,1251
3,0,29,1237
3,0,30,1308
3,0,31,1227
4,0,0,700
4,0,1,638
4,0,2,655
4,0,3,652
4,0,4,684
4,0,5,708
4,0,6,678
4,0,7,662
4,0,8,648
4,0,9,682
4,0,10,710
4,0,11,675
4,0,12,715
4,0,13,664
4,0,14,698
4,0,15,683
4,0,16,681
4,0,17,657
4,0,18,664
4,0,19,659
4,0,20,664
4,0,21,658
4,0,22,670
4,0,23,670
4,0,24,654
4,0,25,673
4,0,26,668
4,0,27,669
4,0,28,677
4,0,29,650
4,0,30,668
4,0,31,650
5,0,0,679
5,0,1,663
5,0,2,648
5,0,3,640
5,0,4,654
5,0,5,649
5,0,6,640
5,0,7,643
5,0,8,622
5,0,9,643
5,0,10,634
5,0,11,639
5,0,12,647
5,0,13,644
5,0,14,638
5,0,15,647
5,0,16,651
5,0,17,649
5,0,18,637
5,0,19,634
5,0,20,659
5,0,21,644
5,0,22,654
5,0,23,643
5,0,24,641
5,0,25,660
5,0,26,655
5,0,27,638
5,0,28,659
5,0,29,648
5,0,30,640
5,0,31,649
6,0,0,999
6,0,1,996
6,0,2,977
6,0,3,973
6,0,4,959
6,0,5,969
6,0,6,989
6,0,7,968
6,0,8,988
6,0,9,956
6,0,10,962
6,0,11,970
6,0,12,973
6,0,13,977
6,0,14,969
6,0,15,969
6,0,16,976
6,0,17,966
6,0,18,977
6,0,19,972
6,0,20,964
6,0,21,971
6,0,22,971
6,0,23,968
6,0,24,968
6,0,25,956
6,0,26,954
6,0,27,969
6,0,28,958
6,0,29,952
6,0,30,938
6,0,31,960
7,0,0,432
7,0,1,414
7,0,2,397
7,0,3,394
7,0,4,406
7,0,5,390
7,0,6,392
7,0,7,391
7,0,8,383
7,0,9,392
7,0,10,391
7,0,11,388
7,0,12,384
7,0,13,394
7,0,14,389
7,0,15,389
7,0,16,397
7,0,17,386
7,0,18,397
7,0,19,391
7,0,20,383
7,0,21,392
7,0,22,389
7,0,23,385
7,0,24,394
7,0,25,391
7,0,26,397
7,0,27,390
7,0,28,399
7,0,29,382
7,0,30,387
7,0,31,393
8,0,0,1441
8,0,1,1438
8,0,2,1444
8,0,3,1407
8,0,4,1445
8,0,5,1420
8,0,6,1417
8,0,7,1408
8,0,8,1428
8,0,9,1401
8,0,10,1447
8,0,11,1409
8,0,12,1384
8,0,13,1413
8,0,14,1422
8,0,15,1430
8,0,16,1418
8,0,17,1439
8,0,18,1416
8,0,19,1422
8,0,20,1413
8,0,21,1389
8,0,22,1422
8,0,23,1413
8,0,24,1427
8,0,25,1433
8,0,26,1402
8,0,27,1426
8,0,28,1420
8,0,29,1406
8,0,30,1391
8,0,31,1429
9,0,0,1596
9,0,1,1619
9,0,2,1619
9,0,3,1609
9,0,4,1646
9,0,5,1609
9,0,6,1619
9,0,7,1606
9,0,8,1607
9,0,9,1627
9,0,10,1603
9,0,11,1612
9,0,12,1625
9,0,13,1591
9,0,14,1656
9,0,15,1627
9,0,16,1616
9,0,17,1603
9,0,18,1608
9,0,19,1613
9,0,20,1609
9,0,21,1599
9,0,22,1584
9,0,23,1586
9,0,24,1582
9,0,25,1584
9,0,26,1591
9,0,27,1612
9,0,28,1579
9,0,29,1598
9,0,30,1621
9,0,31,1599
10,0,0,2083
10,0,1,2075
10,0,2,2119
10,0,3,2061
10,0,4,2076
10,0,5,2083
10,0,6,2026
10,0,7,2061
10,0,8,2040
10,0,9,2062
10,0,10,2069
10,0,11,2049
10,0,12,2081
10,0,13,2063
10,0,14,2063
10,0,15,2073
10,0,16,2068
10,0,17,2082
10,0,18,2075
10,0,19,2064
10,0,20,2097
10,0,21,2074
10,0,22,2025
10,0,23,2081
10,0,24,2065
10,0,25,2058
10,0,26,2076
10,0,27,2054
10,0,28,2079
10,0,29,2068
10,0,30,2105
10,0,31,2083
11,0,0,539
11,0,1,540
11,0,2,535
11,0,3,525
11,0,4,522
11,0,5,532
11,0,6,520
11,0,7,509
11,0,8,516
11,0,9,520
11,0,10,531
11,0,11,512
11,0,12,532
11,0,13,532
11,0,14,533
11,0,15,503
11,0,16,545
11,0,17,529
11,0,18,530
11,0,19,530
11,0,20,532
11,0,21,536
11,0,22,536
11,0,23,520
11,0,24,539
11,0,25,533
11,0,26,535
11,0,27,530
11,0,28,526
11,0,29,534
11,0,30,528
11,0,31,533
12,0,0,387
12,0,1,380
12,0,2,373
12,0,3,363
12,0,4,393
12,0,5,366
12,0,6,359
12,0,7,365
12,0,8,363
12,0,9,364
12,0,10,358
12,0,11,361
12,0,12,360
12,0,13,359
12,0,14,361
12,0,15,362
12,0,16,355
12,0,17,367
12,0,18,360
12,0,19,352
12,0,20,365
12,0,21,361
12,0,22,360
12,0,23,361
12,0,24,356
12,0,25,359
12,0,26,360
12,0,27,365
12,0,28,368
12,0,29,365
12,0,30,363
12,0,31,359
12,1,0,353
12,1,1,356
12,1,2,351
12,1,3,360
12,1,4,373
12,1,5,368
12,1,6,367
12,1,7,355
12,1,8,372
12,1,9,392
12,1,10,368
12,1,11,367
12,1,12,364
12,1,13,356
12,1,14,358
12,1,15,367
12,1,16,358
12,1,17,364
12,1,18,373
12,1,19,360
12,1,20,362
12,1,21,360
12,1,22,422
12,1,23,364
12,1,24,367
12,1,25,372
12,1,26,365
12,1,27,379
12,1,28,370
12,1,29,372
12,1,30,368
12,1,31,356
11,1,0,513
11,1,1,538
11,1,2,514
11,1,3,523
11,1,4,559
11,1,5,540
11,1,6,535
11,1,7,520
11,1,8,520
11,1,9,518
11,1,10,515
11,1,11,545
11,1,12,536
11,1,13,524
11,1,14,548
11,1,15,533
11,1,16,539
11,1,17,536
11,1,18,509
11,1,19,535
11,1,20,522
11,1,21,538
11,1,22,529
11,1,23,536
11,1,24,543
11,1,25,530
11,1,26,528
11,1,27,521
11,1,28,551
11,1,29,530
11,1,30,505
11,1,31,531
10,1,0,2060
10,1,1,2075
10,1,2,2103
10,1,3,2052
10,1,4,2080
10,1,5,2067
10,1,6,2059
10,1,7,2069
10,1,8,2078
10,1,9,2065
10,1,10,2051
10,1,11,2063
10,1,12,2085
10,1,13,2076
10,1,14,2089
10,1,15,2092
10,1,16,2068
10,1,17,2085
10,1,18,2058
10,1,19,2067
10,1,20,2057
10,1,21,2028
10,1,22,2047
10,1,23,2060
10,1,24,2057
10,1,25,2066
10,1,26,2050
10,1,27,2072
10,1,28,2042
10,1,29,2050
10,1,30,2063
10,1,31,2072
9,1,0,1600
9,1,1,1607
9,1,2,1616
9,1,3,1611
9,1,4,1615
9,1,5,1603
9,1,6,1582
9,1,7,1618
9,1,8,1594
9,1,9,1604
9,1,10,1608
9,1,11,1608
9,1,12,1620
9,1,13,1617
9,1,14,1608
9,1,15,1627
9,1,16,1603
9,1,17,1608
9,1,18,1606
9,1,19,1602
9,1,20,1598
9,1,21,1570
9,1,22,1592
9,1,23,1595
9,1,24,1592
9,1,25,1587
9,1,26,1620
9,1,27,1593
9,1,28,1610
9,1,29,1592
9,1,30,1619
9,1,31,1614
8,1,0,1379
8,1,1,1433
8,1,2,1413
8,1,3,1424
8,1,4,1473
8,1,5,1434
8,1,6,1406
8,1,7,1415
8,1,8,1411
8,1,9,1440
8,1,10,1415
8,1,11,1431
8,1,12,1436
8,1,13,1404
8,1,14,1451
8,1,15,1432
8,1,16,1407
8,1,17,1458
8,1,18,1430
8,1,19,1408
8,1,20,1436
8,1,21,1393
8,1,22,1430
8,1,23,1438
8,1,24,1414
8,1,25,1403
8,1,26,1415
8,1,27,1449
8,1,28,1433
8,1,29,1417
8,1,30,1438
8,1,31,1421
7,1,0,411
7,1,1,396
7,1,2,397
7,1,3,384
7,1,4,399
7,1,5,390
7,1,6,400
7,1,7,394
7,1,8,384
7,1,9,390
7,1,10,387
7,1,11,394
7,1,12,397
7,1,13,381
7,1,14,396
7,1,15,386
7,1,16,396
7,1,17,385
7,1,18,394
7,1,19,388
7,1,20,388
7,1,21,391
7,1,22,391
7,1,23,398
7,1,24,386
7,1,25,388
7,1,26,382
7,1,27,388
7,1,28,395
7,1,29,399
7,1,30,395
7,1,31,396
6,1,0,962
6,1,1,966
6,1,2,957
6,1,3,955
6,1,4,965
6,1,5,968
6,1,6,965
6,1,7,940
6,1,8,986
6,1,9,948
6,1,10,947
6,1,11,965
6,1,12,970
6,1,13,970
6,1,14,954
6,1,15,987
6,1,16,959
6,1,17,973
6,1,18,974
6,1,19,972
6,1,20,976
6,1,21,949
6,1,22,952
6,1,23,949
6,1,24,936
6,1,25,945
6,1,26,980
6,1,27,969
6,1,28,964
6,1,29,971
6,1,30,975
6,1,31,957
5,1,0,645
5,1,1,668
5,1,2,663
5,1,3,663
5,1,4,687
5,1,5,641
5,1,6,642
5,1,7,650
5,1,8,641
5,1,9,637
5,1,10,635
5,1,11,622
5,1,12,634
5,1,13,642
5,1,14,651
5,1,15,662
5,1,16,652
5,1,17,656
5,1,18,656
5,1,19,643
5,1,20,662
5,1,21,635
5,1,22,655
5,1,23,639
5,1,24,643
5,1,25,650
5,1,26,641
5,1,27,640
5,1,28,622
5,1,29,636
5,1,30,667
5,1,31,667
4,1,0,681
4,1,1,672
4,1,2,698
4,1,3,668
4,1,4,669
4,1,5,668
4,1,6,666
4,1,7,653
4,1,8,676
4,1,9,666
4,1,10,655
4,1,11,657
4,1,12,662
4,1,13,666
4,1,14,660
4,1,15,660
4,1,16,689
4,1,17,651
4,1,18,659
4,1,19,659
4,1,20,664
4,1,21,648
4,1,22,675
4,1,23,658
4,1,24,669
4,1,25,670
4,1,26,656
4,1,27,673
4,1,28,653
4,1,29,653
4,1,30,670
4,1,31,677
3,1,0,1241
3,1,1,1267
3,1,2,1259
3,1,3,1268
3,1,4,1247
3,1,5,1257
3,1,6,1265
3,1,7,1247
3,1,8,1230
3,1,9,1250
3,1,10,1250
3,1,11,1235
3,1,12,1247
3,1,13,1255
