target_coefficient,packet,packet_lane,block,source_vector,source_word,message_word,degree,lane,branch,k3,q4,physical_Q,logical_k32,representative,next_operation
0,0,0,0,0,7,7,0,7,0,0,0,13,22,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
1,0,1,0,1,23,23,1,7,0,0,0,13,22,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
2,0,2,0,2,39,39,2,7,0,0,0,13,22,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
3,0,3,0,3,55,55,3,7,0,0,0,13,22,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
4,0,4,0,0,3,3,0,3,0,0,0,12,6,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
5,0,5,0,1,19,19,1,3,0,0,0,12,6,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
6,0,6,0,2,35,35,2,3,0,0,0,12,6,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
7,0,7,0,3,51,51,3,3,0,0,0,12,6,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
8,0,8,0,0,15,15,0,15,0,0,0,15,30,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
9,0,9,0,1,31,31,1,15,0,0,0,15,30,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
10,0,10,0,2,47,47,2,15,0,0,0,15,30,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
11,0,11,0,3,63,63,3,15,0,0,0,15,30,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
12,0,12,0,0,11,11,0,11,0,0,0,14,14,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
13,0,13,0,1,27,27,1,11,0,0,0,14,14,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
14,0,14,0,2,43,43,2,11,0,0,0,14,14,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
15,0,15,0,3,59,59,3,11,0,0,0,14,14,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
16,1,0,0,0,14,14,0,14,0,0,0,11,26,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
17,1,1,0,1,30,30,1,14,0,0,0,11,26,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
18,1,2,0,2,46,46,2,14,0,0,0,11,26,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
19,1,3,0,3,62,62,3,14,0,0,0,11,26,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
20,1,4,0,0,10,10,0,10,0,0,0,10,10,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
21,1,5,0,1,26,26,1,10,0,0,0,10,10,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
22,1,6,0,2,42,42,2,10,0,0,0,10,10,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
23,1,7,0,3,58,58,3,10,0,0,0,10,10,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
24,1,8,0,0,2,2,0,2,0,0,0,8,2,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
25,1,9,0,1,18,18,1,2,0,0,0,8,2,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
26,1,10,0,2,34,34,2,2,0,0,0,8,2,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
27,1,11,0,3,50,50,3,2,0,0,0,8,2,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
28,1,12,0,0,6,6,0,6,0,0,0,9,18,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
29,1,13,0,1,22,22,1,6,0,0,0,9,18,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
30,1,14,0,2,38,38,2,6,0,0,0,9,18,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
31,1,15,0,3,54,54,3,6,0,0,0,9,18,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
32,2,0,0,0,12,12,0,12,0,0,0,3,24,B3_general_R2_final_e0 + message_M_e0,signed-int16-v9-reduce-then-canonical-Q24-pack
