new_block,new_lane,old_block,old_lane,lambda_source_word
0,0,0,0,0
0,1,0,1,1
0,2,0,3,3
0,3,0,2,2
0,4,0,4,4
0,5,0,5,5
0,6,0,7,7
0,7,0,6,6
0,8,0,8,8
0,9,0,9,9
0,10,0,11,11
0,11,0,10,10
0,12,0,12,12
0,13,0,13,13
0,14,0,15,15
0,15,0,14,14
1,0,1,0,16
1,1,1,1,17
1,2,1,3,19
1,3,1,2,18
1,4,1,4,20
1,5,1,5,21
1,6,1,7,23
1,7,1,6,22
1,8,1,8,24
1,9,1,9,25
1,10,1,11,27
1,11,1,10,26
1,12,1,12,28
1,13,1,13,29
1,14,1,15,31
1,15,1,14,30
2,0,9,10,154
2,1,9,11,155
2,2,9,4,148
2,3,9,9,153
2,4,9,14,158
2,5,9,15,159
2,6,9,0,144
2,7,9,13,157
2,8,9,6,150
2,9,9,7,151
2,10,9,12,156
2,11,9,5,149
2,12,9,2,146
2,13,9,3,147
2,14,9,8,152
2,15,9,1,145
3,0,8,9,137
3,1,8,4,132
3,2,8,6,134
3,3,8,11,139
3,4,8,13,141
3,5,8,0,128
3,6,8,2,130
3,7,8,15,143
3,8,8,5,133
3,9,8,12,140
3,10,8,14,142
3,11,8,7,135
3,12,8,1,129
3,13,8,8,136
3,14,8,10,138
3,15,8,3,131
4,0,4,7,71
4,1,4,14,78
4,2,4,13,77
4,3,4,12,76
4,4,4,3,67
4,5,4,10,74
4,6,4,9,73
4,7,4,8,72
4,8,4,15,79
4,9,4,2,66
4,10,4,1,65
4,11,4,0,64
4,12,4,11,75
4,13,4,6,70
4,14,4,5,69
4,15,4,4,68
5,0,5,7,87
5,1,5,14,94
5,2,5,13,93
5,3,5,12,92
5,4,5,3,83
5,5,5,10,90
5,6,5,9,89
5,7,5,8,88
5,8,5,15,95
5,9,5,2,82
5,10,5,1,81
5,11,5,0,80
5,12,5,11,91
5,13,5,6,86
5,14,5,5,85
5,15,5,4,84
6,0,11,5,181
6,1,11,12,188
6,2,11,14,190
6,3,11,7,183
6,4,11,1,177
6,5,11,8,184
6,6,11,10,186
6,7,11,3,179
6,8,11,13,189
6,9,11,0,176
6,10,11,2,178
6,11,11,15,191
6,12,11,9,185
6,13,11,4,180
6,14,11,6,182
6,15,11,11,187
7,0,10,7,167
7,1,10,14,174
7,2,10,13,173
7,3,10,12,172
7,4,10,3,163
7,5,10,10,170
7,6,10,9,169
7,7,10,8,168
7,8,10,15,175
7,9,10,2,162
7,10,10,1,161
7,11,10,0,160
7,12,10,11,171
7,13,10,6,166
7,14,10,5,165
7,15,10,4,164
8,0,6,0,96
8,1,6,1,97
8,2,6,3,99
8,3,6,2,98
8,4,6,4,100
8,5,6,5,101
8,6,6,7,103
8,7,6,6,102
8,8,6,8,104
8,9,6,9,105
8,10,6,11,107
8,11,6,10,106
8,12,6,12,108
8,13,6,13,109
8,14,6,15,111
8,15,6,14,110
9,0,7,0,112
9,1,7,1,113
9,2,7,3,115
9,3,7,2,114
9,4,7,4,116
9,5,7,5,117
9,6,7,7,119
9,7,7,6,118
9,8,7,8,120
9,9,7,9,121
9,10,7,11,123
9,11,7,10,122
9,12,7,12,124
9,13,7,13,125
9,14,7,15,127
9,15,7,14,126
10,0,3,10,58
10,1,3,11,59
10,2,3,4,52
10,3,3,9,57
10,4,3,14,62
10,5,3,15,63
10,6,3,0,48
10,7,3,13,61
10,8,3,6,54
10,9,3,7,55
10,10,3,12,60
10,11,3,5,53
10,12,3,2,50
10,13,3,3,51
10,14,3,8,56
10,15,3,1,49
11,0,2,9,41
11,1,2,4,36
11,2,2,6,38
11,3,2,11,43
11,4,2,13,45
11,5,2,0,32
11,6,2,2,34
11,7,2,15,47
11,8,2,5,37
11,9,2,12,44
11,10,2,14,46
11,11,2,7,39
11,12,2,1,33
11,13,2,8,40
11,14,2,10,42
11,15,2,3,35
