new_block,old_block,branch,k3,q4,permutation_class,affine_target,zero_extra_in_enlarged_gauge,best_modeled_residual_class,best_modeled_residual_family
0,0,0,0,0,0,True,True,0,existing-deposit-mask-relabel
1,1,0,0,1,0,True,True,0,existing-deposit-mask-relabel
2,9,0,2,1,1,False,False,2,more-than-one-modeled-unary-route
3,8,0,2,0,2,False,False,1,one-vpshufb-after-deposit
4,4,0,1,0,3,False,False,2,more-than-one-modeled-unary-route
5,5,0,1,1,3,False,False,2,more-than-one-modeled-unary-route
6,11,1,2,1,4,False,False,1,one-vpshufb-after-deposit
7,10,1,2,0,3,False,False,2,more-than-one-modeled-unary-route
8,6,1,1,0,0,True,True,0,existing-deposit-mask-relabel
9,7,1,1,1,0,True,True,0,existing-deposit-mask-relabel
10,3,1,0,1,1,False,False,2,more-than-one-modeled-unary-route
11,2,1,0,0,2,False,False,1,one-vpshufb-after-deposit
