parameter,operation,stage,class,role,components,stq2_cycles
768,keypair,seed expansion shake256 (x2),hash,official,2xshake256_coins,5218.148611111111
768,keypair,seed expansion shake256 (x2),hash,opt,2xshake256_coins,5213.9875
768,keypair,seed expansion shake256 (x2),hash,gt,2xshake256_coins,5197.225
768,keypair,CBD1 (x2),sample,official,2xcbd1,656.4083333333333
768,keypair,CBD1 (x2),sample,opt,2xcbd1,661.0625
768,keypair,CBD1 (x2),sample,gt,2xcbd1,647.95
768,keypair,triple (x2),sample,official,2xtriple,491.25555555555553
768,keypair,triple (x2),sample,opt,2xtriple,470.0513888888889
768,keypair,triple (x2),sample,gt,2xtriple,482.50138888888887
768,keypair,Forward (x2),arith,official,2xforward,1906.5416666666667
768,keypair,Forward (x2),arith,opt,2xforward,1701.4402777777777
768,keypair,Forward (x2),arith,gt,2xforward_p,1813.2819444444444
768,keypair,BaseInv (x2),arith,official,2xbaseinv,2497.0027777777777
768,keypair,BaseInv (x2),arith,opt,2xbaseinv,2524.7069444444446
768,keypair,BaseInv (x2),arith,gt,2xbaseinv_j1,2392.913888888889
768,keypair,BaseMul (x2),arith,official,2xbasemul,1451.575
768,keypair,BaseMul (x2),arith,opt,2xbasemul,1466.3652777777777
768,keypair,BaseMul (x2),arith,gt,2xbasemul_f0_j1,1242.9541666666667
768,keypair,tobytes (x3),codec,official,3xtobytes,1274.7229166666666
768,keypair,tobytes (x3),codec,opt,3xtobytes,1231.8125
768,keypair,tobytes (x3),codec,gt,3xpack_p_sp1_lazy,1370.9645833333334
768,keypair,hash_f,hash,official,1xhash_f,10932.845833333333
768,keypair,hash_f,hash,opt,1xhash_f,10948.194444444445
768,keypair,hash_f,hash,gt,1xhash_f,10950.616666666667
768,keypair,same-ELF KEM total,total,official,kem_keypair,21609.177083333332
768,keypair,Native StQ2 (27 launches),native,official,avx2,21612.197530864196
768,keypair,same-ELF KEM total,total,opt,kem_keypair,21383.86111111111
768,keypair,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-freeze-qual001,21358.635802469136
768,keypair,same-ELF KEM total,total,gt,kem_keypair,21331.984027777777
768,keypair,Native StQ2 (27 launches),native,gt,avx2-gt32-clean,21266.810185185186
768,enc,pk frombytes,codec,official,1xfrombytes,358.7597222222222
768,enc,pk frombytes,codec,opt,1xfrombytes,364.39722222222224
768,enc,pk frombytes,codec,gt,1xunpack_m,404.5888888888889
768,enc,hash_f (pk),hash,official,1xhash_f,10932.845833333333
768,enc,hash_f (pk),hash,opt,1xhash_f,10948.194444444445
768,enc,hash_f (pk),hash,gt,1xhash_f,10950.616666666667
768,enc,hash_h,hash,official,1xhash_h,2659.0472222222224
768,enc,hash_h,hash,opt,1xhash_h,2661.6847222222223
768,enc,hash_h,hash,gt,1xhash_h,2655.567361111111
768,enc,CBD1,sample,official,1xcbd1,328.20416666666665
768,enc,CBD1,sample,opt,1xcbd1,330.53125
768,enc,CBD1,sample,gt,1xcbd1,323.975
768,enc,"Forward r, m (x2)",arith,official,2xforward,1906.5416666666667
768,enc,"Forward r, m (x2)",arith,opt,2xforward,1701.4402777777777
768,enc,"Forward r, m (x2)",arith,gt,2xforward_m,1785.1888888888889
768,enc,r tobytes,codec,official,1xtobytes,424.90763888888887
768,enc,r tobytes,codec,opt,1xtobytes,410.6041666666667
768,enc,r tobytes,codec,gt,1xpack_m_lazy,473.24375
768,enc,hash_g,hash,official,1xhash_g,12133.31736111111
768,enc,hash_g,hash,opt,1xhash_g,12151.409722222223
768,enc,hash_g,hash,gt,1xhash_g,12179.53125
768,enc,SOTP encode,sample,official,1xsotp_encode,336.59791666666666
768,enc,SOTP encode,sample,opt,1xsotp_encode,328.81388888888887
768,enc,SOTP encode,sample,gt,1xsotp_encode,330.34444444444443
768,enc,BaseMul,arith,official,1xbasemul,725.7875
768,enc,BaseMul,arith,opt,1xbasemul,733.1826388888888
768,enc,BaseMul,arith,gt,1xbasemul_general_m,740.6986111111111
768,enc,add,arith,official,1xadd,294.1013888888889
768,enc,add,arith,opt,1xadd,293.05
768,enc,add,arith,gt,1xadd,297.8201388888889
768,enc,ct tobytes,codec,official,1xtobytes,424.90763888888887
768,enc,ct tobytes,codec,opt,1xtobytes,410.6041666666667
768,enc,ct tobytes,codec,gt,1xpack_m_highrange,477.19930555555555
768,enc,same-ELF KEM total,total,official,kem_enc,28442.500694444443
768,enc,Native StQ2 (27 launches),native,official,avx2,28178.529320987655
768,enc,same-ELF KEM total,total,opt,kem_enc,28373.015277777777
768,enc,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-freeze-qual001,28067.625
768,enc,same-ELF KEM total,total,gt,kem_enc,28620.889583333334
768,enc,Native StQ2 (27 launches),native,gt,avx2-gt32-clean,28383.402777777777
768,dec,ct + sk frombytes (x3),codec,official,3xfrombytes,1076.2791666666667
768,dec,ct + sk frombytes (x3),codec,opt,3xfrombytes,1093.1916666666666
768,dec,ct + sk frombytes (x3),codec,gt,1xunpack3_m,802.4097222222222
768,dec,BaseMulScale,arith,official,1xbasemul_scale,643.625
768,dec,BaseMulScale,arith,opt,1xbasemul_scale,645.2361111111111
768,dec,BaseMulScale,arith,gt,1xbasemul_scale_m,642.5861111111111
768,dec,inverse,arith,official,1xinverse,961.9729166666667
768,dec,inverse,arith,opt,1xinverse,969.1111111111111
768,dec,inverse,arith,gt,1xinverse_m,968.6069444444445
768,dec,crepmod3,arith,official,1xcrepmod3,390.8513888888889
768,dec,crepmod3,arith,opt,1xcrepmod3,392.06388888888887
768,dec,crepmod3,arith,gt,1xcrepmod3,392.3722222222222
768,dec,"Forward m, r' (x2)",arith,official,2xforward,1906.5416666666667
768,dec,"Forward m, r' (x2)",arith,opt,2xforward,1701.4402777777777
768,dec,"Forward m, r' (x2)",arith,gt,2xforward_m,1785.1888888888889
768,dec,sub,arith,official,1xsub,291.23333333333335
768,dec,sub,arith,opt,1xsub,294.96875
768,dec,sub,arith,gt,1xsub,289.96875
768,dec,BaseMul,arith,official,1xbasemul,725.7875
768,dec,BaseMul,arith,opt,1xbasemul,733.1826388888888
768,dec,BaseMul,arith,gt,1xbasemul_general_m,740.6986111111111
768,dec,recovered r tobytes,codec,official,1xtobytes,424.90763888888887
768,dec,recovered r tobytes,codec,opt,1xtobytes,410.6041666666667
768,dec,recovered r tobytes,codec,gt,1xpack_m_centered,416.22430555555553
768,dec,hash_g,hash,official,1xhash_g,12133.31736111111
768,dec,hash_g,hash,opt,1xhash_g,12151.409722222223
768,dec,hash_g,hash,gt,1xhash_g,12179.53125
768,dec,SOTP decode,sample,official,1xsotp_decode,372.15208333333334
768,dec,SOTP decode,sample,opt,1xsotp_decode,372.44097222222223
768,dec,SOTP decode,sample,gt,1xsotp_decode,372.34791666666666
768,dec,hash_h,hash,official,1xhash_h,2659.0472222222224
768,dec,hash_h,hash,opt,1xhash_h,2661.6847222222223
768,dec,hash_h,hash,gt,1xhash_h,2655.567361111111
768,dec,CBD1,sample,official,1xcbd1,328.20416666666665
768,dec,CBD1,sample,opt,1xcbd1,330.53125
768,dec,CBD1,sample,gt,1xcbd1,323.975
768,dec,re-encryption tobytes (+ verify),codec,official,1xtobytes,424.90763888888887
768,dec,re-encryption tobytes (+ verify),codec,opt,1xtobytes,410.6041666666667
768,dec,re-encryption tobytes (+ verify),codec,gt,1xequal_m_modq,331.87638888888887
768,dec,same-ELF KEM total,total,official,kem_dec,19495.360416666666
768,dec,Native StQ2 (27 launches),native,official,avx2,19449.287037037036
768,dec,same-ELF KEM total,total,opt,kem_dec,19333.8875
768,dec,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-freeze-qual001,19193.104938271605
768,dec,same-ELF KEM total,total,gt,kem_dec,19367.12777777778
768,dec,Native StQ2 (27 launches),native,gt,avx2-gt32-clean,19204.078703703704
864,keypair,seed expansion shake256 (x2),hash,official,2xshake256_coins,5226.952777777778
864,keypair,seed expansion shake256 (x2),hash,opt,2xshake256_coins,5213.511111111111
864,keypair,CBD1 (x2),sample,official,2xcbd1,729.4402777777777
864,keypair,CBD1 (x2),sample,opt,2xcbd1,741.2847222222222
864,keypair,triple (x2),sample,official,2xtriple,486.9291666666667
864,keypair,triple (x2),sample,opt,2xtriple,485.7472222222222
864,keypair,Forward (x2),arith,official,2xforward,2187.597222222222
864,keypair,Forward (x2),arith,opt,2xforward,2006.0930555555556
864,keypair,BaseInv (x2),arith,official,2xbaseinv,2364.686111111111
864,keypair,BaseInv (x2),arith,opt,2xbaseinv,2363.7652777777776
864,keypair,BaseMul (x2),arith,official,2xbasemul,1353.9722222222222
864,keypair,BaseMul (x2),arith,opt,2xbasemul,1355.3847222222223
864,keypair,tobytes (x3),codec,official,3xtobytes,2076.4645833333334
864,keypair,tobytes (x3),codec,opt,3xtobytes,1316.8312500000002
864,keypair,hash_f,hash,official,1xhash_f,12148.619444444445
864,keypair,hash_f,hash,opt,1xhash_f,12142.711111111112
864,keypair,same-ELF KEM total,total,official,kem_keypair,23835.071527777778
864,keypair,Native StQ2 (27 launches),native,official,avx2,23745.841049382718
864,keypair,same-ELF KEM total,total,opt,kem_keypair,22931.35347222222
864,keypair,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-codec-qual002,22881.262345679013
864,enc,pk frombytes,codec,official,1xfrombytes,671.1486111111111
864,enc,pk frombytes,codec,opt,1xfrombytes,395.4145833333333
864,enc,hash_f (pk),hash,official,1xhash_f,12148.619444444445
864,enc,hash_f (pk),hash,opt,1xhash_f,12142.711111111112
864,enc,hash_h,hash,official,1xhash_h,3823.21875
864,enc,hash_h,hash,opt,1xhash_h,3843.2708333333335
864,enc,CBD1,sample,official,1xcbd1,364.72013888888887
864,enc,CBD1,sample,opt,1xcbd1,370.6423611111111
864,enc,"Forward r, m (x2)",arith,official,2xforward,2187.597222222222
864,enc,"Forward r, m (x2)",arith,opt,2xforward,2006.0930555555556
864,enc,r tobytes,codec,official,1xtobytes,692.1548611111111
864,enc,r tobytes,codec,opt,1xtobytes,438.94375
864,enc,hash_g,hash,official,1xhash_g,13374.09375
864,enc,hash_g,hash,opt,1xhash_g,13313.05763888889
864,enc,SOTP encode,sample,official,1xsotp_encode,378.03125
864,enc,SOTP encode,sample,opt,1xsotp_encode,376.0861111111111
864,enc,BaseMul,arith,official,1xbasemul,676.9861111111111
864,enc,BaseMul,arith,opt,1xbasemul,677.6923611111112
864,enc,add,arith,official,1xadd,299.7888888888889
864,enc,add,arith,opt,1xadd,296.94305555555553
864,enc,ct tobytes,codec,official,1xtobytes,692.1548611111111
864,enc,ct tobytes,codec,opt,1xtobytes,438.94375
864,enc,same-ELF KEM total,total,official,kem_enc,33285.4375
864,enc,Native StQ2 (27 launches),native,official,avx2,32901.79475308642
864,enc,same-ELF KEM total,total,opt,kem_enc,32241.083333333332
864,enc,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-codec-qual002,32107.16512345679
864,dec,ct + sk frombytes (x3),codec,official,3xfrombytes,2013.4458333333332
864,dec,ct + sk frombytes (x3),codec,opt,3xfrombytes,1186.24375
864,dec,BaseMulScale,arith,official,1xbasemul_scale,580.55625
864,dec,BaseMulScale,arith,opt,1xbasemul_scale,571.7388888888889
864,dec,inverse,arith,official,1xinverse,1153.4402777777777
864,dec,inverse,arith,opt,1xinverse,1145.8861111111112
864,dec,crepmod3,arith,official,1xcrepmod3,413.43333333333334
864,dec,crepmod3,arith,opt,1xcrepmod3,419.55347222222224
864,dec,"Forward m, r' (x2)",arith,official,2xforward,2187.597222222222
864,dec,"Forward m, r' (x2)",arith,opt,2xforward,2006.0930555555556
864,dec,sub,arith,official,1xsub,301.5284722222222
864,dec,sub,arith,opt,1xsub,301.20625
864,dec,BaseMul,arith,official,1xbasemul,676.9861111111111
864,dec,BaseMul,arith,opt,1xbasemul,677.6923611111112
864,dec,recovered r tobytes,codec,official,1xtobytes,692.1548611111111
864,dec,recovered r tobytes,codec,opt,1xtobytes,438.94375
864,dec,hash_g,hash,official,1xhash_g,13374.09375
864,dec,hash_g,hash,opt,1xhash_g,13313.05763888889
864,dec,SOTP decode,sample,official,1xsotp_decode,437.5597222222222
864,dec,SOTP decode,sample,opt,1xsotp_decode,428.0083333333333
864,dec,hash_h,hash,official,1xhash_h,3823.21875
864,dec,hash_h,hash,opt,1xhash_h,3843.2708333333335
864,dec,CBD1,sample,official,1xcbd1,364.72013888888887
864,dec,CBD1,sample,opt,1xcbd1,370.6423611111111
864,dec,re-encryption tobytes (+ verify),codec,official,1xtobytes,692.1548611111111
864,dec,re-encryption tobytes (+ verify),codec,opt,1xtobytes,438.94375
864,dec,same-ELF KEM total,total,official,kem_dec,23867.18125
864,dec,Native StQ2 (27 launches),native,official,avx2,23681.80864197531
864,dec,same-ELF KEM total,total,opt,kem_dec,22329.304166666665
