parameter,component,role,stq2,stq1,stq3,observations,delta_vs_official,ci95_low,ci95_high,favourable_launches
768,add,gt,297.8201388888889,289.3847222222222,307.09791666666666,5760,3.71875,3.08055555555552,4.345138888888869,0/15
768,add,official,294.1013888888889,285.01875,303.2701388888889,5760,,,,
768,add,opt,293.05,285.36875,302.97083333333336,5760,-1.05138888888888,-1.6090277777777828,-0.5666666666666629,13/15
768,baseinv,official,1248.5013888888889,1240.954861111111,1260.375,5760,,,,
768,baseinv,opt,1262.3534722222223,1247.3430555555556,1274.2625,5760,13.85208333333344,12.936805555555566,14.775000000000091,0/15
768,baseinv_j1,gt,1196.4569444444444,1189.0972222222222,1204.4416666666666,5760,,,,
768,basemul,official,725.7875,716.4861111111111,736.76875,5760,,,,
768,basemul,opt,733.1826388888888,723.3319444444444,746.0194444444444,5760,7.395138888888823,6.289583333333326,8.480555555555611,0/15
768,basemul_f0_j1,gt,621.4770833333333,613.9611111111111,627.8666666666667,5760,,,,
768,basemul_general_m,gt,740.6986111111111,725.5395833333333,756.1048611111111,5760,,,,
768,basemul_scale,official,643.625,634.9791666666666,651.4173611111111,5760,,,,
768,basemul_scale,opt,645.2361111111111,638.0409722222222,653.9590277777778,5760,1.6111111111110858,0.6076388888889142,2.538194444444457,3/15
768,basemul_scale_m,gt,642.5861111111111,635.0236111111111,649.5055555555556,5760,,,,
768,cbd1,gt,323.975,317.84930555555553,332.36875,5760,-4.229166666666629,-4.9520833333333485,-3.221527777777794,14/15
768,cbd1,official,328.20416666666665,319.27222222222224,334.61875,5760,,,,
768,cbd1,opt,330.53125,325.4326388888889,336.5861111111111,5760,2.3270833333333485,1.205555555555577,3.8506944444444002,1/15
768,crepmod3,gt,392.3722222222222,389.18125,395.7638888888889,5760,1.5208333333333144,1.0076388888888914,1.9826388888889142,2/15
768,crepmod3,official,390.8513888888889,387.5215277777778,394.5777777777778,5760,,,,
768,crepmod3,opt,392.06388888888887,388.53125,395.82916666666665,5760,1.2124999999999773,0.3520833333333826,1.85486111111112,4/15
768,equal_m_modq,gt,331.87638888888887,325.4506944444444,339.4277777777778,5760,,,,
768,forward,official,953.2708333333334,945.0659722222222,961.8951388888889,5760,,,,
768,forward,opt,850.7201388888889,841.2444444444444,860.4708333333333,5760,-102.5506944444445,-103.98819444444439,-101.27430555555554,15/15
768,forward_m,gt,892.5944444444444,883.1548611111111,903.3784722222222,5760,,,,
768,forward_p,gt,906.6409722222222,896.8173611111112,916.8298611111111,5760,,,,
768,frombytes,official,358.7597222222222,354.0465277777778,365.0861111111111,5760,,,,
768,frombytes,opt,364.39722222222224,359.59513888888887,370.08680555555554,5760,5.6375000000000455,5.029861111111131,6.275694444444412,0/15
768,hash_f,gt,10950.616666666667,10900.676388888889,10992.903472222222,5760,17.77083333333394,5.732638888888687,28.88680555555584,4/15
768,hash_f,official,10932.845833333333,10883.452083333334,10984.122222222222,5760,,,,
768,hash_f,opt,10948.194444444445,10891.84375,10991.534027777778,5760,15.348611111112405,8.889583333333576,21.483333333333576,3/15
768,hash_g,gt,12179.53125,12101.408333333333,12219.991666666667,5760,46.213888888889414,36.24097222222372,55.94027777777774,0/15
768,hash_g,official,12133.31736111111,12061.553472222222,12207.929861111112,5760,,,,
768,hash_g,opt,12151.409722222223,12060.245833333332,12214.7,5760,18.09236111111204,-1.0208333333339397,37.68958333333285,5/15
768,hash_h,gt,2655.567361111111,2639.8444444444444,2671.879861111111,5760,-3.479861111111404,-4.597222222222172,-2.191666666666606,14/15
768,hash_h,official,2659.0472222222224,2645.7875,2673.5604166666667,5760,,,,
768,hash_h,opt,2661.6847222222223,2645.00625,2679.2944444444443,5760,2.637499999999818,0.7118055555556566,4.575694444444707,4/15
768,inverse,official,961.9729166666667,954.1048611111111,970.4402777777777,5760,,,,
768,inverse,opt,969.1111111111111,961.7027777777778,976.7104166666667,5760,7.138194444444366,6.04444444444448,8.362499999999955,0/15
768,inverse_m,gt,968.6069444444445,957.9951388888888,981.0604166666667,5760,,,,
768,kem_dec,gt,19367.12777777778,19252.381944444445,19459.522222222222,5760,-128.23263888888687,-168.84791666666933,-77.85416666666788,13/15
768,kem_dec,official,19495.360416666666,19369.10625,19593.777777777777,5760,,,,
768,kem_dec,opt,19333.8875,19255.20138888889,19401.0625,5760,-161.4729166666657,-179.75763888888832,-144.35347222222117,15/15
768,kem_enc,gt,28620.889583333334,28496.590277777777,28719.609027777777,5760,178.3888888888905,138.01874999999927,227.16041666666933,0/15
768,kem_enc,official,28442.500694444443,28249.999305555557,28651.905555555557,5760,,,,
768,kem_enc,opt,28373.015277777777,28257.82361111111,28456.085416666665,5760,-69.48541666666642,-97.94305555555547,-43.42013888888687,15/15
768,kem_keypair,gt,21331.984027777777,21219.814583333333,21437.078472222223,5760,-277.1930555555555,-307.4375,-235.2548611111124,15/15
768,kem_keypair,official,21609.177083333332,21510.155555555557,21727.222222222223,5760,,,,
768,kem_keypair,opt,21383.86111111111,21290.799305555556,21482.151388888888,5760,-225.31597222222263,-242.56458333333285,-211.70208333333358,15/15
768,pack_m_centered,gt,416.22430555555553,410.8576388888889,422.65277777777777,5760,,,,
768,pack_m_highrange,gt,477.19930555555555,471.1125,483.575,5760,,,,
768,pack_m_lazy,gt,473.24375,467.5548611111111,479.02569444444447,5760,,,,
768,pack_p_sp1_lazy,gt,456.98819444444445,450.7659722222222,465.3951388888889,5760,,,,
768,shake256_coins,gt,2598.6125,2579.8298611111113,2616.8465277777777,5760,-10.461805555555202,-12.053472222221899,-8.892361111111313,15/15
768,shake256_coins,official,2609.0743055555554,2595.942361111111,2623.420833333333,5760,,,,
768,shake256_coins,opt,2606.99375,2589.3729166666667,2623.7159722222223,5760,-2.080555555555293,-3.6236111111111313,-0.48055555555538376,11/15
768,sotp_decode,gt,372.34791666666666,363.75902777777776,380.2923611111111,5760,0.19583333333332575,-0.8347222222221831,1.3229166666666856,9/15
768,sotp_decode,official,372.15208333333334,362.3020833333333,380.56180555555557,5760,,,,
768,sotp_decode,opt,372.44097222222223,363.98541666666665,380.5486111111111,5760,0.2888888888888914,-0.7395833333333144,1.2666666666667084,4/15
768,sotp_encode,gt,330.34444444444443,325.4013888888889,339.27986111111113,5760,-6.2534722222222285,-6.976388888888891,-5.695138888888891,15/15
768,sotp_encode,official,336.59791666666666,329.05694444444447,344.0236111111111,5760,,,,
