parameter,operation,role,implementation,stq2,delta_vs_official,ci95_low,ci95_high,resolved_at_27,below_official_median,launches,compiler_picks
768,keypair,official,avx2,21612.197530864196,,,,,,27,O2/O2/O2
768,keypair,opt,avx2-officialopt-lazy-freeze-qual001,21358.635802469136,-253.56172839505962,-281.660493827163,-230.3456790123455,True,27,27,O2/O2/O3
768,keypair,gt,avx2-gt32-clean,21266.810185185186,-345.38734567900974,-375.5648148148139,-314.65895061728224,True,27,27,O3/O2/O2
768,enc,official,avx2,28178.529320987655,,,,,,27,O2/O2/O2
768,enc,opt,avx2-officialopt-lazy-freeze-qual001,28067.625,-110.9043209876545,-215.5447530864185,-28.873456790122873,True,24,27,O2/O2/O3
768,enc,gt,avx2-gt32-clean,28383.402777777777,204.87345679012287,87.70216049382725,305.10648148148175,True,1,27,O3/O2/O2
768,dec,official,avx2,19449.287037037036,,,,,,27,O2/O2/O2
768,dec,opt,avx2-officialopt-lazy-freeze-qual001,19193.104938271605,-256.1820987654319,-290.6635802469136,-218.74537037037226,True,27,27,O2/O2/O3
768,dec,gt,avx2-gt32-clean,19204.078703703704,-245.20833333333212,-278.7438271604915,-205.49845679012287,True,26,27,O3/O2/O2
864,keypair,official,avx2,23745.841049382718,,,,,,27,O3/O3/O3
864,keypair,opt,avx2-officialopt-lazy-codec-qual002,22881.262345679013,-864.5787037037044,-907.5617283950633,-828.3966049382689,True,27,27,O2/O3/O2
864,enc,official,avx2,32901.79475308642,,,,,,27,O3/O3/O3
864,enc,opt,avx2-officialopt-lazy-codec-qual002,32107.16512345679,-794.6296296296277,-853.2129629629671,-752.5246913580268,True,27,27,O2/O3/O2
864,dec,official,avx2,23681.80864197531,,,,,,27,O3/O3/O3
864,dec,opt,avx2-officialopt-lazy-codec-qual002,22340.621913580246,-1341.1867283950633,-1392.7037037037007,-1300.3148148148139,True,27,27,O2/O3/O2
1152,keypair,official,avx2,34625.97530864197,,,,,,27,O3/O3/O3
1152,keypair,opt,avx2-officialopt-lazy-freeze-qual001,34312.06018518518,-313.91512345679075,-810.7777777777737,159.66975308642577,False,19,27,O2/O2/O2
1152,keypair,gt,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,34319.87345679013,-306.10185185184673,-845.4768518518467,244.34722222222626,False,16,27,O3/O3/O3
1152,enc,official,avx2,43114.88271604938,,,,,,27,O3/O3/O3
1152,enc,opt,avx2-officialopt-lazy-freeze-qual001,42403.63271604938,-711.25,-834.0293209876545,-648.1790123456813,True,27,27,O2/O2/O2
1152,enc,gt,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,43905.2237654321,790.3410493827178,679.3425925925912,862.8950617283917,True,0,27,O3/O3/O3
1152,dec,official,avx2,30540.283950617282,,,,,,27,O3/O3/O3
1152,dec,opt,avx2-officialopt-lazy-freeze-qual001,29970.09259259259,-570.191358024691,-600.6234567901229,-544.1882716049367,True,27,27,O2/O2/O2
1152,dec,gt,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,30551.564814814814,11.280864197531628,-14.067901234568126,31.438271604936745,False,7,27,O3/O3/O3
