implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_native_inplace_cycles - 1417 +46+14+4+11-1-4+0+2+21-3+17+13+18+0+24+5+17+1-13+17-2-36-9-39-22-30-28-37+3-36-31-38
official_forward_preserve_input_cycles - 1579 +102+153-16-45-69-34-68-81-27-64+149+155+120-88-45-31-86-4+100-68-52+125+94+56+552+73+1368+1279-99+1286-106-16
top_split_cycles - 310 +80+44+53+38+21+27-7+1+0-4+38+19-5+3-11-1-6-6+15-2+0-11-6+15-5-1+2+30+0-1-12-18
gt_forward_full_cycles - 1489 +204+29+39-15+19+37-24+0+3-16+44+21-33+4+3+0+102-16-6+35-6+54+4-19+14-6-4-13-2-32-8-1
serializer_v2_cycles - 682 +76+72+48+39+31+11-2+6+15-10+34-9+0-17-18-3-6-14-9+18-20-2-4-1-9-15+13-20+1+4+17+6
serializer_v2_hash_g_cycles - 18564 +237+44-84-361-351-259-363-222-181-297+35-36+46-54-4+18+17+50-19-41+27+30-72-42+73+71+28-3+55+27+39-1
gt_tail_decode_ma2_egress_cycles - 1990 +72+2+8-4-14-19+4-1-20-28-4-4-19+2-6+11-16+2+10+25-20+1-2-11+9-11-2+630+590+21+599+9
official_tail_cycles - 1642 +4105+3504-8-22+889+881+1632-4+1529+1051+934+123-5+2-8-4-5+1-22+0+6-8-19+1-23-10-10+11+31-4+6-14
official_forward_native_inplace_cycles - 1413 +33-27+4+16-22+3+3+16+1+4-8-16-41-17+14+19+27-12+7+34-13+4-2+6+18-24-15-21+6-37-14-1
official_forward_preserve_input_cycles - 1489 +142+70+44+29+41+30-7+0+38+8+25-3-14-4+12+11-17-23+5-46-4+11+4-4+34-6-8-7-25-24-29-14
top_split_cycles - 309 +70+58+47+23+4+26+9+156+7+18-3+3+0-2+0+2-3-10+3+1-2-3-1-7-1-1-7-4+3+0-12-13
gt_forward_full_cycles - 1492 +172-1+37-3+0+23+27-18+8+2+5-9+1239-5-16-11-23-11+17+0-6+6-2+27-5-8+5+3-7+32+12-15
serializer_v2_cycles - 688 +47+65+32+12+17-4-20-10+25-10+47-6+4-4-10-3+15+0-17+15-16+2+0-6-12-17+14-2-8+1+9+3
serializer_v2_hash_g_cycles - 18972 +6258+1483+10211+1640+3842+1620+5396+3313+1070+801+190+401-732-755-732-744-747-454-488+250-670-350-465-402-489-512-519-516+1164-432+1465+3737
gt_tail_decode_ma2_egress_cycles - 1990 +68-1-1-8-7+9-14+401-14+9+2+6-11-19+491-18-16+7-13-8-19+861+630-19+677+1018-7+5+14+528+1608-18
official_tail_cycles - 1643 +1878+848+2797+1810-11+1538+313-14-1-11-14-23-5+2-4+7-15+1-10+887+1610+15-8+671+1899-3+5-17-3-24-8+50
official_forward_native_inplace_cycles - 1419 +11+0+12+1403-5-12-10+1+1478+1+0+1458-6+0-44-20-1-14-15+16+5-8-15+15+1+28+25-30+794-18-24+603
official_forward_preserve_input_cycles - 1495 +1134+59+25+737-11+64+51-18+23-3+486+381+4-29-3-20+4-9-34-9+7-22-15+840-1+9+0-23-15+1671-38-18
top_split_cycles - 309 +82+240+31+51-3+26+20+3+15-1-5+0+0-4-6-8-1+6-3-4-7+0+7+3+7-4-2+8-5-1-6-14
gt_forward_full_cycles - 1500 +189+27+19-24+2-2+0-3+2-27+8+5+0-25-10-3-15-2-24-12-18+4+1+3-4+21-14+2+8+9-12+17
serializer_v2_cycles - 691 +51+49+20+33+15+10-8-25+2-19+58+10-6+6+0-18+10-3-1-5-10-9-23-10+2+9-3+0+1-5-2+0
serializer_v2_hash_g_cycles - 18358 +79-104-78-63-154+279-77-21-18+46+35-50-28-149-166-134-156-145-75-39-100+174+156+223+164+195+104+137+203+185+209+133
gt_tail_decode_ma2_egress_cycles - 1983 +56-6+10+7+14+5-5-14-27-11-7+23-7+5-12-8-31+22+12+2+27+10+3+9-12+3-20-22+0+1+4-19
official_tail_cycles - 1637 +88+67+12+14-4+25-14-15-19+18+8-11-1-12+8-22-17+13-10-16-3+0+2-9-2-4+11-7+11+7+5+19
