implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 456 +22+14+7+4-3+6+0-12+4+4-17-9-2-8+10-9-8+2-12+3+6-6+6-9+8+0-8-14+9-4+8-7
forward_m_terminal_cycles - 638 +54+8-7-19+4+2-5+9+10+0+1+10-14-15-10-4-1-1-14-11+12+10+2+670+3+635+19-18+609-4-8-27
forward_p_terminal_cycles - 651 +67+3-3-23+23-1-18+7+1-6-1+2+11+4-15+1-7+0-13-3+15+5-12+1+3+1+28-8-2-2+2-19
forward_m_full_cycles - 881 +73-1+35-14-18-13+4+1+19+0-24+28+16+6+1+0+25+2-2+33+17-8-12+29-35-3-3-24+12+0-11-2
forward_p_full_cycles - 902 +75+11-9+0+5+20+2-6-3-34+7-19-10+3-7+11-7+14+3-6+5+0-37-17-9+15+11-1-15+4-10+17
baseinv_j1_cycles - 1193 +371+27+0-2-1+0+99+29+41-1-14-15+0-1-8+16+11+11+8-2-4+8+5-4-2-5+3-8-8-9+0+25
basemul_f0_j1_cycles - 609 +138+9+5+2-5+24+16+16+10-1+4-1+5-2+4+0-1-4-4-1+2+3-2-2-3+6-2-4-2-2+1-4
basemul_general_m_cycles - 722 +136+66+4-9+7-20-7-23+24-7-8+15+4-3-8-18-5+29-16+8+3-29+11-15+3+3+11+6+2-26+5-15
basemul_scale_m_cycles - 630 +110+14+8+1-1+0+0-2-1-4+4+1-4+7+1+3+2+0+0-2+5-1+1+0-3-4-6-3-3-1-1+5
inverse_m_core_cycles - 615 +92+20-34+4-1+1-9+12+2-23-9-3-21-12+7-17+12-1+10-5-10-10+8-3-3+16+16+10+20+1-22+2
inverse_m_tail_cycles - 585 +642+14+16+22+0+1+5+5+9-1-2-13+4+3+5+13+1+2-4-13+15-2-6-6-6-14+14-9-3-2-1-1
inverse_m_full_cycles - 970 +71+15+6+9-23+0-23-3+19-16+14-24+34-4-8+37+1+9-2+24-2-7-18-12-5-6-22+3+5-5+11+22
q24_unpack_m_cycles - 385 +242+38+41+11-2+13+14-2-4+1-1+4-2+5+1-2+0+1+1-3+3+1-3-1-6-6-8+0-7-6+14+6
q24_pack_m_centered_cycles - 425 +29+0-8+11+4+4+9+4-8-8-9+4+22-13-3-13-12-1+9-13+0-19-5-10-8+7+17+4+2+5-1-4
q24_pack_m_lazy_cycles - 483 +169+25+14-8+3+13+2+4-3-6+4+8-8+8+3-3-2+3+11-2-1-5-4+2-6+9-2-7+5-9-8-16
q24_pack_m_highrange_cycles - 479 +36+24+10+2+3+3-1+1-3+6-9+3-15-3+0-14-9+2-5+3-10+4+2+9-11-12+2-4+0-9-6-7
q24_pack_p_cycles - 454 +181+35+22+26+29+15-6+9-3-9-3-11-3+4+0-9-15+0-12+4-3+3+7-4+9-13-3+2-10+10+2-7
q24_equal_m_cycles - 330 +142+25+12+3+18+7+0-2+1-3-5-6-2+2+5+6-2-3+0+2-2+5+5+3-6-1-14-5+0+5-3-5
forward_frontend_cycles - 453 +17+20-2+7+6-2-2-9-4-2+6-7+4-6+1+2+6-15-1-1+0+2+5+6+7-3-5-8+6+2+13-11
forward_m_terminal_cycles - 638 +24+6+6-7-19+19-9-6+12-10+13+11-3-5+14-10+10+7+18-29-5-4-3+3+16-18+3-4+35-10+0-4
