implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_native_inplace_cycles - 949 +109+36-5-6-16-15-27+418+21+5-7+4+18+9+3+24+11+7-5-3+2+17-7+3-6+0-8-2-11+12-25-15
forward_small_preserve_input_cycles - 981 +130+20-7-16-2+3-2-8-34-17+9-45+2-14-3+2+3+0+20+13+7+14+12+6+17+1-4-12+0-4-8-22
forward_general_native_inplace_unqualified_cycles - 963 +37-5+16+15+3+18+24+19+10-8-3-17-6-12+12+9+16+10+0+6-1-11-2+2+15-20-11-32-19-20-20-15
forward_general_preserve_input_unqualified_cycles - 975 +169+32+7-14+6-7+41-7-5-9+5+9-9+2+20+17+5-14-4+11+20-7+1-7-15-4-2-14-6+22+4-15
basemul_cycles - 723 +562-2+6+6-7-7-8+7+0-14+3+6+5+18-1+9-14-14-3+0+6-2-2+3-16+3-7+4-2-1+3-3
basemul_scale_cycles - 622 +410+31-2+0+2-2-2+8-1+9-2-1+2+4-1-2+0-3+0+0-2+1-2+0+2+2-1-1+2-1-1+3
inverse_cycles - 985 +986+55+6+13+20+5-7+7+8-14+5-7-4-11+12-7+12-4-4+21-26-2-2-4+22+13-10-11-5-1-16+0
baseinv_cycles - 1238 +2168+42-8+193-2+0+51+27-14+151-11-10+31-5+14+0+1+19+12+26-5+34-15-6+1-16-3-3+4-7+2-12
poly_frombytes_cycles - 344 +112+9+8+3-3-4-2+11+9+0-1+7+3+1+6-2-2+2+1-1+0-2+0+4-2+0+2-1-1-4+7-4
poly_tobytes_cycles - 419 +41+15-2+0+2-6-6-4-3-2-7+6-1-1-1+4+8+1+3+0+1-4+8-1-3+7+10-1+1+3-3+1
cbd1_cycles - 327 +111+29-7+1-21-19+4-22-22+4-4-21-17-22+3+15+5+1+8-21-14-2-20+2-20+6+3+3+3+0+2+12
crepmod3_cycles - 423 +170+37-2-5+16-2-1-3-9-1-7+7-11+12-8+2+5+1+5-9+3+1+4-7+2+5-5-2-6+7+8-5
poly_add_cycles - 237 +101+18-9+5+10+5+1+9+5+5-1+5-11-1+0-10-8+8+5+5-12-7-15+4-11-8-1-1-10-7-4-5
poly_sub_cycles - 230 +148+25-4-2+5+7-2-5+12-2-3-6-3-2+13-1+12+9+2-5+0-6+0-1+2+2+4+2-5+0+3+2
sotp_encode_cycles - 312 +110+55+22+0+5-1+10+1+2-4-2+0+3+3-3+1+3-4+0-1+1+3-1-1-2-1-3+2-1-2-1-1
sotp_decode_cycles - 343 +147+4+5-5-4+5-3+3+3-5+1+9+2+7-5-7-5-2-4-3-5-7+0+4+0-5+3+5+9-3+7-3
hash_f_cycles - 10823 +1986+91+67-41+231+10+76+23+112-7-34-2-28+7-63-62-17+54-22-10+44-2-4+9-7+11-35+42+72-47-40-14
hash_g_cycles - 12033 +434+314+124+123-53-46-101-125-47+145-101+156-116+90-67+143-130-72+130+145-86-35+141+109-48+65-107+152-21+25-128-33
hash_h_cycles - 2642 +260+102+58-9+25+7-13-30+15-3-85+70-28-3+12-2-3+7-84-18-2+11+28-38+9-37+23-27+1-2-13+13
poly_mul_small_cycles - 2933 +338+51+19+21+1+17+26+15+4-9-28-11-12-26+30-5-4-9-48+0+16-12-2+21+13+12+16-13-3-28-29-23
poly_mul_general_cycles - 2922 +100+23+9-33-21-46+43-13+7-14+11+13+18+35-20-20-9+28-10+5+13-36-30-12-28-27+22+25+41-12+0+9
forward_small_native_inplace_cycles - 953 +37+36-3-16+9+6+1+0-7-5+10-9+14-12+9-17+0-12+1+17-16-11+7+8-3+4-3+5+3+18-11-6
forward_small_preserve_input_cycles - 978 +72+59+8+28-4-3-13-13+24+9+8-9-7+5+12+1-18-8+0-5-22+6-20-19+5+22-8+0+3+9-5-5
forward_general_native_inplace_unqualified_cycles - 961 +1-12+0-19-9+14-4-2+12+9-27-5+0+10+5+28-2-1-2+2+2+6-13-6-9+3+1+8-23+18-8+7
forward_general_preserve_input_unqualified_cycles - 987 +55-7+7+4-20-15+21-29+37-9-17-24+6+4+13-13+9-4+7+12-16+5+5-9+13-17+14+3-10-11-9+10866
basemul_cycles - 719 +37+13+10-6-11+14-10-1-11-2+9-14-3-5-3+9+5-5+4+14-3+2+11+10+1-14+3-3+4+10-13-7
basemul_scale_cycles - 625 +20+6+13+4-5+0-5-7-3+1-3-4+2+4+1+3-3+8+2-2+0-6-2-5-1+3+2+3-3-2+1-6
inverse_cycles - 989 +45+33+32-9+3+0+14+30-3+1-1-10+10+6+8-5+0-9-8-17-10+11-17-9-12-3+25-2+23-8+25+7
baseinv_cycles - 1244 +40+14-2+13+1-19-4-7-10-17+158+16+6+21+11-4+18-16-17+1-6+146-15+8-7+17-3-9+10-25-11+43
poly_frombytes_cycles - 346 +33+3-2+7-2-1-6-6-7+3+1+3-5+2+2+6-5+3-4+1+2+3+2-3-5+0-4-7+2+4-3-2
poly_tobytes_cycles - 418 +17+11-4-6+2+2-6-2+8+6+11+8+3-4-7+13+4+9-5-1-3-4-5+9+323+8+0+1-3-6-5-9
cbd1_cycles - 329 +10-10-10-13-1-10-2-20+0-20-21+6+2+2+3+1+4+0+2+1-2+6+4+5-8-17+0-23-16+5+8+3
crepmod3_cycles - 423 +38+24+2+0+15-4-5+1+0+0+8+8+2+9-1+1+8-2-5-8+3+7+0-5-4-10-7+4-1-2-7-7
poly_add_cycles - 232 +56+11-10+7-5+1-3-3-2-3-3+12-3+14-4+7+0+8-5-3+1+13+13+12-10-3+14-8+6+16-5+1
poly_sub_cycles - 230 +14+7-8-2-3-2+7+3+9-2+0+1-3+0+2-3-3+2-2-5+4-3-2+3+2-3+4+6-4+2+6-3
sotp_encode_cycles - 316 +25+13+7+7+3+7+5+13+7+6-1+0+0-4-4-2+1-7+0+1+1-5-3-4-3-1-6-3-2-6-4+5
sotp_decode_cycles - 343 +29+11+2-3-3-2-2-5-4+2-1+5-10+0+7+4+11-4-1+7+0+4-2-1+0+13+1+3-1+7-4-5
hash_f_cycles - 10941 +65+125+88+72-98+16-53+3+46-91-27+59+26+38-18+41+9+65-5+105-76-17-36-44-20-37-69-12-22+59+34-209
hash_g_cycles - 12137 +4-67+44-95-198-198+4+34-9-56-13+6+9+5+57-44-18+30-3-160+25-4-16-21+127+12+138-203+43+25+0+35
hash_h_cycles - 2647 +37+6-28+21+15+10-21+20+16+4+18+6+5+14+2-8-31-5+17+11-19+35+16-36-19-14-27-46-14-6-47-37
poly_mul_small_cycles - 2918 +112+92+44-34-20+36+14+34+53+8+3+29-24+22+4+16-9+45-16-36-27-28-3-6-7-1-23-13-12+6-29+21
poly_mul_general_cycles - 2928 +20+19+25-2+26-21+18-8+27-26+9+0-26+3-8+10+7+9-31+1+3-27-1-2-1+5-4-7-22+15-38-37
