implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_native_inplace_cycles - 1400 +46+18-7+35-4-12+19-8-5+23-7-11+1-13+10+2+43-17+9-19-24+78+6+16-24+8+1+20-16-8-10+6
official_forward_preserve_input_cycles - 1539 +76+39-8+28+210+155-26-63-53-26+220+5-8+153+210-33-52+90-25-25-54-39+9-35+24+95+2240+1302-56+1321-33-76
top_split_cycles - 310 +81+84+49+54+22+34+24-8+2-11-4+13+1-2+2-6+0-6+5-8-5-1+2-6-6-7-5+11+6+1-14-14
gt_forward_full_cycles - 1492 +224+41+18+17+6+11-7+1+1-19+17+41+9-9+2872+9-5-16-16-17-19+26+0-5-9-7-14-12-8+118+7-35
serializer_v2_cycles - 699 +43+55+28+13-3-19+9-22-10+4-28-3-3-21+2-22+1-14+7+24-14+10-20+7-15+6-8+21-2+5+22+0
serializer_v2_hash_g_cycles - 18543 +120-50-245+26+124+30-24+84-44+11-3-45+2+48-38+101+8-24-97-6-12-29+34+19-276+20-9+10-10-45+39+102
gt_tail_decode_ma2_egress_cycles - 1989 +60-4-3-2+59-12-9-4-21-7-17+6+3-23-6-3+4+16+0+1+22-7-1-4+18+15-7+665+1167+54+720+29
official_tail_cycles - 1641 +354+48+15-4-3+0+4+16+30+14-10-14-14+6+13+8+3-9+19-1-3-14-4-3-14-4+16+537-11-4-6+9
official_forward_native_inplace_cycles - 1404 +63+11-12-25-21+1-14+1+12+3-8-4-6+8+44+0-10-1+38-18-9+46+25-6+23-5-27+6+12+3+0+1207
official_forward_preserve_input_cycles - 1488 +139+61+50+28+26+49+48+0-14-15-18-23+6-17-5+979+13-23+1-13+8+12-15-4-11+28-3-8+18-5-22-3
top_split_cycles - 308 +85+72+47+26+7+10+38-1-2-2-2+13-2+7+7+0-2+4-6-7+7-3+3-3-3-7-2+0+1-1-7-28
gt_forward_full_cycles - 1493 +183+10+13+6-20-12-1+10-5+17+0+18-25+2-23-3+23+14-6+3+5+2+14-20-9-8-8-21-14+133-28+7
serializer_v2_cycles - 692 +63+54+50+25+30+6+17-16+14-8-7+9+20+2-12-8-5+20-7+58-3-12-11-2-14-2+8-6+17-10-5+0
serializer_v2_hash_g_cycles - 18534 +218+134-17-29-85+12+45-61+1205+8159+113+38-295-313+2635-69-15-12+21+11-48-61-6-60-5+3076-16+38+2457+90-7-12
gt_tail_decode_ma2_egress_cycles - 1988 +36+21+23+3+44-2+17-7+7-4-8-5+2+9+22-1-13-2-14-18-8+12+16-4-18-3+1574-3+0+3-1+5
official_tail_cycles - 1637 +68+30+10+1+1-5-8-10-14+1-22-23-11-18-6-1+1-12+9+1-3+9+24+9+18+0-1+5+9+14+22-20
official_forward_native_inplace_cycles - 1389 +67+8+43-13-4+40-10+7-20+42+10+6-34+0+4+24-27-28+0-25-3+42-10-9+7+4+3-4-7-32+0+5
official_forward_preserve_input_cycles - 1484 +151+56+35+24+26+40-3-27-27+12+43+4+9+2+0-17+11-5-21-4-22-21+0+5+5-10-41-24-2+2-38-36
top_split_cycles - 312 +68+79+40+28-2+26+20+3+0-3-8+4-5-4+1+2-5-7+15-6+2-4+2-2+2-2-2-1+1-7-12-10
gt_forward_full_cycles - 1488 +1480+44-10-14-10+19-6-10+7+64+2+2-22-1-5+29-14+2+11-3-7+1+18+12-10-37-11-8+5+1324+0+9
serializer_v2_cycles - 701 +64+29+19+3-16+5+5+1+0-16+4+0+16+36-2-23-10+19-1+32+1+1-21-15-20-7+6-20-23-6+3-15
serializer_v2_hash_g_cycles - 18513 -113+147+98+49+56-25+71-11-25+103+27+1183+139-17-34+772-309-263+1147-267-312+476+1317+35+1507-83-294-257-321-258-301-288
gt_tail_decode_ma2_egress_cycles - 1985 +59-1+0+3+50+22-9-24+4-2-6+15+8-15-31+17-1+6+6-4-13-13-4-12+15+3+6-3-7-2+28+41
official_tail_cycles - 1652 +51+1-20-28+3-19+3414+1308-13-15-10-18-20-9-11+681+898+647+605+715+795+2002+507+1326-36-17+983-13-13-22-38-18
