implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 455 +45+14+15+3-10+7+2+3+16+13-13+6-9+1+11+0-4+9-3-1+2-10-1-6-9-10-2+0-4-6-12-1
forward_m_terminal_cycles - 641 +73-6-18+32-8-3-30-7-22-4+22-7+3-25+12-1+33+13-18-6-2+3-8+693+15+595-5+12+646-13+12+17
forward_p_terminal_cycles - 652 +67+11+2-34-7+1+4+0-9-12+8+7+7-12-13+1-5+20-3+8+11-2+2-18-1+6-14+6-13-6-6+6
forward_m_full_cycles - 879 +75+33-4-14+2+18-4+10+14-12+1-16-6+1-3-3+1-17+0-20-7+38-1-11-2+17+6+22+12+1-2+6
forward_p_full_cycles - 903 +33+3+11-9-10-7-2+3-4+19-13-16+2-2+14+30+6+5-10+10-6+2-1-4-2+25-20+4-2-2+10+24
baseinv_j1_cycles - 1193 +354+15-7-7+11+2-4-8-16+7+17-7+0+0-14+18-8-4+0-12+17+7-3-7+25+17+7+4+15-9-9-1
basemul_f0_j1_cycles - 608 +134+34+7+1-4-1-2+0+1-1-3+1-4+3-4+10+5+2-5-1-4+2+1-3+0+0-1+0+3+1-1+4
basemul_general_m_cycles - 724 +131+56-5+37-17-35-9-5-13-14+5+4+7+6+8+1-4+0+29+35+7-29+12-14+14+14-22-22-3-20+2-23
basemul_scale_m_cycles - 629 +119+13+9+0+0+2-1-4+4+11-3-2-3+3+12-6-2+0+9+4+1-1-3-3-3+5-3+0+1-1+2-6
inverse_m_core_cycles - 614 +105+14+8-2+19+16+11+15+20-2+11-19-8-1-13-17+5+8-6-7+2-7+4-12-5+2-2-1+4+2-7-27
inverse_m_tail_cycles - 587 +364+11-3+6+4+4+12+4+2+1+2-2-2-8-10-3+2+2-5+3-9-4-5-6+2-3+9-7-1-19+9+1
inverse_m_full_cycles - 969 +53+38-5+28-19-12+0-8+30+0+2+12-39-3+32-23+5+13+0-17+2-26+4-10+10-14-4+36+23-1-5+2
q24_unpack_m_cycles - 390 +224+21+37+18+3+0-4-8-11+4-2-4-12+10-7+1-1+22+9-2+1+0-2+6-5-1-6+6+3-3+3-3
q24_pack_m_centered_cycles - 420 +10+12+26+7+9-6+1-8+9+5-13+0-7-2-3-1+0-17-6-1+6-3-4-2-7+7+0+6+1-7+5+9
q24_pack_m_lazy_cycles - 480 +161+17+27+21+9+10-11-9+15-10+0+2+0+13+8-1+0-7+2-5-6-6+3-6+7+5-2-4-6-10-11-17
q24_pack_m_highrange_cycles - 475 +58+22+15+9+1-7+4+4+10-2+10-9+1+11+0+0-3-1-4-6-4+9-8-6-8-7+4-1+13-15+2-9
q24_pack_p_cycles - 453 +128+22+24+7-1+0-11+1-6-10-1-21-15-6-6-2-9+6-5-8+8+5-2+2-7+2+5+5-10+2+13+7
q24_equal_m_cycles - 335 +135+17+10+1+11+12-11-7+2-1+5+2+0-3+3-8-9+7-6-1+3+2+32-6-2-1+7+2-2-11-11-2
forward_frontend_cycles - 456 +25+6+6+0+4-7+8+2-4-18-13+10+1+2+4-13-7+2+9-19+14+2+0-11-2-10+3-12+1-8-9-11
forward_m_terminal_cycles - 637 +15-4+4-4-1-5-20-10-26+11+6-3-6+12-11+10-4-10+10+4-12-15+0+10+5-6+19+21+7+4+14-4
forward_p_terminal_cycles - 648 +16+9+5-2+25+4+3+5-9-13-4-9-2+33+23-2-3-5+2-26+28-2-16-13+1-2-15-11+5+8+8+1
forward_m_full_cycles - 884 +80-9-3+9-9-1+3+6+15+7-9+31+11-16-21-8+22-6+33-25+11+4-14-19-24-3+3-13+16-11+0+7
forward_p_full_cycles - 904 +33+7+0+10+1-5+5-9+3-18+24-3+4-13+11+8-5-18+0-27-2-5-10+20-8-29-6+3-1+19-1+8
baseinv_j1_cycles - 1187 +39+8-1-2-7+1-6+6-9+6+0-2+12-17-4+3-3+3+100+26+26+5-9-15-4-1+22-2+7+0-9-5
basemul_f0_j1_cycles - 609 +26+21+6-3-4-3+0-6-3+1+0+1-1-3-4+1-3+4-3+3-1+4+1+7-2+0-1-4+2-1-1+5
basemul_general_m_cycles - 732 +73+69+30+2-14-5-27-29-31+1-29+13+3-6+49+18-2+3-11+30+29-19-3+16-1+36-11-12-14-14+53+8
basemul_scale_m_cycles - 633 +57+17+1+0-2+8+15+3-1+8-4+5-2+3-4-3+1-7-4-5+2+0+3-3-4-3+5+2-1+4+2-2
inverse_m_core_cycles - 616 +0+25-1-16-6-5+11+38+15+3-10-3+8+1+3+6-25+10-4-5+1+6+6+12-9-1-16-16-6+33+11-3
inverse_m_tail_cycles - 584 +48+7+2+0+11-3+6+19-3-8+2+2-1+14-3+3-3-7-6-12-3+6+0+1-3+12+5-1-3-2-3+5
inverse_m_full_cycles - 975 +47+0-15-14+6-1-13-15+48+4+2-13+4+2-20+8+16-6+13-2-9+42-20-24+25+8-39-17-1+1+8+0
q24_unpack_m_cycles - 384 +55+40+44+8+7+4-10-9-4-1-6-6-3-3-1-2-8+25-1-3+4-1-4+10-1-6-4+7+4+7+8+15
q24_pack_m_centered_cycles - 422 +18+7+18+9+3+3+12-3+3+12-6+0-5-7-15-9-4-5-14+9+17-1-11+7-10-2-2+1+9+1-11-18
q24_pack_m_lazy_cycles - 478 +22+4+18+14+9+12+4-3+14-9+10+1+4-12-9-12-4-6+2+4-6+3-5+5+5-3-10+7-6-7-12-21
q24_pack_m_highrange_cycles - 472 +4+21+24+9+15-11-10+3+25+9+2+7-5-2-1-2-7-2-3-1+11-7-7+1+4+1+14-3+1+9-10-7
q24_pack_p_cycles - 457 +32+27+31+4+0-8-3+1-10-14-8-17-15+2-2+1-5+11+10+0+3-6+7+3+2+12+1+6-6-17-6-3
q24_equal_m_cycles - 331 +70+11-2-3-2-7+10+15+10+5-4-9+1+1+8+5-14-8+1-2+7+7+0+0+5-12-4-4-5+0+4-6
forward_frontend_cycles - 452 +27+17+13+16+2-1+3-8-6-7-6-15+11-13-3-5-2+3+14-2+5+10-1-4+0+2+0+4-1+2+4-5
forward_m_terminal_cycles - 640 +29+358+26+0+3-16-19-1-19-9-14-1+0+27+12-18+9+0-22-2-19+0+6+23+1+7-6+4+3-23-27+12
forward_p_terminal_cycles - 653 +12-5+0-19-1-1-23+20-13+12-8+23+0-25-5+6+26-3+3-17+3+7-2+6-5+5+26+2-5+12+2-5
forward_m_full_cycles - 882 +54+10+8+25-8-11-2-1-5-4+1-12-3-28+6+0-9+2+13+10+22-7-10+8-10+7+11+6-3-10+3+0
forward_p_full_cycles - 903 +30+22+7-21+4-6-9-3-13+13+7+1-2-5+14-11-11+0+14+14+21-10-16-24+7-9-1-11-12+15+8+16
baseinv_j1_cycles - 1191 +25+10+4+5-1-14-2-8+8-8-14+0-4+4-10+25-3+9+2-8+7-5+0+7+0+4-4+5+7-11-1-7
basemul_f0_j1_cycles - 610 +29+16+8+1-4+0+2-3-4-2-2+3+0+1+3-2-3+3-1-5+4+2-4-3-3-3+3-4+2+1-3+2
basemul_general_m_cycles - 729 +94+57+13-10-9-24-9-34-21+25-2-12+22-13-4-3-1+11+53+70+10-4+25+5-1+29-21+10-7-32+8-27
basemul_scale_m_cycles - 629 +65+23+3+0-3+0-3+2-1-2+3-1+1-4+7+0+0-3+3+4+4+6-1+6-2+1-4-3-5+0-1-1
inverse_m_core_cycles - 616 +14+23+25-18-23+3+3+0-8+20+2+0-6-12-22+6-22-13+1+24-1+9+43-1+10-5-1+7+20-27-11-6
inverse_m_tail_cycles - 583 +107+21+7+2+5+30+13-9-8+0-3-4-1-11+2+10-8+0+0-7+11+12+0-2-9-7+7-7+1-6+4+1
inverse_m_full_cycles - 961 +70+33+2+0-11+14-2-4+53-14-11-8-13+25+38-5+1-14+13+7-5+12-3+2+24-3+0+16+26+3-17-5
q24_unpack_m_cycles - 390 +35+29+37+4+3-2-11-6-7+9-11-3-5+6+2-7-1+12-1-3-3+10+15+27-3-4-9+11-5+2+8+14
q24_pack_m_centered_cycles - 422 +28+1+20-9+3-13+4+2+12+9+0+4+3+1-9-4-11-5+4-6+0-2-6-14+2-3-8-3+5+2-6+4
q24_pack_m_lazy_cycles - 478 +15+13+14+6+6+1-2+1+11+4-5+6-15+16+2-1+6-13+10-8-6+1+10-3-7-16-5+6-3-14-7-21
q24_pack_m_highrange_cycles - 477 +26+25+29+10-6+4-12+7+4+8+6+0+14-1-7-8+9+1-4+18-12-14-5-11+3+0-2-8-12-1+3-15
q24_pack_p_cycles - 456 +24+18+28+15+1+5-10-5-2-1-5-7+0-14-8+14+0+13+6+1-1+2-5-2+4-3+2+0-3+8-5+2
q24_equal_m_cycles - 337 +58+35+17+6+12+0+0-6+4+4+2+9+9-7+0-10-5+3-3-4+32-16-7+0-9-2-15-3+1+5-12-11
