implementation crypto_kem/ntruplus768/avx2 - 
publickeybytes 1152 
secretkeybytes 2336 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
forward_small_native_inplace_cycles - 957 +174+47+16+12+0-1-3+27-18+3-33-5+1-33-12-13-6+45-2-5+19+3-8-7+13+15+17+4+16-24-9+1
forward_small_preserve_input_cycles - 999 +111+5+23+8+2-10+14-8-9-10+6-19+1+8-5-11-16+2-3-17+0+10-11+7+21+14+6-2-22-27+19-13
forward_general_native_inplace_unqualified_cycles - 963 +32+18+15+15+6+3+4-23+11-6-15-8+32+6+1619-3-1-11+6-3+11-11-19+4-6-4+2-28-11-20-22+5
forward_general_preserve_input_unqualified_cycles - 980 +143+20+14+19-10+0+0+0+3-10-6-9+3-19+12-22+1+1+1-9+8-1-32+3+6-9+1-6-3+11+10-12
basemul_cycles - 724 +606+24+16+5+5-1+8-15+3+2-2-10+4-14-5-5+0-2+11+6-6-5-7-6+3-1+8+3-3-1-25+0
basemul_scale_cycles - 627 +399+13+14+2-1+2-1-4-3-1+0-4+3-1-3+5+2-4+5-7+5+2-5-4-4-3+3-4+8-3+2+0
inverse_cycles - 990 +718+106+11+19-7+10+25+12-2-7-15+2-19+3-1-1-8+8+1+1+25-12+6+1-10-3+11-14-22-13+25-12
baseinv_cycles - 1241 +1918+96+6-5+10569-13-7+16+3+5-22-11+0+13-3-17-14-22-18-16-17+156+19+6+4+21-18+2-4+1+16-8
poly_frombytes_cycles - 347 +94+8+0-1-2-6-4-4-2+4+6+1+8+4-2-4+5-6+1-1-1-4+3+7+2+1-6-4+6+0+4-2
poly_tobytes_cycles - 417 +51-3+4+4+0+6+5+8-1-6+3+2+4+3-2+8+3+6-3-2-2-7-4+0-4-3-3+4-3-1-4-2
cbd1_cycles - 318 +121+46+7-5-8+18-10+20-10-10-8+9+12+17+17-10+10+11-11-11+20-12+8+12+8+15-13-10-11-9-11-9
