parameter,operation,stage,measurement_role,profile,label,stq2_cycles,cumulative_cutpoint
768,keypair,sample_one_polynomial_cbd1,isolated-building-block,768-official-common-v3,cbd1_cycles,317.625,no
768,keypair,forward_one_polynomial,isolated-building-block,768-official-common-v3,forward_small_cycles,981.4027777777778,no
768,keypair,baseinv_one_polynomial,isolated-building-block,768-official-common-v3,baseinv_cycles,1245.0046296296296,no
768,keypair,basemul_one_product,isolated-building-block,768-official-common-v3,basemul_cycles,722.2129629629629,no
768,keypair,serialize_one_polynomial,isolated-building-block,768-official-common-v3,poly_tobytes_cycles,423.22685185185185,no
768,keypair,hash_f,isolated-building-block,768-official-common-v3,hash_f_cycles,10896.328703703704,no
768,keypair,native_total,supercop-native-kem,768-official,keypair_cycles,21585.11574074074,yes-total-only
768,encap,public_key_decode,isolated-building-block,768-official-common-v3,poly_frombytes_cycles,350.4953703703704,no
768,encap,prehash_hash_f,isolated-building-block,768-official-common-v3,hash_f_cycles,10896.328703703704,no
768,encap,prehash_hash_h,isolated-building-block,768-official-common-v3,hash_h_cycles,2655.152777777778,no
768,encap,cbd1,isolated-building-block,768-official-common-v3,cbd1_cycles,317.625,no
768,encap,forward_one_polynomial,isolated-building-block,768-official-common-v3,forward_small_cycles,981.4027777777778,no
768,encap,serialize_r,isolated-building-block,768-official-common-v3,poly_tobytes_cycles,423.22685185185185,no
768,encap,hash_g,isolated-building-block,768-official-common-v3,hash_g_cycles,12093.578703703704,no
768,encap,sotp_encode,isolated-building-block,768-official-common-v3,sotp_encode_cycles,315.712962962963,no
768,encap,basemul_one_product,isolated-building-block,768-official-common-v3,basemul_cycles,722.2129629629629,no
768,encap,poly_add,isolated-building-block,768-official-common-v3,poly_add_cycles,240.99537037037038,no
768,encap,ciphertext_serialize,isolated-building-block,768-official-common-v3,poly_tobytes_cycles,423.22685185185185,no
768,encap,native_total,supercop-native-kem,768-official,enc_cycles,28279.75,yes-total-only
768,decap,decode_one_polynomial,isolated-building-block,768-official-common-v3,poly_frombytes_cycles,350.4953703703704,no
768,decap,basemul_scale,isolated-building-block,768-official-common-v3,basemul_scale_cycles,633.6898148148148,no
768,decap,inverse,isolated-building-block,768-official-common-v3,inverse_cycles,993.2314814814815,no
768,decap,crepmod3,isolated-building-block,768-official-common-v3,crepmod3_cycles,431.68981481481484,no
768,decap,message_forward,isolated-building-block,768-official-common-v3,forward_small_cycles,981.4027777777778,no
768,decap,poly_sub,isolated-building-block,768-official-common-v3,poly_sub_cycles,236.2962962962963,no
768,decap,recovery_basemul,isolated-building-block,768-official-common-v3,basemul_cycles,722.2129629629629,no
768,decap,recovered_r_serialize,isolated-building-block,768-official-common-v3,poly_tobytes_cycles,423.22685185185185,no
768,decap,hash_g,isolated-building-block,768-official-common-v3,hash_g_cycles,12093.578703703704,no
768,decap,sotp_decode,isolated-building-block,768-official-common-v3,sotp_decode_cycles,352.47222222222223,no
768,decap,hash_h,isolated-building-block,768-official-common-v3,hash_h_cycles,2655.152777777778,no
768,decap,reencryption_forward,isolated-building-block,768-official-common-v3,forward_small_cycles,981.4027777777778,no
768,decap,native_total,supercop-native-kem,768-official,dec_cycles,19451.189814814814,yes-total-only
864,keypair,sample_one_polynomial_cbd1,isolated-building-block,864-official-common-v3,cbd1_cycles,349.837962962963,no
