profile,parameter,implementation,benchmark_class,operation,observations,stq1,stq2,stq3
768-official-common-v3,768,avx2,supercop-derived-poly,baseinv_cycles,864,1235.712962962963,1245.0046296296296,1260.4537037037037
768-official-common-v3,768,avx2,supercop-derived-poly,basemul_cycles,864,714.5416666666666,722.2129629629629,728.6111111111111
768-official-common-v3,768,avx2,supercop-derived-poly,basemul_scale_cycles,864,628.875,633.6898148148148,638.9027777777778
768-official-common-v3,768,avx2,supercop-derived-poly,cbd1_cycles,864,310.5787037037037,317.625,328.72222222222223
768-official-common-v3,768,avx2,supercop-derived-poly,crepmod3_cycles,864,426.0833333333333,431.68981481481484,438.3287037037037
768-official-common-v3,768,avx2,supercop-derived-poly,forward_general_cycles,864,971.1111111111111,980.4120370370371,991.4583333333334
768-official-common-v3,768,avx2,supercop-derived-poly,forward_small_cycles,864,971.75,981.4027777777778,992.0370370370371
768-official-common-v3,768,avx2,supercop-derived-poly,hash_f_cycles,864,10818.055555555555,10896.328703703704,10972.060185185184
768-official-common-v3,768,avx2,supercop-derived-poly,hash_g_cycles,864,11973.62037037037,12093.578703703704,12177.694444444445
768-official-common-v3,768,avx2,supercop-derived-poly,hash_h_cycles,864,2638.2731481481483,2655.152777777778,2674.560185185185
768-official-common-v3,768,avx2,supercop-derived-poly,inverse_cycles,864,984.3981481481482,993.2314814814815,1003.0787037037037
768-official-common-v3,768,avx2,supercop-derived-poly,poly_add_cycles,864,233.91666666666666,240.99537037037038,248.4351851851852
768-official-common-v3,768,avx2,supercop-derived-poly,poly_frombytes_cycles,864,345.25925925925924,350.4953703703704,356.0324074074074
768-official-common-v3,768,avx2,supercop-derived-poly,poly_mul_general_cycles,864,2912.2638888888887,2928.3333333333335,2945.384259259259
768-official-common-v3,768,avx2,supercop-derived-poly,poly_mul_small_cycles,864,2909.4305555555557,2927.6018518518517,2945.0833333333335
768-official-common-v3,768,avx2,supercop-derived-poly,poly_sub_cycles,864,231.5462962962963,236.2962962962963,241.77777777777777
