implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
bytes 1728 
words 1152 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
official_forward_cycles - 1506 +210+82+51+45+2+29+14-7-5+1+12+6+13-17-26-5+12+0-35-29+16-16-29-62-49-44+1377+1354-45+1314-44-33
top_split_cycles - 312 +75+68+47+22+31+21+30-10-1-8-4+3-5+2-5-7-2-1+7+0+6+2-3+6+0+8-5+23-9-7-11-12
gt_forward_full_cycles - 1494 +176+24+25+4+0+7-4-12-15-1+13+1+1+15-15-18+4-29-9-23-8+31-13+7+4-24+7+22-20-24-6+6
serializer_v2_cycles - 683 +94+43+68+10+4+2-2+1-39+2-3+16+16+2-1+1-6+8+14-2-10-5-15-19-28-13+1+12+0-6-4-1
serializer_v2_hash_g_cycles - 18509 +397+20-32+737+186+87+65+5-15+28-36-5-41+78-7-76+15-5-51-77+10-3+24-51-17-3-25+9+19-69-5+36
h4_exact_egress_cycles - 1986 +72+4+17-28+12-6-9-7-4-14-26-24-1-11+7-11+17-13+12+10-9+2+4-30+2+12+2+671+639-8+660+24
official_tail_cycles - 1631 +196+62+25-8-9-17-4+5+2+6+14+4-7+2-3-5-9-9-5+32+1+21-3+9-15-9-7+5+31+12+6-5
official_forward_cycles - 1485 +142+63+84+32+6+13+20+14+29+9-13-16+19+28-34-25-6-12+16-15-26-25-44+5-11+3-5+20-18+1-10-48
top_split_cycles - 311 +106+63+20+25+13+21+13+3-7+15-9+23+7+3-3-14+4-9+0-2-3-3-6-4-7+5-8+7-6-11-11-6
gt_forward_full_cycles - 1498 +130+3+19+13-35+13-10-3-22-14+20+3-5-21+3+25-35+11-3-12+19-23-28+6-1+2-1+12-33-3+20+26
serializer_v2_cycles - 678 +65+59+81+18+15+4+5-16+19-25-4-4+3-23-19+0-21-1+2-1+10-10-10-9-21+1+23+10+14-28-4+12
serializer_v2_hash_g_cycles - 18489 +207-125-65+101-266-205-253+14-95-73-69+53-37+24+36+37-5-24+40-61+10+3+37+35+98+31-5+97-17+16-46-16
h4_exact_egress_cycles - 1982 +66+14+27+3+27+28-9+4+13-7-7-3-19-26+20+19-8+12+13-4-7-2+6+0-1-11-21+1-4-3-5+19
official_tail_cycles - 1630 +64+22+15+38+25+16-9-5+12+0-23+5+0-3+4-18+20-9+11-3+9+4-7+0-15-8-17-6-22-8+10+2
official_forward_cycles - 1498 +117+62+40+45+30+16+28-9-14+88+22+15-2-18-8-14-39-1-21+5-7+23-3-1-4-30+2+25-18+5-40-24
top_split_cycles - 312 +123+98+68+24+13+9+8+0-2+2-10+1+3+3-4-2-12-3-6-6+9+2+5+3-6+0+1-10-4-2-13-6
gt_forward_full_cycles - 1485 +248+98+10+23+2+9+11-11+0-7+30-2-8-10-3+7+29-11-14-14-22+11+9-4+1-1+1-3-11-5+8-1
serializer_v2_cycles - 679 +78+55+62+38+18+3+15-2+32+16-27-11+7+15-1-14-13-6-5+12-9-7-13-4-7-6+1-1+7-16+7-19
serializer_v2_hash_g_cycles - 18479 -86-200-237-241+181+113-12+17+83-21+77+21-39-63-3+34+26-20+15-253+87+15+19+11-194-323+105-289+51+51-231-263
h4_exact_egress_cycles - 1986 +40-3+0+12+11+10-11-19+9-12-13-4-7-13-4-26+2+12-15+0+2-11+42+1+7+1-19-10+372+0+10+2
official_tail_cycles - 1634 +72+39+9+18+4+6-7-16+10-17-16-11+3-7-12+2-14-15-5-1+2+4-4+13+29-3+10+7+0-21-2+3
